Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/04/16/8132,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/16/6639,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/1333,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/16/1389,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/4327,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19
1,00:00-00:15,0,31.67,78.66,78.67,30,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.45,0,86.89,272.37,2.89,2.89,30.79,9.63,52.5,57.78,9.63,13.19,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,31.67,0,94.99,0

2,00:15-00:30,0,32,78.66,78.67,30.33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.45,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,13.19,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,32,0,96,0

3,00:30-00:45,0,32.33,78.66,78.67,30.33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.45,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,13.19,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,32.33,0,97.01,0

4,00:45-01:00,0,32.67,78,78,31,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.45,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,13.19,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,32.67,0,97.99,0

5,01:00-01:15,0,33.17,83.34,83.33,31.33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.14,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,12.99,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,33.17,0,99.49,0

6,01:15-01:30,0,33.17,83.34,83.33,33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.14,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,12.99,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,33.17,0,99.49,0

7,01:30-01:45,0,33.5,83.34,83.33,32.33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.14,0,86.89,272.37,2.89,2.89,31.29,9.63,52.5,57.78,9.63,12.99,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,33.5,0,100.5,0

