Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/03/9052,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/4802,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/9821,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0,0,12.47,48.4,0,0,31.29,0,87.3,96.79,24.2,24.74,273.67,0,62.08,0,0,262.78,0,21.78,48.4,2.42,32,32,5.77,66.38,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

2,00:15-00:30,0,0,12.47,48.4,0,0,31.29,0,87.3,96.79,24.2,24.74,273.67,0,62.08,0,0,262.78,0,21.78,48.4,2.42,32,32,5.77,66.38,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

3,00:30-00:45,0,0,12.47,48.4,0,0,31.29,0,87.3,96.79,24.2,24.74,273.67,0,62.08,0,0,262.78,0,21.78,48.4,2.42,18.5536,32,5.77,66.38,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

4,00:45-01:00,0,0,12.47,48.4,0,0,31.29,0,87.3,96.79,24.2,24.74,273.67,0,62.08,0,0,262.78,0,21.78,48.4,2.42,18.5536,32,5.77,66.38,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

5,01:00-01:15,0,0,12.47,48.4,0,0,31.29,0,87.3,96.79,24.2,24.74,273.67,0,62.08,0,0,262.78,0,21.78,48.4,2.42,18.5536,32,5.58,70.55,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

6,01:15-01:30,0,0,12.47,48.4,0,0,31.29,0,76.74,96.79,24.2,24.74,273.67,0,62.08,0,0,237.7,0,21.78,48.4,2.42,18.5536,32,5.58,70.55,32.91,0,100.84,42.82,0,6.67,0,6.34,6.66,0,20,9.67,0,0,0,0,0,0,0,9.67

