Column1,Block,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/33916/C,NR/2025/33923/C,NR/2025/33926/C,NR/2025/33925/C,NR/2025/33928/C,NR/2025/32610/A/98418,NR/2025/29992/A/98023,NR/2025/33921/C,NR/2025/33922/C,NR/2025/32397/A/97916,NR/2025/33656/A/98372,NR/2025/29440/A/97971,NR/2025/32004/A/98423,NR/2025/32455/A/98410,NR/2025/31421/A/98435,NR/2025/31045/A/98379,NR/2025/33670/A/98532,NR/2025/32375/A/98431,NR/2025/31043/A/98380,NR/2025/31048/A/98377,NR/2025/32556/A/98420,NR/2025/31049/A/98378,NR/2025/32262/A/97980,NR/2025/32559/A/98419,NR/2025/33891/C,NR/2025/33890/C,NR/2025/33469/A/98032,NR/2025/32535/A/98530,NR/2025/33931/C,NR/2025/32534/A/98529,NR/2025/32599/A/98636,NR/2025/32535/A/98531,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,NR/2025/33633/A/98388,NR/2025/32534/A/98528,NR/2025/32532/A/98526,NR/2025/33632/A/98390,NR/2025/32532/A/98527,NR/2025/33637/A/98386,GNARE/NR/2024/12/20/3668,Total
,,MANIKARAN,MANIKARAN,PowerPulse,MANIKARAN,NDMC,BAWANA_GAS,DELHI,APPCPL,NVVNL,NDMC,APPCPL,MANIKARAN,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,BYPL,NVVNL,NVVNL,IEXL,PowerPulse,ITCLH,APPCPL,MANIKARAN,NVVNL,PowerPulse,PTC,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,TPTCL,APPCPL,PowerPulse,PowerPulse,DIAPL,OIDLWM3_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,PUNJAB,NDMC,GMRETL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,ABLWM1_AEROCITY,GMRETL,SECI_Trader,
,,NA,MP_State,MSEB_State,NA,NA,DELHI_UT,HIMACHAL_STATE,GOA_State,NA,NA,GOA_State,MSEB_State,MSEB_State,MP_State,NA,NA,NA,NA,KERALA_State,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,MP_State,NA,NA,NA,NA,MSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,
,,DBPL,BLAPOWER_MP,Vidarbha_Industry_MH,MBMP,JIPL,BAWANA_GAS,CHANJUII,GOA_Beneficiary,JHABUA_IPP,SKS_Raigarh,GOA_Beneficiary,AEML,AEML,JP_BINA,JPL2,RKM_POWER,RKM_POWER,RKM_POWER,KSEB,Kameng,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,APL_Raipur_TPP,ITCWIND,AEML,MBMP,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,GoHP_NJPC,JP_BINA,MAHAN_ENERGEN,APL_Raigarh_TPP,JPL2,APL_Raigarh_TPP,TPC_MSEB,RKM_POWER,APL_Raigarh_TPP,MAHAN_ENERGEN,GBHHPL,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,TS1PL_BKN,TCSPL_BKN2,BAWANA_GAS,TRN_ENERGY,JGCPL_BKN2,TESPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,NDMC,HARYANA,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,BYPL,TPDDL,NDMC,NDMC,NDMC,NDMC,BYPL,TPDDL,TPDDL,MES_Delhi,BRPL,ITCLH,BYPL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,BYPL,NDMC,TPDDL,TPDDL,DIAPL,OIDLWM3_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,PUNJAB,NDMC,DTCP,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,MAX_HPTL,ABLWM1_AEROCITY,BLKMH,TPDDL,
,,West-North,West-North,West-North,West-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.2499999999995

2,00:15-00:30,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.2499999999995

