Block,Time,CHAMERA2,RIHAND1,RAMPUR,NAPP,TEHRI,RIHAND3,DADRT2,DULHASTI,SINGRAULI,URI,KOLDAM,SINGRAULI_HYDRO,CHAMERA3,RIHAND2,RAPPC,NJPC,UNCHAHAR1,DHAULIGNGA,SALAL,JHAJJAR,URI2,KOTESHWR,TANAKPUR,BSIUL,PARBATI3,UNCHAHAR2,SEWA2,KISHANGANGA,TANDA2,CHAMERA1,UNCHAHAR3,UNCHAHAR4,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,FSTPP I & II,BRBCL,TALA,KHSTPP-II,SASAN
1,00:00-00:15,0,92,0,0,0,123.665625,683.129127,16.478852,123.375,39.744,0,0.59303,0,118.125,53.9325,0,10.91181,0,2.324,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,364.5

2,00:15-00:30,0,92,0,0,0,123.665625,683.129127,16.478852,123.375,39.744,0,0.59303,0,118.125,53.9325,0,10.91181,0,15.106,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,375.75

3,00:30-00:45,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,70.882,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,383.625

4,00:45-01:00,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,70.882,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,391.5

5,01:00-01:15,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,70.882,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,398.25

6,01:15-01:30,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,70.882,653.1525,24.75168,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,405

7,01:30-01:45,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,13.944,653.1525,9.4164,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,412.875

8,01:45-02:00,0,92,0,0,0,123.665625,683.129127,0,123.375,5.52,0,0.59303,0,118.125,53.9325,0,10.91181,0,2.324,653.1525,9.4164,0,3.2025,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,417.375

