Block,Time,UNCHAHAR3,RAPPB,DADRI_CRF,SEWA2,RIHAND1,NJPC,ANTA_RF,TANDA2,SALAL,DULHASTI,RAMPUR,AURY_CRF,TEHRI,UNCHAHAR1,ANTA_CRF,URI2,DHAULIGNGA,NAPP,UNCHAHAR4,RAPPC,SINGRAULI_HYDRO,AURY_RF,URI,JHAJJAR,PARBATI3,DADRI_LF,TANAKPUR,RIHAND3,KOTESHWR,CHAMERA2,KOLDAM,CHAMERA1,ANTA_LF,CHAMERA3,RIHAND2,SINGRAULI,NLCEXP,KAWAS-NAPM,KGSU3AND4,VSTPS I,KUDGI,KHARGONE-I,KAWAS-RLNG,GANDHAR-NAPM,KKNP,KAWAS-zLIQ,AURY_LF,ANTA_GF,KHSTPP-I,VALLURNTECL,VSTPS IV,GADARWARA-I,SIPAT I,KHSTPP-II,NTPL,KGSU1AND2,SIPAT II,KSTPS I&II,TALA,NLCIIST2,NNTPP,SOLAPUR,VSTPS III,BSIUL,DADRT2,NLCTS2EXP,MOUDA_II,AURY_GF,MAPS,MOUDA,KSTPS7,KAWAS-APM,KAPS,NLCIIST1,VSTPS II,SIMHST2,SASAN,TAPS-II,LARA-I,GANDHAR-RLNG,BRBCL,RSTPSU1TO6,KAWAS-ComGas,DADRI_RF,DADRI_GF,RSTPSU7,VSTPS V,FSTPP I & II,TALST2,UNCHAHAR2,KISHANGANGA,GANDHAR-ComGas,GANDHAR-APM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.571640,0.000000,0.000000,17.465872,92.484511,20.749983,0.000000,3.944705,34.743219,54.905879,0.639762,0.000000,47.393271,11.315536,0.000000,36.232396,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,352.108907,0.000000,0.000000,5.806965,123.890121,26.868491,44.776114,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.635518,0.000000,0.81,0.19,1.696634,1.877149,12.642280,588.345000,0.00,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,12.878755,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,18.571640,0.000000,0.000000,17.465872,90.377315,20.749983,0.000000,3.944705,34.743219,54.905879,0.639762,0.000000,47.393271,11.315536,0.000000,36.232396,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,263.195268,0.000000,0.000000,5.806965,123.890121,26.868491,44.776114,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.651587,0.000000,0.81,0.19,1.696634,1.877149,12.642280,544.942500,0.00,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,13.784248,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,18.571640,0.000000,0.000000,17.465872,90.377315,20.749983,0.000000,3.944705,34.743219,54.905879,0.639762,0.000000,47.393271,11.315536,0.000000,36.232396,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,263.195268,0.000000,0.000000,5.806965,123.890121,26.868491,44.776114,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.607879,0.000000,0.89,0.19,1.696634,1.877149,12.642280,477.427500,0.17,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,12.720914,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,18.571640,0.000000,0.000000,17.465872,90.377315,20.749983,0.000000,3.944705,34.743219,36.478524,0.639762,0.000000,47.393271,11.315536,0.000000,36.232396,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,263.195268,0.000000,0.000000,5.806965,123.890121,26.868491,44.776114,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.607879,0.000000,0.89,0.19,1.696634,1.877149,12.642280,409.912500,0.17,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,10.896928,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,18.571640,0.000000,0.000000,17.465872,90.377315,0.000000,0.000000,3.944705,34.743219,36.478524,0.000000,0.000000,47.393271,11.315536,0.000000,35.210761,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,263.195268,0.000000,0.000000,0.000000,123.890121,26.868491,29.760103,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.607879,0.000000,0.89,0.19,1.696634,1.877149,12.642280,376.155000,0.00,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,10.555858,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,13.541239,0.000000,0.000000,17.465872,90.377315,0.000000,0.000000,3.944705,34.743219,36.478524,0.000000,0.000000,47.393271,8.418156,0.000000,35.210761,0.000000,45.932912,0.000000,62.645227,0.975637,0.000000,47.916360,258.372768,0.000000,0.000000,0.000000,123.890121,26.868491,29.760103,0.000000,40.651823,0.000000,21.518384,118.083735,103.958952,1.69,0.000000,2.10,2.273860,0.00,3.393268,0.000000,0.000000,1.55,0.000000,0.000000,0.000000,39.225250,0.00,2.570658,2.056526,5.089903,142.278820,3.65,1.92,1.791457,2.607879,0.000000,0.89,0.19,1.696634,1.877149,12.642280,366.596109,0.00,3.363787,0.000000,0.23,1.856470,1.285329,0.000000,1.099695,0.77,1.861130,1.78,263.670188,1.307899,4.078779,0.000000,9.755901,7.07,0.000000,0.000000,0.000000,1.87,1.271619,19.994085,0.00,42.752489,6.187132,0.000000,0.000000,0,0,0,0,0

