Block,Time,LT-05,SH-06,LT-59,L_NR_2019_11,L_NR_2012_01,L_NR_2012_07,LT_MEJA_Delhi,LT-31,SH-07,LT-35,L_NR_2012_02,LT-36,L_NR_2012_04,L_NR_2020_02,L_NR_2023_04,L_NR_2022_08,L_NR_2021_15,L_NR_2019_19,L_NR_2018_61,L_NR_2022_09,L_NR_2020_07,L_NR_2019_05,L_NR_2021_12,L_NR_2021_17,L_NR_2019_07,L_NR_2019_06,L_NR_2022_10,L_NR_2020_06,L_NR_2021_16,L_NR_2021_13,L_NR_2020_05,L_NR_2021_14
1,00:00-00:15,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.430000,0.000000,36.8,0,0,7.13,53.62,0,0,0,0,0,0,53.62,0,0,0,0,0

2,00:15-00:30,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.430000,0.000000,36.75,0,0,7.07,53.36,0,0,0,0,0,0,53.36,0,0,0,0,0

3,00:30-00:45,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.430000,0.000000,36.14,0,0,23.25,53.66,0,0,0,0,0,0,53.66,0,0,0,0,0

4,00:45-01:00,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.430000,0.000000,36,0,0,23.14,53.36,0,0,0,0,0,0,53.36,0,0,0,0,0

5,01:00-01:15,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.240000,0.000000,35.81,0,0,23.11,53.36,0,0,0,0,0,0,53.36,0,0,0,0,0

6,01:15-01:30,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.240000,0.000000,35.92,0,0,23.06,53.36,0,0,0,0,0,0,53.36,0,0,0,0,0

7,01:30-01:45,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.240000,0.000000,35.75,0,0,23.05,53.6,0,0,0,0,0,0,53.6,0,0,0,0,0

8,01:45-02:00,116.220000,30.980000,8.410000,8.860000,101.420000,87.330000,3.910000,0.000000,30.980000,0.000000,261.990000,0.000000,272.310000,10.240000,0.000000,35.51,0,0,21.5,53.66,0,0,0,0,0,0,53.66,0,0,0,0,0

9,02:00-02:15,116.220000,20.850000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,20.850000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,35.2,0,0,21.07,49.74,0,0,0,0,0,0,49.74,0,0,0,0,0

10,02:15-02:30,116.220000,20.850000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,20.850000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,34.89,0,0,20.7,49.89,0,0,0,0,0,0,49.89,0,0,0,0,0

11,02:30-02:45,116.220000,21.780000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,21.780000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,34.94,0,0,20.15,49.73,0,0,0,0,0,0,49.73,0,0,0,0,0

12,02:45-03:00,116.220000,21.780000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,21.780000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,34.57,0,0,8.28,49.79,0,0,0,0,0,0,49.79,0,0,0,0,0

13,03:00-03:15,116.220000,21.780000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,21.780000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,34.53,0,0,8.2,49.78,0,0,0,0,0,0,49.78,0,0,0,0,0

14,03:15-03:30,116.220000,21.780000,8.260000,8.700000,101.420000,87.330000,3.940000,0.000000,21.780000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,34.49,0,0,8.2,49.88,0,0,0,0,0,0,49.88,0,0,0,0,0

15,03:30-03:45,116.220000,21.780000,8.260000,8.700000,101.420000,63.490000,1.360000,0.000000,21.780000,0.000000,261.990000,0.000000,272.310000,10.060000,0.000000,30.85,0,0,8.3,49.85,0,0,0,0,0,0,49.85,0,0,0,0,0

