Block,Time,L_NR_2012_07,L_NR_2012_02,LT-36,L_NR_2019_11,L_NR_2012_01,SH-07,L_NR_2020_02,LT-35,LT-59,SH-06,LT-31,LT-05,L_NR_2012_04,L_NR_2023_04,L_NR_2019_07,L_NR_2018_61,L_NR_2019_06,L_NR_2021_15,L_NR_2022_08,L_NR_2021_12,L_NR_2020_05,L_NR_2021_14,L_NR_2020_07,L_NR_2022_10,L_NR_2021_17,L_NR_2021_13,L_NR_2022_09,L_NR_2019_05,L_NR_2019_19,L_NR_2020_06,L_NR_2021_16
1,00:00-00:15,60.770000,212.790000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,8.81,0,0,20.78,0,62.91,0,20.97,43.52,0,0,43.52,0,0,20.97,0

2,00:15-00:30,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,9.27,0,0,20.72,0,62.34,0,20.78,56.14,0,0,56.14,0,0,20.78,0

3,00:30-00:45,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.31,0,0,21.97,0,73.82,0,24.6,55.85,0,0,55.85,0,0,24.61,0

4,00:45-01:00,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.3,0,0,21.77,0,72.21,0,24.06,56.17,0,0,56.17,0,0,24.07,0

5,01:00-01:15,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.4,0,0,22.07,0,71.4,0,23.8,54.96,0,0,54.96,0,0,23.8,0

6,01:15-01:30,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.4,0,0,21.32,0,70.98,0,23.66,53.37,0,0,53.37,0,0,23.66,0

7,01:30-01:45,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.34,0,0,20.48,0,69.93,0,23.3,52.84,0,0,52.84,0,0,23.31,0

8,01:45-02:00,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.27,0,0,19.6,0,68.03,0,22.67,53.93,0,0,53.93,0,0,22.68,0

9,02:00-02:15,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.28,0,0,24.89,0,77.68,0,25.89,57.66,0,0,57.66,0,0,25.89,0

10,02:15-02:30,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.36,0,0,24.34,0,77.01,0,25.67,56.06,0,0,56.06,0,0,25.67,0

11,02:30-02:45,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.35,0,0,23.85,0,76.21,0,25.42,55.93,0,0,55.93,0,0,25.4,0

12,02:45-03:00,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.31,0,0,23.12,0,76.51,0,25.51,55.8,0,0,55.8,0,0,25.5,0

13,03:00-03:15,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.3,0,0,21.64,0,73.75,0,24.59,55.49,0,0,55.49,0,0,24.58,0

14,03:15-03:30,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,7.3,0,0,19.62,0,69.67,0,23.22,60.15,0,0,60.15,0,0,23.22,0

15,03:30-03:45,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.83,0,0,25.31,0,86.83,0,28.94,59.51,0,0,59.51,0,0,28.94,0

16,03:45-04:00,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.9,0,0,24.78,0,85.82,0,28.6,57.84,0,0,57.84,0,0,28.61,0

17,04:00-04:15,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.8,0,0,24.15,0,84.07,0,28.02,56.04,0,0,56.04,0,0,28.02,0

18,04:15-04:30,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.8,0,0,23.47,0,80.07,0,26.7,55.23,0,0,55.23,0,0,26.69,0

19,04:30-04:45,36.650000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.190000,271.290000,0.000000,0,5.85,0,0,23.36,0,78.06,0,26.02,54.36,0,0,54.36,0,0,26.02,0

20,04:45-05:00,36.650000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.190000,271.290000,0.000000,0,5.89,0,0,25.42,0,87.18,0,29.05,61.95,0,0,61.95,0,0,29.06,0

21,05:00-05:15,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.89,0,0,25.28,0,86.68,0,28.89,61.6,0,0,61.6,0,0,28.89,0

22,05:15-05:30,51.640000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.8,0,0,25.12,0,86.14,0,28.72,61.22,0,0,61.22,0,0,28.71,0

23,05:30-05:45,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.84,0,0,24.26,0,83.18,0.03,27.71,43.73,0,0,43.73,0,0.136584,27.73,0

24,05:45-06:00,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,0,5.82,0,0,19.03,0.13,64.28,0.1,21.43,43.64,1.33,0.03,43.64,0,1.473156,21.42,2.67

25,06:00-06:15,60.770000,200.990000,0.000000,0.000000,101.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.900000,271.290000,0.000000,1.26,5.85,5.52,0.51,19.21,1.86,63.59,1.27,21.19,42.86,2.33,0.37,42.86,8.88,3.697524,21.2,4.67

26,06:15-06:30,60.770000,200.990000,0.430000,0.000000,101.040000,0.000000,0.000000,0.420000,0.000000,0.000000,0.420000,57.900000,271.290000,0.000000,1.93,4.07,13.8,1.39,18.41,6.13,61.28,3,20.41,39.63,3.33,1.22,39.63,16.78,5.580432,20.43,6.67

27,06:30-06:45,60.770000,200.990000,0.860000,0.000000,101.040000,0.000000,0.000000,0.840000,0.000000,0.000000,0.840000,57.900000,271.290000,0.000000,5.47,3.73,23,2.64,17.68,11.75,58.55,4.93,19.51,38.17,3.67,2.35,38.17,25.48,7.765776,19.52,7.33

28,06:45-07:00,60.770000,200.990000,1.370000,0.000000,101.040000,0.000000,0.000000,1.330000,0.000000,0.000000,1.330000,57.900000,271.290000,0.000000,10.02,3.53,33,4.13,17.57,18.48,58.8,7.23,19.6,39.47,5.33,3.69,39.47,33,10.614528,19.6,10.67

29,07:00-07:15,60.770000,200.990000,2.030000,0.000000,101.040000,0.000000,0.000000,1.990000,0.000000,0.000000,1.990000,57.900000,271.290000,0.000000,15.49,3.13,33,6.19,17.22,26.28,60.62,10.33,20.2,42.27,7,5.26,42.27,33,14.234004,20.21,14

30,07:15-07:30,60.770000,200.990000,2.820000,0.000000,101.040000,0.000000,0.000000,2.740000,0.000000,0.000000,2.740000,35.190000,271.290000,0.000000,22.78,2.65,32.76,8.71,16.38,35.58,58.4,14.43,19.46,41.74,8.33,7.11,41.74,32.76,18.399816,19.47,16.67

31,07:30-07:45,45.800000,200.990000,3.680000,0.000000,101.040000,0.000000,0.000000,3.590000,0.000000,0.000000,3.590000,35.190000,271.290000,0.000000,30.66,2.07,30.67,11.41,14.91,47.62,56.14,19.43,18.72,40.44,11.67,9.52,40.44,30.67,24.204636,18.71,23.33

32,07:45:08:00,36.650000,200.990000,4.760000,0.000000,101.040000,0.000000,0.000000,4.640000,0.000000,0.000000,4.640000,35.190000,271.290000,0.000000,31,1.52,31,14.29,14.77,60.52,52.77,24.93,17.59,39.38,14.33,12.1,39.38,31,28.233864,17.59,28.67

33,08:00-08:15,36.650000,200.990000,5.750000,0.000000,101.040000,0.000000,0.000000,5.610000,0.000000,0.000000,5.610000,35.190000,271.290000,0.000000,32.34,0,32.33,20.31,16.56,76.95,46.87,30.77,15.63,36.43,17,15.39,36.43,32.33,32.009436,15.62,34

34,08:15-08:30,36.650000,165.610000,6.790000,0.000000,101.040000,0.000000,0.000000,6.630000,0.000000,0.000000,6.630000,35.190000,271.290000,0.000000,32.34,0,32.33,23.98,16.33,94.84,45.89,36.7,15.29,35.1,20,18.97,35.1,32.33,35.599644,15.3,40

35,08:30-08:45,36.650000,165.610000,7.810000,0.000000,77.170000,0.000000,0.000000,7.620000,0.000000,0.000000,7.620000,35.190000,271.290000,0.000000,32.34,0,32.33,27.45,15.63,110.01,45.72,42.47,15.25,35.34,23,22,35.34,32.33,39.238632,15.24,46

36,08:45:09:00,36.650000,165.610000,8.590000,0.000000,72.340000,0.000000,0.000000,8.380000,0.000000,0.000000,8.380000,35.190000,271.290000,0.000000,32.34,0,32.33,30.66,15.43,125.97,45.65,48.33,15.22,35.95,24.66,25.19,35.95,32.33,43.180056,15.22,49.34

37,09:00:09:15,36.650000,165.610000,9.180000,0.000000,67.520000,0.000000,0.000000,8.950000,0.000000,0.000000,8.950000,35.190000,271.290000,0.000000,32.34,1.52,32.33,33.27,15.6,140.43,46.92,53.87,15.64,36.71,28,28.08,36.71,32.33,47.5605,15.64,56

38,09:15-09:30,36.650000,165.610000,9.640000,0.000000,62.700000,0.000000,0.000000,9.410000,0.000000,0.000000,9.410000,35.190000,271.290000,0.000000,32.34,2.07,32.33,35.51,15.28,155.12,48.94,59.2,16.32,37.21,30.33,31.02,37.21,32.33,51.931188,16.31,60.67

39,09:30-09:45,36.650000,165.610000,9.950000,0.000000,77.170000,0.000000,0.000000,9.710000,0.000000,0.000000,9.710000,35.190000,271.290000,0.000000,32.34,4.16,32.33,37.37,14.73,169.75,49.56,64.2,16.52,37.51,32.66,33.95,37.51,32.33,55.492128,16.52,65.34

40,09:45-10:00,36.650000,190.690000,10.130000,0.000000,101.040000,0.000000,0.000000,9.880000,0.000000,0.000000,9.880000,35.190000,271.290000,0.000000,32.34,4.07,32.33,39.72,14.98,181.46,49.82,68.57,16.61,38.21,35,36.29,38.21,32.33,58.594536,16.6,70

41,10:00-10:15,51.640000,165.610000,10.320000,0.000000,72.340000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,57.900000,271.290000,0.000000,32.34,4.11,32.33,41.72,16.1,194.06,48.75,72.77,16.25,38.65,37.66,38.81,38.65,32.33,60.945732,16.25,75.34

42,10:15-10:30,51.640000,165.610000,10.320000,0.000000,72.340000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,57.900000,271.290000,0.000000,32.34,4.04,32.33,43.18,17.55,205.98,50.65,76.83,16.88,39.34,38.66,41.2,39.34,32.33,62.428644,16.88,77.34

43,10:30-10:45,51.640000,165.610000,10.320000,0.000000,72.340000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,57.900000,271.290000,0.000000,32.34,4.18,32.33,44.14,17.72,216.66,51.92,81.2,17.3,40.3,39,43.33,40.3,32.33,63.209124,17.31,78

44,10:45-11:00,51.640000,165.610000,10.320000,0.000000,72.340000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,57.900000,271.290000,0.000000,32.34,4.04,32.33,44.88,17.63,225.63,52.1,83.6,17.36,51.87,38.66,45.12,51.87,32.33,63.56034,17.37,77.34

45,11:00-11:15,51.640000,165.610000,10.320000,0.000000,101.040000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,62.150000,271.290000,0.000000,32.66,7.28,32.67,46.63,18.4,228.8,55.4,90.67,18.45,51.21,38.66,45.76,51.21,32.67,65.199348,18.47,77.34

46,11:15-11:30,51.640000,165.610000,10.320000,0.000000,101.040000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,66.410000,271.290000,0.000000,32.66,7.29,32.67,47.52,16.93,228.8,55.7,91.2,18.55,50.87,39,45.76,50.87,32.67,67.85298,18.57,78

47,11:30-11:45,51.640000,176.220000,10.320000,0.000000,101.040000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,70.670000,271.290000,0.000000,32.66,7.24,32.67,47.82,17.51,228.8,56.81,91.27,18.93,50.75,39.66,45.76,50.75,32.67,70.350516,18.94,79.34

48,11:45-12:00,51.640000,176.220000,10.320000,0.000000,101.040000,0.000000,0.000000,10.080000,0.000000,0.000000,10.080000,70.670000,271.290000,0.000000,32.66,7.34,32.67,47.71,19.34,228.8,59.22,91.27,19.73,51.36,40.33,45.76,51.36,32.67,72.4383,19.74,80.67

