Block,Time,L_NR_2012_04,L_NR_2023_04,L_NR_2012_02,LT-05,LT-59,SH-07,LT-35,L_NR_2012_01,LT-31,LT-36,L_NR_2012_07,L_NR_2020_02,L_NR_2019_11,SH-06,L_NR_2022_09,L_NR_2019_06,L_NR_2020_05,L_NR_2021_16,L_NR_2021_12,L_NR_2021_14,L_NR_2021_15,L_NR_2020_07,L_NR_2021_13,L_NR_2019_05,L_NR_2021_17,L_NR_2020_06,L_NR_2022_08,L_NR_2019_07,L_NR_2019_19,L_NR_2018_61,L_NR_2022_10
1,00:00-00:15,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,9.060000,0.000000,30.890000,36.15,0,53.38,0,0,0,0,17.79,0,0,0,17.79,13.84,0,0,43.02,36.15

2,00:15-00:30,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,9.060000,0.000000,30.890000,35.44,0,52.63,0,0,0,0,17.55,0,0,0,17.54,13.53,0,0,43.02,35.44

3,00:30-00:45,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,9.060000,0.000000,30.890000,34.74,0,51.64,0,0,0,0,17.22,0,0,0,17.21,13.33,0,0,43.02,34.74

4,00:45-01:00,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,9.060000,0.000000,30.890000,34.16,0,50.99,0,0,0,0,16.99,0,0,0,17,13.14,0,0,42.82,34.16

5,01:00-01:15,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,8.500000,0.000000,0.000000,33.66,0,50.99,0,0,0,0,16.98,0,0,0,17,12.96,0,0,43.02,33.66

6,01:15-01:30,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,8.500000,0.000000,0.000000,48.55,0,50.65,0,0,0,0,16.88,0,0,0,16.88,12.79,0,0,43.02,48.55

7,01:30-01:45,271.520000,31.860000,261.240000,115.890000,10.410000,30.890000,0.000000,101.130000,0.000000,0.000000,74.030000,8.500000,0.000000,0.000000,47.77,0,58.04,0,0,0,0,19.34,0,0,0,19.35,17.27,0,0,43.02,47.77

