Time,Block,NR/2023/17545/C,NR/2023/17531/D,ER/2023/11230/C,ER/2023/11226/C,NR/2023/16077/A,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2023/17538/C,NR/2023/16185/A,NR/2023/17555/C,NR/2023/17546/C,NR/2023/13383/A,NR/2023/13253/A,NR/2023/16191/A,NR/2023/13254/A,NR/2023/13150/A,NR/2023/13387/A,NR/2023/17544/C,NR/2023/17537/C,NR/2023/13148/A,NR/2023/16291/F,NR/2023/13168/A,NR/2023/13165/A,NR/2023/17554/C,NR/2023/13385/A,NR/2023/15770/A,NR/2023/16073/A,Total
,,SJVNL,NVVNL,HPXL,IEXL,APPCPL,BAWANA_GAS,PUNJAB,GBHHPL,MANIKARAN,IEXL,TPDDL,APPCPL,APPCPL,MANIKARAN,APPCPL,KEIPL,NVVNL,SJVNL,NVVNL,KEIPL,ITCLH,GMRETL,GMRETL,IEXL,NVVNL,NVVNL,APPCPL,Total

,,NA,NA,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,UTTAR PRADESH,NA,MEGHALAYA,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,NA,MP,NA,GOA,
,,RSRPL_BKN,SOLAPUR_SOLAR,BYPL,BYPL,HP,BAWANA_GAS,BAWANA_GAS,GBHHPL,HP,Teesta_III,CHANJUII,HP,UTTARAKHAND,HP,Meghalaya_Ben,Meghalaya_Ben,JPNIGRIE_JNSTPP,BCMLB001,KAMENG,Meghalaya_Ben,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,RKM_POWER,JP BINA,SKS Raigarh,GOA_Beneficiary,
,,DELHI,DELHI,ODISHA,WEST BENGAL,DELHI,HARYANA,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,MES (Delhi),VLSEZ,IPCL_WB,BRPL,HARYANA,PUNJAB,DIAPL,BRPL,BRPL,TPDDL,BYPL,BYPL,BRPL,BYPL,BYPL,BRPL,NDMC,TPDDL,BYPL,ITCLH,BYPL,BYPL,BRPL,BRPL,NDMC,BRPL,
,,North-North,West-North,North-East,North-East,North-North,North-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,North-North,North East-East-North,North East-East-North,West-North,North-North,North East-East-North,North East-East-North,South-West-North,North East-East-North,North East-East-North,West-East-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0.000000,0.000000,85.930000,0.000000,0.000000,6.050000,38.660000,297.710000,6.820000,36.830000,48.330000,42.050000,19.420000,63.020000,100.040000,0.000000,112.610000,36.470000,0.870000,32.860000,21.270000,125.660000,50.020000,43.500000,24.160000,1192.28

2,00:15-00:30,0,0,0.000000,0.000000,85.930000,0.000000,0.000000,6.050000,38.660000,253.250000,6.820000,36.830000,48.330000,42.050000,19.420000,63.020000,100.040000,0.000000,112.610000,36.470000,0.870000,32.860000,21.270000,125.660000,50.020000,43.500000,24.160000,1147.82
