Block,Time,RAMPUR,UNCHAHAR3,CHAMERA2,ANTA_CRF,TANDA2,URI,UNCHAHAR4,ANTA_RF,DADRI_LF,ANTA_LF,KOLDAM,AURY_CRF,KOTESHWR,CHAMERA3,KISHANGANGA,RIHAND2,RIHAND3,DHAULIGNGA,RIHAND1,TANAKPUR,AURY_GF,UNCHAHAR1,NAPP,RAPPB,DADRI_RF,JHAJJAR,URI2,AURY_RF,DADRT2,DULHASTI,SEWA2,SINGRAULI,DADRI_GF,PARBATI3,AURY_LF,NJPC,CHAMERA1,ANTA_GF,SINGRAULI_HYDRO,UNCHAHAR2,TEHRI,SALAL,RAPPC,BSIUL,DADRI_CRF,FSTPP I & II,SASAN,KUDGI,BRBCL,KHSTPP-I,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.710148,16.379818,40.524901,0.000000,1.348163,45.952896,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,18.854326,40.332031,0.000000,0.000000,582.579898,33.472660,0.000000,355.108925,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.015406,41.672400,33.910814,64.114512,53.424540,19.032235,0.000000,20.066640,405.217578,29.86,11.170236,41.717896,8.537760,142.795004,0,0,0,0,0

2,00:15-00:30,1.710148,16.379818,40.524901,0.000000,1.348163,45.952896,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,14.781540,40.332031,0.000000,0.000000,472.884085,33.472660,0.000000,348.622199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.015406,41.672400,33.910814,64.114512,53.424540,19.032235,0.000000,20.066640,405.369360,29.04,11.170236,41.717896,8.537760,142.795004,0,0,0,0,0

3,00:30-00:45,1.710148,16.379818,40.524901,0.000000,1.348163,45.952896,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,391.233075,33.472660,0.000000,348.622199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.015406,41.672400,33.910814,64.114512,53.424540,19.032235,0.000000,20.066640,405.369360,29.04,11.170236,41.717896,10.387608,142.795004,0,0,0,0,0

4,00:45-01:00,1.710148,16.379818,40.524901,0.000000,1.348163,45.952896,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,371.873075,33.472660,0.000000,348.622199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.015406,41.672400,33.910814,64.114512,53.424540,19.032235,0.000000,20.066640,405.369360,29.04,11.170236,41.717896,10.387608,142.795004,0,0,0,0,0

5,01:00-01:15,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,300.186338,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,35.121363,25.433111,64.114512,53.424540,19.032235,0.000000,14.970604,405.369360,29.04,11.170236,38.345384,10.387608,142.795004,0,0,0,0,0

6,01:15-01:30,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,236.460545,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,35.121363,16.955407,64.114512,53.424540,19.032235,0.000000,14.970604,405.369360,29.04,11.170236,38.345384,10.387608,142.795004,0,0,0,0,0

7,01:30-01:45,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,35.121363,16.955407,64.114512,53.424540,19.032235,0.000000,14.970604,405.369360,29.04,11.170236,38.345384,10.387608,142.795004,0,0,0,0,0

8,01:45-02:00,1.710148,16.379818,40.524901,0.000000,1.348163,50.227584,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,35.121363,16.955407,64.114512,53.424540,19.032235,0.000000,14.970604,405.369360,29.04,11.170236,38.345384,10.387608,142.795004,0,0,0,0,0

9,02:00-02:15,1.710148,16.379818,40.524901,0.000000,1.348163,50.227584,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,35.121363,16.955407,64.114512,53.424540,19.032235,0.000000,14.970604,405.369360,29.04,11.170236,35.962458,10.387608,108.668454,0,0,0,0,0

10,02:15-02:30,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,24.467846,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,25.100627,10.387608,108.668454,0,0,0,0,0

11,02:30-02:45,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,11.780076,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,24.467846,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,25.100627,10.387608,108.668454,0,0,0,0,0

12,02:45-03:00,1.710148,16.379818,40.524901,0.000000,1.348163,45.418560,0.784080,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,11.780076,0.000000,13.176126,40.332031,0.000000,0.000000,236.353075,33.199415,0.000000,300.222199,50.323618,16.058021,137.456000,0.000000,19.445122,0.000000,154.897106,41.294880,0.000000,1.034565,24.467846,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,25.100627,10.387608,108.668454,0,0,0,0,0

13,03:00-03:15,1.710148,13.857062,40.524901,0.000000,0.684528,45.418560,0.078408,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,11.780076,0.000000,8.731360,40.332031,0.000000,0.000000,230.817836,32.396071,0.000000,240.197850,50.323618,16.058021,137.456000,0.000000,31.112195,0.000000,154.897106,41.294880,0.000000,1.034565,23.866911,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,25.100240,10.387608,108.668454,0,0,0,0,0

14,03:15-03:30,1.710148,13.857062,40.524901,0.000000,0.684528,45.418560,0.078408,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,11.780076,0.000000,8.731360,40.332031,0.000000,0.000000,230.817836,32.396071,0.000000,180.326937,50.323618,16.058021,137.456000,0.000000,31.112195,0.000000,154.897106,41.294880,0.000000,1.034565,23.866911,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,25.100240,10.387608,108.668454,0,0,0,0,0

15,03:30-03:45,1.710148,13.857062,40.524901,0.000000,0.684528,50.227584,0.078408,0.000000,0.000000,0.000000,2.594839,0.000000,7.973913,29.595238,2.114555,115.763120,121.285842,37.147370,90.333760,7.440048,0.000000,8.731360,40.332031,0.000000,0.000000,230.817836,32.396071,0.000000,180.326937,50.323618,16.058021,137.456000,0.000000,31.112195,0.000000,154.897106,41.294880,0.000000,1.034565,21.560589,16.955407,64.114512,53.424540,19.032235,0.000000,10.749446,405.369360,29.04,11.170236,21.296000,10.387608,108.668454,0,0,0,0,0

