Block,Time,CHAMERA3,KKNPPU2,MAPS,RAPPB,TelanganaSTPP,URI2,KOLDAM,NLCTS2EXP,PARBATI3,RAPPC,RIHAND3,SINGRAULI,TEHRI,CHAMERA1,KHSTPP-I,KKNP,KOTESHWR,RSTPSU7,TALA,TANAKPUR,URI,DADRI_RF,BRBCL,BSIUL,FSTPP I & II,JHAJJAR,KISHANGANGA,SIMHST1,SIMHST2,TANDA2,ANTA_LF,DADRT2,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NNTPP,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR2,DADRI_CRF,DHAULIGNGA,DULHASTI,KGSU1AND2,KHSTPP-II,KUDGI,NAPP,UNCHAHAR1,UNCHAHAR4,ANTA_RF,AURY_GF,AURY_LF,DADRI_GF,DADRI_LF,CHAMERA2,RSTPSU1TO6,SASAN,UNCHAHAR3,VALLURNTECL,ANTA_CRF,AURY_CRF,AURY_RF,KGSU3AND4,NTPL,RAMPUR,RIHAND1,SALAL,SEWA2,TALST2,ANTA_GF
1,00:00-00:15,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.05,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,25.57,10.53,0,0

2,00:15-00:30,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.05,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,25.57,10.53,0,0

3,00:30-00:45,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.05,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

4,00:45-01:00,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.05,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

5,01:00-01:15,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.05,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

6,01:15-01:30,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

7,01:30-01:45,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

8,01:45-02:00,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,69.72,10.53,0,0

9,02:00-02:15,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,17.44,10.53,0,0

10,02:15-02:30,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,5.76,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

11,02:30-02:45,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

12,02:45-03:00,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.26,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

13,03:00-03:15,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

14,03:15-03:30,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

15,03:30-03:45,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,33.12,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

16,03:45-04:00,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,33.12,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

17,04:00-04:15,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

18,04:15-04:30,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,0,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,10.53,0,0

19,04:30-04:45,0,0,0,0,0,31.9,0,0,0,25.89,62.16,139.69,11.72,0,45.53,0,8.87,0,0,0,36.43,59.73,20,6.52,18.2,434.65,0,0,0,0,0,683.14,0,0,0,0,0,118.76,0.75,42.39,0,0,16.48,0,148.3,0,20.19,18.85,0,43.57,0,0,0,0,0,0,393.75,26.4,0,0,0,69.51,0,0,0,92,13.36,15.81,0,0

