Time,Block,NR/2024/20048/A/22966,NR/2024/20041/A/22967,NR/2024/19699/A/22988,NR/2024/19988/A/22849,NR/2024/20553/A/22588,NR/2024/20557/A/22982,NR/2024/19966/A/22872,NR/2024/20870/C,NR/2024/20141/A/22650,NR/2024/20515/A/22654,NR/2024/20599/A/22845,NR/2024/20109/A/22970,NR/2024/20090/A/22592,NR/2024/19757/A/22986,NR/2024/20901/C,NR/2024/20777/A/22862,NR/2024/19779/A/22582,NR/2024/20540/A/22432,NR/2024/19791/A/22976,NR/2024/20558/A/22981,NR/2024/19432/A/22990,NR/2024/20130/A/22667,NR/2024/19978/A/22975,NR/2024/19640/A/23072,NR/2024/19683/A/22610,NR/2024/20524/A/22930,NR/2024/20597/A/22960,NR/2024/19588/A/22866,NR/2024/19918/A/22974,NR/2024/19355/A/22971,NR/2024/20914/C,NR/2024/20554/A/22528,NR/2024/19919/A/22973,NR/2024/20905/C,NR/2024/20144/A/22648,NR/2024/20513/A/22655,NR/2024/20895/C,NR/2024/19637/A/22694,NR/2024/20516/A/22653,NR/2024/19475/A/22911,NR/2024/19642/A/23070,NR/2024/20050/A/22965,NR/2024/20598/A/22841,NR/2024/20037/A/22847,NR/2024/20537/A/22969,NR/2024/20212/A/22652,NR/2024/19760/A/22851,NR/2024/20572/A/22979,NR/2024/20211/A/22651,NR/2024/20142/A/22649,NR/2024/20552/A/22589,NR/2024/20560/A/22980,NR/2024/20869/C,Total
,,PTC,PTC,NVVNL,TPTCL,IEXL,NVVNL,BRPL,NVVNL,BAL184,MHIL,TPTCL,TPDDL,IEXL,NVVNL,IEXL,TPTCL,ITCLH,DIAPL,APPCPL,NVVNL,NVVNL,DTCP,APPCPL,MANIKARAN,IEXL,HPXL,PTC,GMRETL,APPCPL,TPDDL,DIAPL,PXIL,APPCPL,IEXL,BAL234,MSSH,HPXL,INSTINCT,BMDRC,AEL,MANIKARAN,PTC,TPTCL,TPTCL,TPDDL,UHL,TPTCL,NVVNL,JHPL-DL,BAL224,IEXL,NVVNL,NVVNL,Total

,,HIMACHAL PRADESH,MAHARASHTRA,MP,HIMACHAL PRADESH,MAHARASHTRA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,HIMACHAL PRADESH,UTTARAKHAND,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,RAJASTHAN,NAGALAND,NA,HIMACHAL PRADESH,NA,KERALA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,GOA,HIMACHAL PRADESH,UTTAR PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,NA,
,,HP,JPL_DHULE,JP BINA,HP-GOVT,JSWEL MSEB,SKS Raigarh,IEPLBELA2022,KAMENG,SHPPBPL,SHPPBPL,ACBIL,JHAJJAR,A_A_Energy_MH_Bio,TANGEDCO,HP-GOVT,HP-GOVT,ITCWIND,GBHHPL,TANGEDCO,RKM_POWER,SEIL,SHPPBPL,UTTARAKHAND,AEML,NHCPL_HP,GBHHPL,SEILP2,RUVNL,Nagaland_Ben,JPL-2,GBHHPL,IND_BHARAT,KSEB,KWHEP,SHPPBPL,SHPPBPL,SINGOLI,JPL-2,SHPPBPL,APL_Raipur TPP,GOA_Beneficiary,HP,PPGCL,JPL_DHULE,JHAJJAR,SHPPBPL,SIMHAPURI,JPL-2,SHPPBPL,SHPPBPL,JSWEL,RKM_POWER,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,TPDDL,BAL184,MHIL,BRPL,TPDDL,MES (Delhi),BRPL,BRPL,BRPL,ITCLH,DIAPL,BYPL,NDMC,TPDDL,DTCP,BYPL,BYPL,MES (Delhi),BRPL,BRPL,BYPL,BYPL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,BAL234,MSSH,BRPL,BRPL,BMDRC,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,UHL,BRPL,NDMC,JHPL-DL,BAL224,BRPL,NDMC,MES (Delhi),
,,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,South-West-North,North-North,North-North,South-West-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North East-East-North,West-North,North-North,East-West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,South-West-North,West-North,North-North,North-North,South-East-West-North,West-North,West-North,
1,00:00-00:15,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2100.54

2,00:15-00:30,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2100.54
