Block,Time,KGSU1AND2,KOLDAM,NAPP,NTPL,RIHAND3,RSTPSU7,UNCHAHAR3,URI2,AURY_GF,AURY_LF,FSTPP I & II,KHSTPP-I,KUDGI,NJPC,NLCEXP,NLCTS2EXP,RIHAND2,SASAN,SINGRAULI,ANTA_CRF,ANTA_GF,BRBCL,CHAMERA2,MAPS,RAPPC,SIMHST1,TelanganaSTPP,KHSTPP-II,KISHANGANGA,KOTESHWR,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR2,UNCHAHAR4,URI,CHAMERA1,DHAULIGNGA,JHAJJAR,KGSU3AND4,RAPPB,RSTPSU1TO6,SEWA2,TALA,UNCHAHAR1,DADRI_GF,DULHASTI,KKNP,NNTPP,PARBATI3,SIMHST2,AURY_CRF,AURY_RF,KKNPPU2,SALAL,TALST2,ANTA_LF,DADRI_CRF,DADRI_LF,BSIUL,CHAMERA3,DADRT2,NLCIIST1,NLCIIST2,RAMPUR,RIHAND1,TANAKPUR,VALLURNTECL,ANTA_RF,DADRI_RF
1,00:00-00:15,0,0,43.89,0,60.68,0,26.4,4.31,0,0,17.79,33.69,0,0,0,0,118.76,418.77,104.15,44.1,0,20,0,0,53.93,0,0,148.3,0,17.75,0.54,0,0,42.39,0,1.11,0,0,434.65,0,0,0,0,0,10.28,0,0,0,0,0,0,53.75,0,0,1.4,0,0,92.62,0,0,0,683.14,0,0,0,92,0,0,0,0

2,00:15-00:30,0,0,43.89,0,60.68,0,26.4,4.31,0,0,17.79,33.69,0,0,0,0,118.76,418.77,104.15,44.1,0,20,0,0,53.93,0,0,148.3,0,17.75,0.54,0,0,42.39,0,1.11,0,0,434.65,0,0,0,0,0,10.28,0,0,0,0,0,0,53.75,0,0,1.4,0,0,92.62,0,0,0,683.14,0,0,0,92,0,0,0,0

3,00:30-00:45,0,0,43.89,0,60.68,0,26.4,4.31,0,0,17.79,33.69,0,0,0,0,118.76,418.77,104.15,44.1,0,20,0,0,53.93,0,0,148.3,0,17.75,0,0,0,42.39,0,1.11,0,0,434.65,0,0,0,0,0,10.28,0,0,0,0,0,0,53.75,0,0,1.4,0,0,92.62,0,0,0,683.14,0,0,0,92,0,0,0,0

4,00:45-01:00,0,0,43.89,0,60.68,0,26.4,4.31,0,0,17.79,33.69,0,0,0,0,118.76,418.77,104.15,44.1,0,20,0,0,53.93,0,0,148.3,0,17.75,0,0,0,42.39,0,1.11,0,0,434.65,0,0,0,0,0,10.28,0,0,0,0,0,0,53.75,0,0,1.4,0,0,92.62,0,0,0,683.14,0,0,0,92,0,0,0,0

5,01:00-01:15,0,0,43.89,0,60.68,0,26.4,4.31,0,0,17.79,33.69,0,0,0,0,118.76,418.77,104.15,44.1,0,20,0,0,53.93,0,0,148.3,0,17.75,0,0,0,42.39,0,1.11,0,0,434.65,0,0,0,0,0,10.28,0,0,0,0,0,0,53.75,0,0,1.4,0,0,92.62,0,0,0,683.14,0,0,0,92,5.76,0,0,0

