Block,Time Block,ANTA_LF,AURY_GF,UNCHAHAR2,URI,ANTA_GF,AURY_CRF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,UNCHAHAR3,URI2,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,TANDA2,TelanganaSTPP,SIMHST2,TALA,SALAL,SEWA2,SINGRAULI,TEHRI,TANAKPUR,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,JHAJJAR,FSTPP I & II,DULHASTI,NAPP,NJPC,RSTPSU1TO6,NNTPP,RAPPC,NTPL,PARBATI3,RIHAND3,RSTPSU7,RAPPB,NLCEXP,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,DHAULIGNGA,KOLDAM,MAPS,KKNP,KOTESHWR,KISHANGANGA,KKNPPU2,KUDGI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,KHSTPP-II,KHSTPP-I,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,0,134.07,0,0,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.7,0,6.26,0,0,17.36,142.34,43.7,0,0,0,0,0,0,0

2,00:15-00:30,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,0,134.07,0,0,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.04,0,6.26,0,0,17.79,142.34,43.7,0,0,0,0,0,0,0

3,00:30-00:45,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,0,134.07,0,0,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.04,0,6.26,0,0,17.11,142.34,43.7,0,0,0,0,0,0,0

4,00:45-01:00,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,0,134.07,0,0,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.33,0,6.26,0,0,15.31,142.34,43.7,0,0,0,0,0,0,0

5,01:00-01:15,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,68.03,0,134.07,0,5.53,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.62,0,6.26,0,0,12.69,142.34,43.7,0,0,0,0,0,0,0

6,01:15-01:30,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,68.03,0,134.07,0,5.53,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,597.42,0,6.26,0,0,13.16,142.34,43.7,0,0,0,0,0,0,0

7,01:30-01:45,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,68.03,0,134.07,0,5.53,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,597.42,0,6.26,0,0,12.34,142.34,43.7,0,0,0,0,0,0,0

8,01:45-02:00,0,0,40.69,34.12,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,68.03,0,134.07,0,5.53,331.5,0,0,0.74,414.47,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,597.43,0,6.26,0,0,12.23,142.34,43.7,0,0,0,0,0,0,0

9,02:00-02:15,0,0,33.23,34.12,0,0,7.91,0,0,0,0,0,20.82,30.62,0,0,0,0,0,0,0,0,0,68.03,0,128.13,0,5.53,331.5,0,0,0.74,393.92,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,528.17,0,6.26,0,0,11.38,142.34,43.7,0,0,0,0,0,0,0

10,02:15-02:30,0,0,33.23,34.12,0,0,7.91,0,0,0,0,0,20.82,30.62,0,0,0,0,0,0,0,0,0,68.03,0,128.13,0,5.53,331.5,0,0,0.74,393.92,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,480.18,0,6.26,0,0,12.06,142.34,43.7,0,0,0,0,0,0,0

11,02:30-02:45,0,0,33.23,34.12,0,0,7.91,0,0,0,0,0,20.82,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,393.92,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,480.18,0,6.26,0,0,14.98,142.34,43.7,0,0,0,0,0,0,0

12,02:45-03:00,0,0,33.23,34.12,0,0,7.91,0,0,0,0,0,20.82,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,393.92,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,480.18,0,6.26,0,0,13.64,142.34,43.7,0,0,0,0,0,0,0

13,03:00-03:15,0,0,33.23,34.12,0,0,7.91,0,0,0,0,0,20.82,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,341.16,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,480.25,0,6.26,0,0,12.58,142.34,43.7,0,0,0,0,0,0,0

14,03:15-03:30,0,0,27.61,34.12,0,0,6.62,0,0,0,0,0,17.31,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,283.57,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,476.2,0,6.26,0,0,12.84,142.34,43.7,0,0,0,0,0,0,0

15,03:30-03:45,0,0,27.61,33.91,0,0,6.62,0,0,0,0,0,17.31,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,229.39,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,476.2,0,6.26,0,0,17.7,142.34,43.7,0,0,0,0,0,0,0

16,03:45-04:00,0,0,27.61,33.91,0,0,6.62,0,0,0,0,0,17.31,30.62,0,0,0,0,0,0,0,0,0,25.66,0,128.13,0,0.24,321.77,0,0,0.74,229.39,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,476.2,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

17,04:00-04:15,0,0,27.61,33.91,0,0,6.62,0,0,0,0,0,17.31,30.62,0,0,0,0,0,0,0,0,0,25.66,8.95,128.13,0,0.24,321.77,0,0,0.74,254.77,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,505,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

18,04:15-04:30,0,0,27.61,33.91,0,0,6.62,0,0,0,0,0,17.31,30.62,0,0,0,0,0,0,0,0,0,25.66,8.95,128.13,0,0.24,321.77,0,0,0.74,312.37,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,524.19,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

19,04:30-04:45,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,14.07,128.13,0,0.24,321.77,0,0,0.74,369.95,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,557.03,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

20,04:45-05:00,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,10.76,0.24,321.77,0,0,0.74,321.96,11.23,0,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,572.18,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

21,05:00-05:15,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,21.53,0.24,321.77,0,0,0.74,399.83,11.23,15.82,19.47,0,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,648.78,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

22,05:15-05:30,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,33.37,0.24,321.77,0,0,0.74,414.47,11.23,15.82,19.47,19.08,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,0,0,0,0,8.51,0,0,0,651.67,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

23,05:30-05:45,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,33.37,0.24,321.77,0,0,0.74,414.47,11.23,15.82,19.47,41.81,0,0,24.61,0,0,119.33,0,0,0,113.99,0,0,88.3,0,0,8.77,0,0,0,8.51,0,0,0,651.7,0,6.26,0,0,19.2,142.34,43.7,0,0,0,0,0,0,0

24,05:45-06:00,0,0,40.69,33.91,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,33.37,0.24,321.77,0,0,0.74,414.47,11.23,15.82,19.47,67.35,0,0,24.61,0,2.44,119.33,0,0,0,113.99,0,0,88.3,0,0,8.77,0,0,0,8.51,0,0,0,651.7,12.51,6.26,0,2.55,19.2,142.34,43.7,0,0,0,0,0,0,0

25,06:00-06:15,0,0,40.69,38.15,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,33.37,0.24,336.35,0,0,0.74,414.47,11.23,15.82,19.47,67.35,0,0,24.61,0,6.11,119.33,0,0,0,113.99,0,0,88.3,0,0,8.77,0,0,0,8.51,0,0,0,651.7,12.89,6.26,0,12.64,19.2,142.34,43.7,0,0,0,0,0,0,0

26,06:15-06:30,0,0,40.69,38.15,0,0,9.32,0,0,0,0,0,25.34,30.62,0,0,0,0,0,0,0,0,0,25.66,15.17,128.13,44.02,0.24,353.31,0,0,0.74,414.47,11.23,31.64,19.47,89.8,0,0,24.61,0,31.77,119.33,0,0,0,113.99,0,0,88.3,0,0,17.54,0,0,0,17.04,0,0,0,651.7,26.92,12.52,18.57,25.28,19.2,142.34,43.7,0,0,0,0,0,0,0

