Block,Time,BRBCL,KOTESHWR,RSTPSU1TO6,SALAL,SASAN,TANAKPUR,URI2,BSIUL,DADRT2,FSTPP I & II,KHSTPP-II,KKNP,KKNPPU2,RAMPUR,SEWA2,TALA,UNCHAHAR4,CHAMERA2,JHAJJAR,KGSU1AND2,NAPP,NTPL,PARBATI3,TANDA2,UNCHAHAR1,UNCHAHAR2,ANTA_GF,DADRI_LF,DULHASTI,KHSTPP-I,KOLDAM,RAPPB,RAPPC,RIHAND2,SIMHST1,TALST2,TelanganaSTPP,VALLURNTECL,AURY_GF,RSTPSU7,SIMHST2,DADRI_GF,DADRI_RF,CHAMERA3,KISHANGANGA,KUDGI,MAPS,NLCIIST1,NLCTS2EXP,RIHAND1,TEHRI,UNCHAHAR3,URI,ANTA_CRF,AURY_LF,AURY_RF,CHAMERA1,NJPC,NNTPP,SINGRAULI_HYDRO,ANTA_LF,DADRI_CRF,DHAULIGNGA,KGSU3AND4,NLCEXP,NLCIIST2,RIHAND3,SINGRAULI,ANTA_RF,AURY_CRF
1,00:00-00:15,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,16.48,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.23,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.46,0

2,00:15-00:30,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,16.48,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.46,0

3,00:30-00:45,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,16.48,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.46,0

4,00:45-01:00,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,16.48,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.46,0

5,01:00-01:15,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,0,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.46,0

6,01:15-01:30,20,8.87,0,2.33,405,0,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,0,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.71,0,0,0,0,0,0,124.33,125.96,28.66,0

7,01:30-01:45,20,8.87,0,15.11,405,2.05,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,0,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.8,0,0,0,0,0,0,124.33,125.96,28.66,0

8,01:45-02:00,20,8.87,0,70.88,405,2.05,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,0,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.8,0,0,0,0,0,0,124.33,125.96,28.66,0

9,02:00-02:15,20,8.87,0,70.88,405,2.05,31.9,6.52,683.14,18.2,148.3,0,0,0,0,0,0,0,434.65,0,20.4,0,0,0,20.85,42.39,0,0,0,45.53,0,0,25.76,118.76,0,0,0,0,0,0,0,0,59.73,0,0,0,0,0,0,92,0,26.4,34.78,0,0,68.96,0,0,0,0.8,0,0,0,0,0,0,124.33,125.96,28.66,0

