Column1,Time,WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/8106,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,8.66,86.95,9.16,17.67,17.67,0,0,0,0,9.17,0,0,0,27.5,0,0,0,0,0,8.21,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,261.73,0

2,00:15-00:30,8.34,86.95,9.16,18,18,0,0,0,0,9.17,0,0,0,27.5,0,0,0,0,0,8.01,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,261.73,0

3,00:30-00:45,8,86.95,8.84,18.33,18.33,0,0,0,0,8.83,0,0,0,26.5,0,0,0,0,0,7.81,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,261.73,0

4,00:45-01:00,7.34,86.95,8.5,18.33,18.33,0,0,0,0,8.5,0,0,0,25.5,0,0,0,0,0,7.61,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,261.73,0

5,01:00-01:15,6.66,86.95,8.16,19,19,0,0,0,0,8.17,0,0,0,24.5,0,0,0,0,0,7.41,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,231.36,0

6,01:15-01:30,6.66,86.95,7.84,19.33,19.33,0,0,0,0,7.83,0,0,0,23.5,0,0,0,0,0,7.41,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,231.36,0

7,01:30-01:45,6.66,86.95,7.5,15,15,0,0,0,0,7.5,0,0,0,22.5,0,0,0,0,0,7.21,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,231.36,0

8,01:45-02:00,6.66,86.95,7.16,15,15,0,0,0,0,7.17,0,0,0,21.5,0,0,0,0,0,7.21,26.29,8.76,192.8,272.57,0,8.76,5.16,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,184.22,0

9,02:00-02:15,6.66,86.95,6.84,15,15,0,0,0,0,6.83,0,0,0,20.5,0,0,0,0,0,7.21,26.29,8.76,0,272.57,0,8.76,5.06,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,184.22,0

10,02:15-02:30,6.66,86.95,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0,8.76,5.06,2.95,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.87,0,184.22,0

11,02:30-02:45,6.66,86.95,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.95,2.91,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

12,02:45-03:00,6.66,86.95,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.95,2.91,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

13,03:00-03:15,6.66,67.99,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.32,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

14,03:15-03:30,6.66,67.99,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.32,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

15,03:30-03:45,6.66,67.99,6.66,15,15,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

16,03:45-04:00,6.66,67.99,6.66,14.33,14.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

17,04:00-04:15,6.66,67.99,6.66,13.67,13.67,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

18,04:15-04:30,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0.48,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,0.48,26.29,0,26.29,2.87,0,184.22,0

19,04:30-04:45,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,7.98,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,7.98,26.29,0,26.29,2.87,0,184.22,0

20,04:45-05:00,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,7.98,8.76,5.06,2.63,2.83,29.27,30.57,91.71,70.29,0,7.98,26.29,0,26.29,2.87,0,184.22,0

21,05:00-05:15,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0,8.76,5.06,2.55,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.78,0,184.22,0

22,05:15-05:30,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0,8.76,5.06,2.55,2.76,29.27,30.57,91.71,70.29,0,0,26.29,0,26.29,2.78,0,184.22,0

23,05:30-05:45,6.66,67.99,6.66,13.33,13.33,0,0,0,0,6.67,0,0,0,20,0,0,0,0,0,7.01,26.29,8.76,0,272.57,0,8.76,5.06,2.55,2.76,28.26,30.57,91.71,70.29,0,0,26.29,0,26.29,2.78,0,184.22,0

