Column1,Block,NR/2024/24352/C,NR/2024/24351/C,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,GNA/NR/2024/12/20/4544,GNA/NR/2024/12/01/7739,GNA/SR/2024/12/01/6968,NR/2024/24052/A/45908,NR/2024/24051/A/45909,NER/2024/2770/A/46130,NR/2024/24146/A/45896,NR/2024/24097/A/45902,NR/2024/24088/A/45904,NR/2024/23952/A/45893,NR/2024/24060/A/46159,NR/2024/24353/C,NR/2024/24354/C,WR/2024/25054/A/46134,NR/2024/24225/A/46115,NR/2024/24071/A/45907,NR/2024/24224/A/46113,NR/2024/24227/A/46118,Total
,,SJVNL,SJVNL,PTC,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,DELHI,MANIKARAN,APPCPL,BAWANA_GAS,HPXL,PTC,KSEB,IEXL,IEXL,APPCPL,IEXL,IEXL,IEXL,ITCLH,NVVNL,SJVNL,PXIL,APPCPL,OIDLWM2_AEROCITY,IEXL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,
,,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,Meghalaya_State,DELHI_UT,DELHI_UT,TELANGANA_State,TELANGANA_State,DELHI_UT,MP_State,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,ODISHA_STATE,DELHI_UT,NA,NA,NA,NA,
,,TPSL_BKN2,RSRPL_BKN,BRPL,RKM_POWER,BAWANA_GAS,TRN_ENERGY,RKM_POWER,SKS_Raigarh,JPL2,CHANJUII,BRPL,BYPL,BAWANA_GAS,Meghalaya_Ben,BYPL,BYPL,NSLKSLWPRTY,NSLKSLWPRTY,BYPL,NSPLN_MP,NSLSUGARALAND,NSLSTUNGBHDRA,ITCWIND,JITPL,RENUKASUGARSATHANI,ODISHA,BRPL,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,HP,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,TPDDL,AEML,AEML,HARYANA,BRPL,HP,KSEB,MES_Delhi,MES_Delhi,Manipur_Ben,MES_Delhi,MES_Delhi,MES_Delhi,ITCLH,NDMC,NDMC,BYPL,GOA_Beneficiary,OIDLWM2_AEROCITY,MES_Delhi,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,
,,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-West,North-West,North-North,North East-East-North,North-North,North-West-South,South-West-North,South-West-North,North-East-North East,West-North,South-West-North,South-West-North,South-West-North,East-North,South-West-North,East-North,North-West,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

2,00:15-00:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

3,00:30-00:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

4,00:45-01:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

5,01:00-01:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.80999999999995

6,01:15-01:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.80999999999995

7,01:30-01:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.80999999999995

8,01:45-02:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.80999999999995

9,02:00-02:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.84,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.9099999999999

10,02:15-02:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.84,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.9099999999999

11,02:30-02:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.84,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.9099999999999

12,02:45-03:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.84,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.38,17.31,0,0,0,0,0,0,0,408.9099999999999

13,03:00-03:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.34,17.31,0,0,0,0,0,0,0,408.7699999999999

14,03:15-03:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.34,17.31,0,0,0,0,0,0,0,408.7699999999999

15,03:30-03:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.34,17.31,0,0,0,0,0,0,0,408.7699999999999

16,03:45-04:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.34,17.31,0,0,0,0,0,0,0,408.7699999999999

17,04:00-04:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

18,04:15-04:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

19,04:30-04:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

20,04:45-05:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,17.31,0,0,0,0,0,0,0,408.85999999999996

21,05:00-05:15,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,38.47,5.77,7.69,4.81,0.43,17.31,0,0,0,0,0,0,0,451.17999999999995

22,05:15-05:30,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,0,38.47,5.77,7.69,4.81,0.43,17.31,0,0,0,0,0,0,0,451.17999999999995

23,05:30-05:45,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0,0,0,0,460.80999999999995

24,05:45-06:00,0,0,95.13,25.97,0,8.66,25.97,8.66,25.97,1.74,0,0,0,0,31.71,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0,0,0,0,460.80999999999995

25,06:00-06:15,0,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0.19,0,0.29,0.19,343.28000000000003

26,06:15-06:30,0,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0.19,0,0.29,0.19,343.28000000000003

27,06:30-06:45,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,0,0,32,0,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0.19,0,0.29,0.19,383.95

