Block,Time Block,KGSU3AND4,KGSU1AND2,KHSTPP-I,JHAJJAR,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,CHAMERA1,CHAMERA3,CHAMERA2,BRBCL,BSIUL,TALA,NTPL,NLCIIST1,NLCIIST2,NLCTS2EXP,NAPP,NJPC,NLCEXP,NNTPP,MAPS,RAPPB,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,KKNP,RSTPSU1TO6,SIMHST1,RAPPD,RSTPSU7,RIHAND3,SALAL,SEWA2,RAPPC,RIHAND2,RIHAND1,SASAN,KISHANGANGA,TALST2,KHSTPP-II,RAMPUR,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,ANTA_RF,AURY_LF,ANTA_GF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,AURY_CRF,AURY_RF,DADRI_LF,PARBATI3,PARBATI2,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,19.14,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.84,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,12.12,20.21,0,1.83,1.87,37.11,25.64,0.74,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,137.92,0.96,0,0,0,0,0

2,00:15-00:30,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,17.09,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,11.88,20.21,0,1.83,1.87,37.11,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

3,00:30-00:45,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,16.57,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,11.66,20.21,0,1.83,1.87,37.11,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

4,00:45-01:00,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,14.44,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,37.11,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

5,01:00-01:15,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,13.74,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

6,01:15-01:30,0,0,43.81,385.88,10.54,660.23,17.51,57.26,40.56,33.71,46.97,13.16,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,49.2,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

7,01:30-01:45,0,0,43.81,385.88,10.54,660.23,17.51,57.26,40.56,33.71,46.97,12.83,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,4.61,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

8,01:45-02:00,0,0,43.81,383,10.54,660.23,17.51,57.26,40.56,33.71,46.97,10.84,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,2.19,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,12.64,0,0,0,0,0,0,24.06,0,0,19.25,0,18.9,14.45,0,138.26,0.96,0,0,0,0,0

9,02:00-02:15,0,0,43.81,385.88,10.54,599.68,17.51,57.26,40.56,33.71,46.97,10.79,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,1.34,0,0,0,0,0,0,1.81,0,0,2,0,18.9,12.3,0,138.26,0.96,0,0,0,0,0

