Block,Time,L_NR_2019_19,L_NR_2020_07,LT-36,SH-06,L_NR_2020_06,L_NR_2021_14,L_NR_2012_07,L_NR_2019_06,L_NR_2019_07,L_NR_2023_04,L_NR_2012_02,LT-35,LT-31,L_NR_2020_02,L_NR_2022_10,L_NR_2021_16,L_NR_2023_07,L_NR_2020_05,L_NR_2023_10,L_NR_2012_01,L_NR_2019_11,LT-05,L_NR_2018_61,L_NR_2021_12,L_NR_2021_15,L_NR_2022_08,L_NR_2021_13,SH-07,L_NR_2022_09,L_NR_2019_05,L_NR_2021_17,L_NR_2012_04,LT-59
1,00:00-00:15,0,39.41,0.000000,30.970000,39.41,0,73.690000,0,0,28.780000,261.860000,0.000000,0.000000,11.910000,80.65,0,0,118.24,0,0.000000,10.780000,116.130000,20.88,0,0,33.42,0,30.970000,80.65,0,0,272.170000,10.390000

2,00:15-00:30,0,39.24,0.000000,30.970000,39.25,0,73.690000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.8,0,0,117.74,0,0.000000,10.780000,116.130000,20.82,0,0,33.58,0,30.970000,80.8,0,0,272.170000,10.390000

3,00:30-00:45,0,39.81,0.000000,30.970000,39.79,0,73.690000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,79.32,0,0,119.38,0,0.000000,10.780000,116.130000,20.7,0,0,33.27,0,30.970000,79.32,0,0,272.170000,10.390000

4,00:45-01:00,0,39.39,0.000000,30.970000,39.4,0,73.690000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.3,0,0,118.19,0,0.000000,10.780000,116.130000,20.62,0,0,33.75,0,30.970000,80.3,0,0,272.170000,10.390000

5,01:00-01:15,0,39.34,0.000000,30.970000,39.33,0,73.690000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.02,0,0,118,0,0.000000,10.780000,116.130000,20.38,0,0,33.59,0,12.960000,80.02,0,0,272.170000,10.390000

6,01:15-01:30,0,39.47,0.000000,30.970000,39.47,0,73.690000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,79.58,0,0,118.41,0,0.000000,10.780000,116.130000,20.09,0,0,33.54,0,21.480000,79.58,0,0,272.170000,10.390000

7,01:30-01:45,0,39.37,0.000000,30.970000,39.38,0,73.690000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,78.87,0,0,118.13,0,0.000000,10.780000,116.130000,19.74,0,0,33.06,0,21.480000,78.87,0,0,272.170000,10.390000

8,01:45-02:00,0,39.47,0.000000,30.970000,39.47,0,73.690000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,79.1,0,0,118.41,0,0.000000,10.780000,116.130000,25.07,0,0,33.09,0,21.480000,79.1,0,0,272.170000,10.390000

9,02:00-02:15,0,39.59,0.000000,26.120000,39.57,0,73.690000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,79,0,0,118.72,0,0.000000,10.780000,116.130000,24.61,0,0,33.47,0,26.120000,79,0,0,272.170000,10.430000

10,02:15-02:30,0,39.61,0.000000,26.120000,39.62,0,64.530000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,79.9,0,0,118.85,0,0.000000,10.780000,116.130000,24.27,0,0,33.68,0,26.120000,79.9,0,0,272.170000,10.430000

11,02:30-02:45,0,39.51,0.000000,26.120000,39.51,0,64.530000,0,0,29.800000,261.860000,0.000000,0.000000,11.910000,79.46,0,0,118.54,0,0.000000,10.780000,116.130000,23.42,0,0,33.4,0,26.120000,79.46,0,0,272.170000,10.430000

12,02:45-03:00,0,39.5,0.000000,26.120000,39.5,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.69,0,0,118.51,0,0.000000,10.780000,116.130000,22.86,0,0,33.56,0,26.120000,80.69,0,0,272.170000,10.430000

13,03:00-03:15,0,39.68,0.000000,26.120000,39.68,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.46,0,0,119.04,0,0.000000,10.780000,116.130000,22.41,0,0,33.21,0,26.120000,80.46,0,0,272.170000,10.430000

14,03:15-03:30,0,39.93,0.000000,26.120000,39.92,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.4,0,0,119.76,0,0.000000,10.780000,116.130000,17.22,0,0,33.76,0,26.120000,80.4,0,0,272.170000,10.430000

15,03:30-03:45,0,40.1,0.000000,26.120000,40.1,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.67,0,0,120.31,0,0.000000,10.780000,116.130000,16.65,0,0,31.75,0,26.120000,80.67,0,0,272.170000,10.430000

16,03:45-04:00,0,39.37,0.000000,26.120000,39.37,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.67,0,0,118.11,0,0.000000,10.780000,107.600000,16.09,0,0,32.11,0,26.120000,80.67,0,0,272.170000,10.430000

17,04:00-04:15,0,39.81,0.000000,26.120000,39.82,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.67,0,0,119.45,0,0.000000,10.780000,99.050000,15.5,0,0,32.42,0,26.120000,80.67,0,0,272.170000,10.430000

18,04:15-04:30,0,39.47,0.000000,26.120000,39.47,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.67,0,0,118.41,0,0.000000,10.780000,94.880000,14.89,0,0,32.87,0,26.120000,80.67,0,0,272.170000,10.430000

19,04:30-04:45,0,39.14,0.000000,26.120000,39.15,0,64.530000,0,0,29.750000,261.860000,0.000000,0.000000,11.910000,80.67,0,0,117.44,0,0.000000,10.780000,66.420000,14.44,0,0,33.22,0,26.120000,80.67,0,0,272.170000,10.430000

