Block,Time,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,WR/01102023/31032046/L_NR_2020_05,NR/01012024/31012024/HP-28,NR/01012024/31012024/52,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/20012024/20012024/HPX-TAMCTG-190124-05830,NR/20012024/20012024/DD20240120NR22267,NR/20012024/20012024/IEX_240119_06133,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,NR/01102023/02012046/L_NR_2021_17,NR/01012024/31012024/HP-27,NR/01012024/31012024/HP-26,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/20012024/20012024/DD20240120NR22265,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/08032047/L_NR_2021_14,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/20012024/20012024/DD20240120NR22266,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/01012024/31032024/ ChanjuII,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/06012024/31012024/NVVN/OA/16855,NR/20122023/29022024/IEX_LDC_231218_00502,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/20122023/29022024/IEX_LDC_231218_00501,NR/20012024/20012024/DD20240120NR22280,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,30.720000,230.380000,6.720000,23.16,24.470000,0.000000,211.750000,0,0,0,0.000000,0.000000,0.000000,10.82,0,55.310000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,7.72,0.000000,57.590000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,18.74,18.74,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,7.72,8.160000,0.000000,0,0

2,00:15-00:30,30.720000,191.980000,6.720000,22.68,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,10.43,0,55.310000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,7.56,0.000000,48.000000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,18.67,18.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,7.56,8.160000,0.000000,0,0

3,00:30-00:45,30.720000,191.980000,6.720000,21.71,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,10.03,0,55.310000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,7.23,0.000000,48.000000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,18.04,18.04,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,7.24,8.160000,0.000000,0,0

4,00:45-01:00,30.720000,148.480000,6.720000,20.64,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,9.65,0,55.310000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,6.87,0.000000,48.000000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,17.24,17.24,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,6.88,8.160000,0.000000,0,0

5,01:00-01:15,30.720000,148.480000,6.720000,20.27,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,9.04,0,55.310000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,6.75,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,6.76,8.160000,0.000000,0,0

6,01:15-01:30,30.720000,148.480000,6.720000,19.78,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,8.45,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,6.6,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,6.59,8.160000,0.000000,0,0

7,01:30-01:45,30.720000,148.480000,6.720000,19.48,24.470000,0.000000,157.420000,0,0,0,0.000000,0.000000,0.000000,7.98,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,6.5,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6.66,6.49,8.160000,0.000000,0,0

8,01:45-02:00,30.720000,148.480000,6.720000,19.01,24.470000,0.000000,138.230000,0,0,0,0.000000,0.000000,0.000000,7.51,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,6.34,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.990000,0.000000,0.000000,48.000000,11.520000,6,6.34,8.160000,0.000000,0,0

9,02:00-02:15,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,114.230000,0,0,0,0.000000,0.000000,0.000000,7.39,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.470000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

10,02:15-02:30,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.26,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.470000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

11,02:30-02:45,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.25,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.470000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

12,02:45-03:00,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.22,0,36.480000,0,57.160000,152.120000,0,0,0,0.730000,24.970000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.470000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

13,03:00-03:15,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.12,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

14,03:15-03:30,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.07,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

15,03:30-03:45,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.01,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

16,03:45-04:00,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,109.430000,0,0,0,0.000000,0.000000,0.000000,7.01,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,69.980000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

17,04:00-04:15,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,155.500000,0,0,0,0.000000,0.000000,0.000000,7.01,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

18,04:15-04:30,25.820000,148.480000,6.720000,12.5,24.470000,0.000000,169.160000,0,0,0,0.000000,0.000000,0.000000,7.01,0,35.710000,0,57.160000,152.120000,0,0,0,0.730000,25.820000,4.16,0.000000,48.000000,0.000000,65.840000,24.000000,0,48.000000,5.760000,0,18.240000,14.67,14.67,0,0,0.000000,0.000000,0.000000,0,0,1.370000,0.950000,0.000000,0.000000,48.000000,11.520000,5,4.17,8.160000,0.000000,0,0

