Block,Time Block,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TANDA2,TelanganaSTPP,UNCHAHAR2,URI,TANAKPUR,MAPS,KHSTPP-II,KKNP,KISHANGANGA,KKNPPU2,KOTESHWR,KOLDAM,NAPP,RIHAND3,SINGRAULI,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,RSTPSU7,SINGRAULI_HYDRO,SALAL,SEWA2,SIMHST2,KGSU1AND2,KUDGI,DADRI_RF,DADRI_LF,DADRI_GF,KGSU3AND4,KHSTPP-I,BRBCL,CHAMERA2,CHAMERA3,BSIUL,CHAMERA1,ANTA_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,NLCEXP,RAPPB,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,NNTPP,NTPL,RAPPC,PARBATI3,TALA,TALST2,DHAULIGNGA,DADRT2,DULHASTI,JHAJJAR,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,14.91,0,0,6.46,19.28,0,0,15.28,25.48,3.08,0,77.11,0,0,0,8.53,0,42.01,119.56,121.15,99.63,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,351.02,15.85,232.73,13.45,0,0,0,0,0

2,00:15-00:30,0,11.55,0,0,18.11,13.95,0,0,11.2,25.48,8.01,0,65.8,0,0,0,8.53,0,42.01,119.56,121.15,99.63,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,312.55,15.85,230.81,13.45,0,0,0,0,0

3,00:30-00:45,0,11.55,0,0,18.11,13.95,0,0,11.2,25.48,8.01,0,52.3,0,0,0,8.53,0,42.01,119.56,121.15,109.25,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,293.32,15.85,230.81,9.63,0,0,0,0,0

4,00:45-01:00,0,11.55,0,0,18.11,13.95,0,0,11.2,3.18,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,121.15,109.25,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,16.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,293.32,15.85,230.81,9.63,0,0,0,0,0

5,01:00-01:15,0,11.55,0,0,18.11,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,109.25,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,274.08,15.85,230.81,9.63,0,0,0,0,0

6,01:15-01:30,0,11.55,0,0,18.11,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,109.25,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,254.85,15.85,230.81,9.63,0,0,0,0,0

7,01:30-01:45,0,11.55,0,0,18.11,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,247.16,15.85,230.81,9.63,0,0,0,0,0

8,01:45-02:00,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,239.46,15.85,230.81,9.63,0,0,0,0,0

9,02:00-02:15,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,226,15.85,230.81,9.63,0,0,0,0,0

10,02:15-02:30,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.08,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,218.31,15.85,230.81,9.63,0,0,0,0,0

11,02:30-02:45,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,216.38,15.85,230.81,9.63,0,0,0,0,0

