Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/16042024/31052024/IEX_240323_06618,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01042024/30042024/PTC/OA/32001,NR/01102023/23072042/L_NR_2012_04,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/16042024/30042024/IEX_240323_06617,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,29.770000,48.360000,0.000000,3.530000,48.360000,0.000000,259.180000,14.580000,100.750000,4.460000,4.440000,0.000000,16.130000,262.570000,87.230000,30.950000,30.950000,9.670000,0.000000,115.620000,0.000000,0,0,0,0,6.01,52.67,0,0,16,0,0,70.5,23.5,52.67,23.5,0,0,0,0,0,0,0

2,00:15-00:30,29.770000,48.360000,0.000000,3.530000,48.360000,0.000000,259.180000,14.580000,100.750000,4.460000,4.440000,0.000000,16.130000,262.570000,87.230000,30.950000,30.950000,9.670000,0.000000,115.620000,0.000000,0,0,0,0,6.01,53.33,0,0,16.34,0,0,70.5,23.5,53.33,23.5,0,0,0,0,0,0,0

3,00:30-00:45,29.770000,48.360000,0.000000,3.530000,48.360000,0.000000,259.180000,14.580000,100.750000,4.460000,4.900000,0.000000,16.130000,262.570000,87.230000,30.950000,30.950000,9.670000,0.000000,115.620000,0.000000,0,0,0,0,6.01,53.33,0,0,16.66,0,0,70,23.34,53.33,23.33,0,0,0,0,0,0,0

4,00:45-01:00,29.770000,48.360000,0.000000,3.530000,48.360000,0.000000,259.180000,14.580000,100.750000,4.460000,4.900000,0.000000,16.130000,262.570000,87.230000,30.950000,30.950000,9.670000,0.000000,115.620000,0.000000,0,0,0,0,6.01,53.33,0,0,17,0,0,70,23.34,53.33,23.33,0,0,0,0,0,0,0

5,01:00-01:15,29.770000,48.360000,0.000000,3.530000,48.360000,0.000000,259.180000,14.580000,100.750000,4.380000,4.900000,0.000000,16.130000,262.570000,87.230000,30.950000,30.950000,9.670000,0.000000,115.620000,0.000000,0,0,0,0,6.01,59.67,0,0,22,0,0,83.5,27.84,59.67,27.83,0,0,0,0,0,0,0

