Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/9482,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/03/01/6406,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/01102023/19072037/LT-05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,23.01,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,200,9.6,0,26.99,23.04,1.16,0,0,1.31,1.6,42,5.61,100.01,0,26.99,166.48,0,65.88,0,0,0

2,00:15-00:30,20.01,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.61,100.01,0,26.99,166.48,0,65.88,0,0,0

3,00:30-00:45,14.01,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.61,100.01,0,26.99,166.48,0,65.88,0,0,0

4,00:45-01:00,12.01,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.75,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.61,100.01,0,26.99,166.48,0,65.88,0,0,0

5,01:00-01:15,11,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.75,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

6,01:15-01:30,10,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.75,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

7,01:30-01:45,10,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.75,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

8,01:45-02:00,9,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.75,6.72,55.49,200,9.6,0,26.99,23.04,1.55,0,0,1.31,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

9,02:00-02:15,8,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

10,02:15-02:30,8,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

11,02:30-02:45,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

12,02:45-03:00,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.6,42,5.51,100.01,0,26.99,166.48,0,70.01,0,0,0

13,03:00-03:15,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,225.52,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

14,03:15-03:30,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,225.52,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.55,0,0,1.26,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

15,03:30-03:45,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,225.52,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.39,0,0,1.26,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

16,03:45-04:00,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,225.52,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.39,0,0,1.26,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

17,04:00-04:15,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.39,0,0,1.21,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

18,04:15-04:30,7,0,13.33,0,7,7,0,0,6.67,21,0,13.34,0,0,0,0,0,259.78,23.04,271.44,5.76,23.04,86.59,27.25,6.72,55.49,0,9.6,0,26.99,23.04,1.39,0,0,1.21,1.53,42,5.42,100.01,0,26.99,166.48,0,70.01,0,0,0

