Block,Time,URI2,URI,TANAKPUR,TANDA2,RIHAND2,UNCHAHAR4,RAPPB,KOLDAM,RIHAND1,TEHRI,ANTA_RF,CHAMERA3,RIHAND3,AURY_CRF,DADRT2,NJPC,CHAMERA1,DADRI_RF,JHAJJAR,DULHASTI,ANTA_LF,UNCHAHAR3,UNCHAHAR2,CHAMERA2,PARBATI3,AURY_LF,SINGRAULI_HYDRO,ANTA_GF,DADRI_LF,DADRI_CRF,RAMPUR,AURY_RF,KISHANGANGA,DADRI_GF,SINGRAULI,UNCHAHAR1,ANTA_CRF,KOTESHWR,NAPP,SALAL,BSIUL,RAPPC,AURY_GF,SEWA2,DHAULIGNGA,KHSTPP-II,KUDGI,GANDHAR-RLNG,SOLAPUR,GADARWARA-I,KHARGONE-I,SIMHST2,KHSTPP-I,NLCIIST1,KAWAS-APM,NNTPP,KGSU3AND4,KAWAS-NAPM,TAPS-II,VSTPS III,GANDHAR-ComGas,KSTPS I&II,TALST2,MAPS,KAPS,VSTPS II,SIPAT I,VSTPS V,GANDHAR-APM,NLCEXP,TALA,NTPL,VSTPS I,KAWAS-RLNG,LARA-I,NLCTS2EXP,FSTPP I & II,BRBCL,RSTPSU1TO6,KGSU1AND2,SASAN,MOUDA_II,KAWAS-ComGas,SIPAT II,VALLURNTECL,KKNP,MOUDA,KSTPS7,VSTPS IV,KAWAS-zLIQ,RSTPSU7,NLCIIST2,GANDHAR-NAPM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,34.632945,48.930384,1.234244,2.351036,116.284815,0.000000,0.000000,0.000000,77.048149,30.225541,0.000000,30.552328,121.902116,0.000000,331.458549,19.728169,27.021358,0.000000,218.875044,51.937806,0.000000,25.459909,41.956548,42.042477,0.000000,0.000000,1.016558,0.000000,0.000000,0.000000,0.381297,0.000000,2.458347,0.000000,138.769784,19.903745,0.000000,25.184531,42.539088,38.065958,19.077300,57.277251,0.000000,16.552026,0.000000,94.754203,0.00,0.000000,1.706584,0.965340,1.706583,0.35,22.352757,0.71,0.000000,0.16,2.10,0.000000,1.321053,1.888156,0.000000,2.860953,0.00,0.24,0.799281,1.872044,5.119751,1.279076,0.000000,1.67,0.000000,1.82,2.307991,0.000000,4.102703,0.84,17.477986,9.284320,7.57,1.92,336.237412,1.691758,0.000000,1.801965,0.00,1.54,1.867362,1.292867,2.585733,0.000000,1.87,0.40,0.000000,0,0,0,0,0

2,00:15-00:30,34.632945,48.930384,1.234244,2.351036,116.284815,0.000000,0.000000,0.000000,77.048149,30.225541,0.000000,30.552328,121.902116,0.000000,331.458549,0.000000,27.021358,0.000000,218.875044,51.937806,0.000000,25.459909,41.956548,42.042477,0.000000,0.000000,1.016558,0.000000,0.000000,0.000000,0.000000,0.000000,2.458347,0.000000,138.769784,21.383704,0.000000,25.184531,42.539088,38.065958,19.077300,57.277251,0.000000,16.552026,0.000000,94.754203,0.00,0.000000,1.706584,0.965340,1.706583,0.38,22.352757,0.71,0.000000,0.16,2.10,0.000000,1.321053,1.888156,0.000000,2.860953,0.00,0.24,0.799281,1.872044,5.119751,1.279076,0.000000,1.67,0.000000,1.82,2.307991,0.000000,4.102703,0.84,17.477986,9.482185,7.57,1.92,336.237412,1.691758,0.000000,1.801965,0.00,1.54,1.867362,1.292867,2.585733,0.000000,1.87,0.40,0.000000,0,0,0,0,0

3,00:30-00:45,34.632945,48.930384,1.234244,2.351036,116.284815,0.046950,0.000000,0.000000,77.048149,30.225541,0.000000,30.552328,121.902116,0.000000,331.458549,0.000000,27.021358,0.000000,218.875044,51.937806,0.000000,25.459909,41.956548,42.042477,0.000000,0.000000,1.016558,0.000000,0.000000,0.000000,0.000000,0.000000,2.458347,0.000000,138.769784,20.141636,0.000000,25.184531,42.539088,38.065958,19.077300,57.277251,0.000000,16.552026,0.000000,99.671117,0.00,0.000000,1.706584,0.965340,1.706583,0.43,23.234037,0.71,0.000000,0.16,2.10,0.000000,1.321053,1.888156,0.000000,2.860953,0.00,0.24,0.799281,1.872044,5.119751,1.279076,0.000000,1.67,0.000000,1.82,2.307991,0.000000,4.102703,0.84,17.477986,8.926873,7.57,1.92,336.237412,1.691758,0.000000,1.801965,0.00,1.54,1.867362,1.292867,2.585733,0.000000,1.87,0.40,0.000000,0,0,0,0,0

4,00:45-01:00,34.632945,51.057792,1.234244,2.351036,116.284815,0.096101,0.000000,0.000000,77.048149,30.225541,0.000000,20.347692,121.902116,0.000000,331.458549,0.000000,27.021358,0.000000,218.875044,51.937806,0.000000,25.459909,41.956548,42.042477,0.000000,0.000000,1.016558,0.000000,0.000000,0.000000,0.000000,0.000000,2.458347,0.000000,138.769784,20.141636,0.000000,25.184531,42.539088,38.065958,19.077300,57.277251,0.000000,16.552026,0.000000,103.780716,0.00,0.000000,1.706584,0.965340,1.706583,0.47,23.393780,0.71,0.000000,0.16,2.10,0.000000,1.321053,1.888156,0.000000,2.860953,0.00,0.24,0.799281,1.872044,5.119751,1.279076,0.000000,1.67,0.000000,1.82,2.307991,0.000000,4.102703,0.84,17.477986,8.073072,7.57,1.92,336.237412,1.691758,0.000000,1.801965,0.00,1.54,1.867362,1.292867,2.585733,0.000000,1.87,0.40,0.000000,0,0,0,0,0

5,01:00-01:15,34.632945,51.057792,1.110819,2.351036,116.284815,0.129113,0.000000,0.000000,77.048149,30.225541,0.000000,20.347692,121.902116,0.000000,331.458549,0.000000,13.472620,0.000000,218.875044,51.937806,0.000000,25.459909,41.956548,42.042477,0.000000,0.000000,1.016558,0.000000,0.000000,0.000000,0.000000,0.000000,2.458347,0.000000,138.769784,20.141636,0.000000,16.789687,42.539088,80.610264,19.077300,57.277251,0.000000,16.552026,0.000000,106.812851,0.00,0.000000,1.706584,0.965340,1.706583,0.47,23.393780,0.71,0.000000,0.16,2.10,0.000000,1.734909,1.888156,0.000000,2.860953,0.00,0.24,0.799281,1.872044,5.119751,1.279076,0.000000,1.69,0.000000,1.82,2.307991,0.000000,4.102703,0.84,17.477986,6.647070,7.57,1.92,336.237412,1.691758,0.000000,1.801965,0.00,1.54,1.867362,1.292867,2.585733,0.000000,1.87,0.40,0.000000,0,0,0,0,0

