Block,Time,BSIUL,CHAMERA1,CHAMERA3,DHAULIGNGA,KGSU3AND4,KUDGI,MAPS,NLCTS2EXP,RIHAND3,TANDA2,URI2,ANTA_GF,AURY_RF,DADRI_CRF,DADRI_GF,DADRT2,KHSTPP-I,NNTPP,RIHAND2,SALAL,SASAN,TEHRI,ANTA_LF,AURY_CRF,DADRI_RF,KOTESHWR,NAPP,NLCIIST2,RAMPUR,SINGRAULI,ANTA_RF,CHAMERA2,KISHANGANGA,KKNP,NTPL,RSTPSU7,SIMHST2,SINGRAULI_HYDRO,TALST2,VALLURNTECL,ANTA_CRF,AURY_GF,AURY_LF,FSTPP I & II,NLCEXP,RAPPC,RSTPSU1TO6,SEWA2,SIMHST1,TALA,TANAKPUR,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,KGSU1AND2,KHSTPP-II,RAPPB,UNCHAHAR4,DADRI_LF,DULHASTI,JHAJJAR,KKNPPU2,KOLDAM,NLCIIST1,PARBATI3,RIHAND1,UNCHAHAR3,BRBCL,NJPC,URI
1,00:00-00:15,6.52,14.05,21.37,40.2,0,0,0,0,127.6,2.89,35.46,0,77.94,0,0,685.78,44.92,0,121.71,79.38,418.77,53.16,0,0,98.64,9.66,41.27,0,3.12,89.59,31.94,26.85,0,0,0,0,0,0,0,0,0,0,0,20.8,0,59.94,0,0,0,11.9,10.96,0,20.96,43.11,0,98.87,0,1.62,0,54.53,413.81,0,4.01,0,3.51,47.33,0,15,144.85,16.01

2,00:15-00:30,6.52,0,21.37,40.2,0,0,0,0,127.6,2.89,35.46,0,77.94,0,0,685.78,44.92,0,121.71,79.38,418.77,53.16,0,0,98.64,9.66,41.27,0,3.12,89.59,31.94,26.85,0,0,0,0,0,0,0,0,0,0,0,20.8,0,59.94,0,0,0,11.9,10.96,0,20.96,43.11,0,98.87,0,1.62,0,54.53,413.81,0,4.01,0,3.51,47.33,0,15,144.85,16.01

3,00:30-00:45,6.52,0,21.37,40.2,0,0,0,0,127.6,2.89,35.46,0,77.94,0,0,685.78,44.92,0,121.71,79.38,418.77,53.16,0,0,98.64,9.66,41.27,0,3.12,89.59,31.94,26.85,0,0,0,0,0,0,0,0,0,0,0,20.8,0,59.94,0,0,0,11.9,10.96,0,20.96,43.11,0,98.87,0,1.62,0,54.53,413.81,0,4.01,0,3.51,47.33,0,15,144.85,16.01

4,00:45-01:00,6.52,0,21.37,40.2,0,0,0,0,127.6,2.89,35.46,0,77.94,0,0,685.78,44.92,0,121.71,79.38,418.77,35.44,0,0,98.64,9.66,41.27,0,3.12,89.59,31.94,26.85,0,0,0,0,0,0,0,0,0,0,0,20.8,0,59.94,0,0,0,12.05,10.96,0,20.96,43.11,0,98.87,0,1.62,0,54.53,413.81,0,4.01,0,3.51,47.33,0,15,144.85,16.01

5,01:00-01:15,6.52,0,21.37,40.2,0,0,0,0,127.6,2.89,35.46,0,77.94,0,0,685.78,44.92,0,121.71,79.38,418.77,35.44,0,0,98.64,9.66,41.27,0,3.12,89.59,31.94,26.85,0,0,0,0,0,0,0,0,0,0,0,20.8,0,59.94,0,0,0,12.05,10.96,0,20.96,43.11,0,98.87,0,1.62,0,54.53,413.81,0,4.01,0,3.51,47.33,0,15,144.85,50.34

