Block,Time Block,MAPS,DADRT2,CHAMERA3,CHAMERA2,NTPL,PARBATI3,PARBATI2,RAMPUR,DADRI_RF,DADRI_LF,KKNPPU2,KISHANGANGA,KHSTPP-I,KHSTPP-II,KKNP,KGSU3AND4,ANTA_CRF,DADRI_CRF,AURY_GF,ANTA_RF,AURY_RF,AURY_CRF,ANTA_LF,AURY_LF,ANTA_GF,DADRI_GF,KOLDAM,KOTESHWR,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,UNCHAHAR1,TEHRIPSP,SINGRAULI_HYDRO,TANDA2,TEHRI,TelanganaSTPP,TALST2,TANAKPUR,TALA,KUDGI,BRBCL,CHAMERA1,BSIUL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,RAPPD,RSTPSU1TO6,RIHAND3,RAPPB,RAPPC,RIHAND2,RIHAND1,VALLURNTECL,URI2,URI,SINGRAULI,SASAN,SIMHST2,RSTPSU7,SALAL,SEWA2,SIMHST1,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,566.45,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.76,95.02,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,588.22,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,15.54,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,50.93,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

2,00:15-00:30,0,566.45,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.76,95.02,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,465.71,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,12.45,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,50.93,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

3,00:30-00:45,0,566.45,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,370.56,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,11.43,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,50.93,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

4,00:45-01:00,0,566.45,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,399.29,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,11.97,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

5,01:00-01:15,0,496.77,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,519.91,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,10.29,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

6,01:15-01:30,0,493.03,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,462.95,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.41,0,9.71,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,317.88,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

7,01:30-01:45,0,525.71,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,451.71,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,28.05,0,9.21,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,35.53,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

8,01:45-02:00,0,562.45,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,449.92,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,28.05,0,10.75,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,35.53,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

9,02:00-02:15,0,625.61,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,392.25,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.79,0,11.93,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,35.53,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

10,02:15-02:30,0,522.98,32.62,45.29,0,40,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,38.99,334.59,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.79,0,12.86,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,35.53,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,2.79,0,0,0,0,0

11,02:30-02:45,0,381.19,32.62,45.29,0,25.72,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,21.66,290.07,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.35,0,12.81,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,3.09,0,0,0,0,0

12,02:45-03:00,0,243.76,32.62,45.29,0,25.72,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,19.71,290.07,40.81,18.03,53.23,0,18.24,0,0,5.33,62.84,0,0,10.59,27.35,0,13.96,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,254.1,0,0,67.01,11.74,0,43.25,26.61,3.09,0,0,0,0,0

13,03:00-03:15,0,191.7,32.62,45.29,0,37.15,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,19.5,258.24,40.81,18.03,53.23,0,18.76,0,0,5.33,62.84,0,0,9.48,27.72,0,15.13,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,254.1,0,0,61.43,11.74,0,43.25,26.61,3.09,0,0,0,0,0

14,03:15-03:30,0,143.65,32.62,45.29,0,37.15,10.81,5.48,0,0,0,6.69,43.24,93.52,0,0,0,0,0,0,0,0,0,0,0,0,8.28,19.5,258.24,40.81,18.03,53.23,0,18.76,0,0,5.33,62.84,0,0,9.48,27.72,0,16.94,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,254.1,0,0,61.43,11.74,0,43.25,26.61,3.09,0,0,0,0,0

15,03:30-03:45,0,95.59,32.62,45.29,0,37.15,10.81,5.48,0,0,0,6.69,43.24,93.42,0,0,0,0,0,0,0,0,0,0,0,0,8.28,19.5,248.99,40.81,18.03,53.23,0,18.76,0,0,5.33,62.84,0,0,9.48,31.1,0,16.63,40.51,18.8,0,0,168.95,0,0,0,23.41,23.65,0,125.75,0,62.88,120.4,94.5,0,26.97,46.68,72.02,254.1,0,0,61.43,11.74,0,43.25,26.61,3.09,0,0,0,0,0

