Time,Block,NR/2023/14745/A,NR/2023/14746/A,NR/2023/12052/A,NR/2023/15865/D,NR/2023/14895/A,NR/2023/15296/F,ER/2023/9847/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14898/A,NR/2023/15873/C,NR/2023/15303/F,NR/2023/15879/C,NR/2023/12431/A,NR/2023/12168/A,NR/2023/15883/C,NR/2023/15882/C,NR/2023/15306/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12422/A,NR/2023/15871/D,NR/2023/15872/D,NR/2023/12591/A,NR/2023/12347/A,NR/2023/13635/A,NR/2023/12148/A,NR/2023/15881/C,NR/2023/15694/F,NR/2023/12053/A,NR/2023/14737/A,NR/2023/13862/A,NR/2023/15402/F,Total
,,APPCPL,APPCPL,KEIPL,NVVNL,MANIKARAN,BSHP,HPXL,ITCLH,NVVNL,IEXL,MANIKARAN,GBHHPL,BSHP,TPDDL,TPTCL,APPCPL,HPXL,SJVNL,BSHP,BSHP,APPCPL,APPCPL,KEIPL,KEIPL,NVVNL,STATKRAFT,NVVNL,GMRETL,SJVNL,NVVNL,KEIPL,NVVNL,MANIKARAN,SJVNL,Total

,,GOA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,MAHARASHTRA,UTTAR PRADESH,NA,TAMIL NADU,NA,MEGHALAYA,NA,NA,MEGHALAYA,NA,TAMIL NADU,UTTAR PRADESH,
,,GOA_Beneficiary,HP,Meghalaya_Ben,SOLAPUR_SOLAR,HP,BSHP,BYPL,ITCWIND,JPNIGRIE_JNSTPP,SAPU1234,HP,GBHHPL,BSHP,CHANJUII,JPL-2,UTTARAKHAND,Teesta_III,DIKCHU,BSHP,BSHP,Meghalaya_Ben,HP,LMEL MSEB,LAPL-UP,JPNIGRIE_JNSTPP,TANGEDCO,KAMENG,Meghalaya_Ben,RSRPL_BKN,KAMENG,Meghalaya_Ben,SKS Raigarh,TANGEDCO,BCMLB001,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,MES (Delhi),BRPL,JHPL-DL,VLSEZ,ITCLH,BRPL,MES (Delhi),BRPL,DIAPL,MAX-HPTL,TPDDL,BRPL,BYPL,BRPL,NDMC,BMDRC,MHIL,BYPL,BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,BYPL,NDMC,TPDDL,BYPL,NDMC,BRPL,NDMC,
,,West-North,North-North,North East-East-North,West-North,North-North,North-North,North-East,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,East-North,East-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,South-West-North,North East-East-North,North East-East-North,North-North,North East-East-North,North East-East-North,West-North,South-East-North,North-North,
1,00:00-00:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,167.410000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1297.86

2,00:15-00:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,167.410000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1297.86
