Block,Time Block,DADRT2,CHAMERA3,DHAULIGNGA,CHAMERA1,BRBCL,BSIUL,CHAMERA2,AURY_RF,DADRI_GF,AURY_LF,DADRI_CRF,DADRI_RF,DADRI_LF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,TelanganaSTPP,ANTA_GF,UNCHAHAR2,AURY_CRF,URI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,UNCHAHAR4,KISHANGANGA,KHSTPP-I,KHSTPP-II,SEWA2,SINGRAULI,TANAKPUR,SASAN,TALST2,TEHRI,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TANDA2,TALA,KGSU3AND4,KGSU1AND2,RIHAND3,RSTPSU1TO6,RSTPSU7,SALAL,JHAJJAR,RIHAND2,RIHAND1,NLCIIST1,RAMPUR,NLCIIST2,RAPPC,NTPL,NLCTS2EXP,PARBATI3,NNTPP,RAPPB,MAPS,NAPP,NLCEXP,NJPC,KUDGI,FSTPP I & II,DULHASTI,KOTESHWR,KKNP,KOLDAM,KKNPPU2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,312.7,0,0,0,14.67,6.25,0,0,0,0,0,0,0,30.96,0,22.54,0,0,0,36.5,0,34.94,0,17.56,0,0,0,0,43.67,142.25,15.86,133.99,5.52,382.33,0,0,0,0.7,0,0,0,0,0,59.62,0,0,12.81,231.43,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,15.81,8.51,0,0,0,0,0,0,0,0

2,00:15-00:30,283.92,0,0,0,15.84,6.25,0,0,0,0,0,0,0,30.96,0,25.32,0,0,0,40.66,0,34.94,0,19.71,0,0,0,0,43.67,142.25,15.86,133.99,5.52,383.09,0,0,0,0.7,0,0,0,0,0,59.62,0,0,16.73,231.43,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,15.81,8.51,0,0,0,0,0,0,0,0

3,00:30-00:45,264.88,0,0,0,15.86,6.25,0,0,0,0,0,0,0,30.96,0,25.32,0,0,0,40.66,0,34.94,0,19.71,0,0,0,0,43.67,142.25,15.86,133.99,5.52,383.09,0,0,0,0.7,0,0,0,0,0,59.62,0,0,66.88,229.31,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,15.81,8.51,0,0,0,0,0,0,0,0

4,00:45-01:00,264.88,0,0,0,17.28,6.25,0,0,0,0,0,0,0,30.96,0,25.32,0,0,0,40.66,0,34.94,0,19.71,0,0,0,0,43.67,142.25,15.86,133.99,5.52,383.09,0,0,0,0.7,0,0,0,0,0,59.62,0,0,66.88,229.31,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,15.81,8.51,0,0,0,0,0,0,0,0

5,01:00-01:15,264.88,0,0,0,14.95,6.25,0,0,0,0,0,0,0,30.96,0,25.32,0,0,0,40.66,0,34.94,0,19.71,0,0,0,0,43.67,142.25,15.86,133.99,5.52,383.09,0,0,0,0.7,0,0,0,0,0,59.62,0,0,66.88,229.31,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,0,8.51,0,0,0,0,0,0,0,0

6,01:15-01:30,264.88,0,0,0,14.46,6.25,0,0,0,0,0,0,0,30.96,0,25.32,0,0,0,40.66,0,34.94,0,19.71,0,0,0,0,43.67,142.25,15.86,133.99,5.52,383.09,0,0,0,0.7,0,0,0,0,0,59.62,0,0,66.88,229.31,113.91,88.25,0,0,0,24.47,0,0,0,0,0,0,19.87,0,0,0,19.95,0,8.51,0,0,0,0,0,0,0,0

