Block,Time,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01112023/30112023/HP-09,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/02112023/15112023/D20231102NR21539,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01112023/30112023/HP-10,NR/01102023/05012040/L_NR_2020_02,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/03112023/30112023/IEX-231101-05680,NR/01102023/30042040/GNA_LT_35,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,1.860000,190.230000,38.210000,2.000000,0.000000,26.040000,48.220000,49.850000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,20.01,0,0,0,6.66,0,0,0,0,14.67,22,0

2,00:15-00:30,1.860000,185.410000,38.210000,2.000000,0.000000,26.040000,48.220000,49.850000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,19.72,0,0,0,6.66,0,0,0,0,14.67,22,0

3,00:30-00:45,1.860000,185.410000,38.210000,2.000000,0.000000,26.040000,48.220000,49.850000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,19.57,0,0,0,6.66,0,0,0,0,14.67,22,0

4,00:45-01:00,1.860000,185.410000,38.210000,2.000000,0.000000,26.040000,48.220000,49.850000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,19.63,0,0,0,6.66,0,0,0,0,14.67,22,0

5,01:00-01:15,1.860000,185.410000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,24.66,0,0,0,6.66,0,0,0,0,14.67,22,0

6,01:15-01:30,1.860000,185.410000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,101.020000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,24.54,0,0,0,6.66,0,0,0,0,14.67,22,0

7,01:30-01:45,1.860000,171.900000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,48.220000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,19.37,0,0,0,6.66,0,0,0,0,14.67,22,0

8,01:45-02:00,1.860000,140.820000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,48.220000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,18.79,0,0,0,6.66,0,0,0,0,14.67,22,0

9,02:00-02:15,1.860000,140.820000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,48.220000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,18.32,0,0,0,6.66,0,0,0,0,14.67,22,0

10,02:15-02:30,1.860000,111.880000,38.210000,2.000000,0.000000,26.040000,48.220000,31.830000,48.220000,71.760000,149.190000,93.470000,2.360000,48.220000,26.030000,0.000000,48.220000,0.000000,0.000000,26.030000,7.33,14.67,0,0,0,144.68,7.34,0,0,0,17.63,0,0,0,6.66,0,0,0,0,14.67,22,0

