Block,Time,KGSU1AND2,KHSTPP-II,KOTESHWR,RIHAND3,SALAL,DADRI_CRF,CHAMERA1,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NNTPP,RIHAND1,SINGRAULI,TANDA2,ANTA_GF,AURY_CRF,BSIUL,CHAMERA2,KOLDAM,NAPP,NLCTS2EXP,NTPL,PARBATI2,RAMPUR,RSTPSU7,SIMHST2,TALST2,URI,AURY_GF,AURY_RF,DADRT2,RAPPB,RIHAND2,TEHRIPSP,TelanganaSTPP,ANTA_LF,KGSU3AND4,KHSTPP-I,KISHANGANGA,KKNP,RSTPSU1TO6,SASAN,TALA,UNCHAHAR2,DADRI_GF,DADRI_LF,DULHASTI,PARBATI3,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR4,VALLURNTECL,ANTA_CRF,ANTA_RF,DADRI_RF,BRBCL,CHAMERA3,DHAULIGNGA,FSTPP I & II,JHAJJAR,NJPC,RAPPC,TEHRI,UNCHAHAR1,UNCHAHAR3,NLCIIST2,RAPPD,SEWA2,URI2,AURY_LF
1,00:00-00:15,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,3.13,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,4.41,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,38.32,38.66,0,0,13.11,2.56,0,0,52.09,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,15.47,37.73,0

2,00:15-00:30,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,3.13,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,4.41,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,38.32,38.66,0,0,13.11,1.59,0,0,52.09,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,15.47,37.73,0

3,00:30-00:45,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,3.13,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,6.63,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,38.32,38.66,0,0,13.11,1.26,0,0,52.09,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

4,00:45-01:00,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,6.63,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,38.32,38.66,0,0,13.11,2.97,0,0,52.09,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

5,01:00-01:15,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,26.49,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,0,38.66,0,0,13.11,2.97,0,0,52.34,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

6,01:15-01:30,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,26.49,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.8,44.52,0,0,0,38.66,0,0,13.11,2.97,0,0,52.34,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

7,01:30-01:45,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.51,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.34,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

8,01:45-02:00,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.38,4.65,0,0,393.75,23.51,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.34,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,37.73,0

9,02:00-02:15,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,18.33,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.6,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,37.73,0

10,02:15-02:30,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,18.33,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.6,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,37.73,0

11,02:30-02:45,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,19.21,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.6,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,37.73,0

12,02:45-03:00,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,19.21,44.52,0,0,0,37.92,0,0,13.11,2.97,0,0,52.6,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,37.73,0

13,03:00-03:15,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,26.49,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,19.21,44.52,0,0,0,37.92,0,0,11.91,2.97,0,0,52.85,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,33.52,0

14,03:15-03:30,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,26.49,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,19.21,44.52,0,0,0,37.92,0,0,11.91,2.97,0,0,52.85,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,18.34,33.52,0

15,03:30-03:45,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,18.63,44.52,0,0,0,37.92,0,0,11.91,2.97,0,0,52.85,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,33.52,0

16,03:45-04:00,0,98.87,45.08,130.84,0,0,28.1,0,0,0,0,0,0,47.03,113.75,5.73,0,0,0,0,8.63,24.36,0,0,14.08,5.68,0,0,0,3.31,0,81.18,689.39,0,125.27,207.96,0,0,0,33.99,4.65,0,0,393.75,18.63,44.52,0,0,0,37.92,0,0,11.91,2.97,0,0,52.85,105.4,18.75,0,42.46,20.8,667.27,175.8,65.76,82.36,21.65,27.38,0,38.94,0,33.52,0

