Block,Time,L_NR_2020_02,L_NR_2012_01,SH-06,LT-05,LT-35,L_NR_2012_02,LT-36,SH-07,LT-59,L_NR_2023_04,L_NR_2012_07,LT-31,L_NR_2019_11,L_NR_2012_04,L_NR_2020_05,L_NR_2020_06,L_NR_2020_07,L_NR_2021_15,L_NR_2018_61,L_NR_2022_09,L_NR_2022_08,L_NR_2022_10,L_NR_2019_07,L_NR_2019_05,L_NR_2019_06,L_NR_2019_19,L_NR_2021_16,L_NR_2021_17,L_NR_2021_12,L_NR_2021_13,L_NR_2021_14
1,00:00-00:15,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,68.42,22.81,22.79,0,12.48,55.77,18.99,55.77,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,68.39,22.8,22.78,0,12.99,55.37,18.9,55.37,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,30.890000,74.030000,0.000000,9.070000,271.520000,78.36,26.12,26.11,0,13.1,60.07,23.92,60.07,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,30.890000,74.030000,0.000000,9.070000,271.520000,78.33,26.11,26.11,0,13.28,60.2,23.87,60.2,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,30.890000,74.030000,0.000000,9.070000,271.520000,78.3,26.1,26.1,0,13.4,59.42,23.72,59.42,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,78.3,26.1,26.1,0,13.94,58.73,23.55,58.73,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,78.28,26.09,26.09,0,22.06,57.7,22.78,57.7,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,78.28,26.09,26.09,0,21.26,58.28,22.08,58.28,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,84.22,28.07,28.08,0,20.94,56.18,22.06,56.18,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,83.86,27.95,27.96,0,20.28,55.86,21.71,55.86,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,83.12,27.71,27.71,0,19.5,55.41,21.46,55.41,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,9.070000,271.520000,82.26,27.42,27.42,0,18.44,54.74,21.26,54.74,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,81.54,27.18,27.17,0,17.79,54.3,21.04,54.3,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,80.64,26.88,26.89,0,18.06,54.29,20.85,54.29,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,76.46,25.49,25.47,0,14.26,53.64,20.62,53.64,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,75.6,25.2,25.2,0,13.89,52.72,20.46,52.72,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0.000000,101.130000,0.000000,115.890000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,75.04,25.01,25.02,0,14.04,52.06,20.08,52.06,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0.000000,101.130000,0.000000,104.150000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.830000,271.520000,74.43,24.81,24.81,0,13.44,42.08,19.81,42.08,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0.000000,101.130000,0.000000,94.680000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.450000,271.520000,73.71,24.57,24.57,0,12.71,41.87,19.58,41.87,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0.000000,101.130000,0.000000,94.680000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.450000,271.520000,73.06,24.35,24.35,0,13.34,41.6,19.34,41.6,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0.000000,101.130000,0.000000,94.680000,0.000000,261.240000,0.000000,0.000000,10.330000,30.890000,74.030000,0.000000,8.450000,271.520000,61.06,20.35,20.36,0,12.96,41.34,16.16,41.34,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0.000000,101.130000,0.000000,103.200000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.450000,271.520000,60,20,20,0,12.48,41.01,15.84,41.01,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0.000000,101.130000,0.000000,94.680000,0.000000,261.240000,0.000000,0.000000,10.330000,29.930000,74.030000,0.000000,8.450000,271.520000,59.05,19.68,19.69,0,11.87,26.08,15.59,26.08,0,0,0,0,0,0,0,0,0.03

