Block,Time,UNCHAHAR4,ANTA_RF,KOLDAM,URI2,NJPC,SEWA2,URI,ANTA_LF,AURY_RF,SINGRAULI,TANAKPUR,DADRI_LF,SINGRAULI_HYDRO,UNCHAHAR2,KOTESHWR,KISHANGANGA,DADRT2,NAPP,RIHAND3,BSIUL,RIHAND2,DADRI_RF,UNCHAHAR3,DHAULIGNGA,RAMPUR,DULHASTI,JHAJJAR,SALAL,UNCHAHAR1,CHAMERA2,ANTA_CRF,PARBATI3,AURY_CRF,CHAMERA1,CHAMERA3,RAPPC,DADRI_CRF,TEHRI,RIHAND1,AURY_GF,DADRI_GF,ANTA_GF,AURY_LF,RAPPB,TANDA2,KAWAS-RLNG,VSTPS IV,VSTPS I,KAPS,KAWAS-APM,SIPAT I,TAPS-II,KAWAS-ComGas,LARA-I,GANDHAR-RLNG,KSTPS7,SASAN,NLCEXP,NTPL,KGSU1AND2,NNTPP,VALLURNTECL,NLCTS2EXP,KKNP,VSTPS III,KHARGONE-I,SIMHST2,NLCIIST2,KUDGI,KGSU3AND4,RSTPSU7,NLCIIST1,TALST2,RSTPSU1TO6,MAPS,GANDHAR-ComGas,KAWAS-zLIQ,BRBCL,GADARWARA-I,MOUDA_II,GANDHAR-NAPM,MOUDA,KHSTPP-II,KHSTPP-I,FSTPP I & II,GANDHAR-APM,KSTPS I&II,TALA,VSTPS II,VSTPS V,SIPAT II,KAWAS-NAPM,SOLAPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.367886,2.758738,4.099670,34.344245,44.379167,16.548590,48.920227,0.000000,24.410357,132.203292,5.676342,0.000000,1.035891,41.942082,16.786203,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,84.349336,25.970568,0.000000,0.857741,51.927025,441.632123,51.490312,20.864642,42.033750,0.000000,0.000000,0.000000,40.601245,30.545986,56.844293,0.000000,28.381610,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.019088,2.585197,2.286724,0.799115,0.000000,3.610504,2.690880,0.000000,4.101852,0.022014,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,14.429230,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

2,00:15-00:30,1.367886,0.000000,4.099670,34.344245,44.379167,16.548590,48.920227,0.000000,18.615869,132.203292,5.676342,0.000000,1.035891,41.942082,16.786203,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,84.349336,25.970568,0.000000,0.857741,51.927025,441.632123,51.490312,20.864642,42.033750,0.000000,0.000000,0.000000,40.601245,30.545986,56.844293,0.000000,28.381610,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.019088,2.585197,2.286724,0.799115,0.000000,3.664599,2.690880,0.000000,4.101852,0.022014,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,12.926558,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

3,00:30-00:45,1.367886,0.000000,4.099670,34.344245,21.696481,16.548590,48.920227,0.000000,18.615869,132.203292,5.676342,0.000000,1.035891,41.942082,16.786203,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,42.174667,25.970568,0.000000,0.415256,51.927025,429.599834,51.490312,20.864642,42.033750,0.000000,0.000000,0.000000,40.601245,30.545986,56.844293,0.000000,28.381610,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.009544,2.585197,2.286724,0.799115,0.000000,3.719750,2.690880,0.000000,4.101852,0.007337,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,10.390238,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

4,00:45-01:00,1.367886,0.000000,2.049835,34.344245,0.000000,16.548590,51.047194,0.000000,18.615869,132.203292,5.676342,0.000000,1.035891,41.942082,16.786203,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,42.174667,25.970568,0.000000,0.000000,51.927025,429.599834,51.490312,20.864642,42.033750,0.000000,0.000000,0.000000,40.601245,30.545986,56.844293,0.000000,28.381610,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.009544,2.585197,2.286724,0.799115,0.000000,3.842226,2.690880,0.000000,4.101852,0.007337,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,11.516524,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

5,01:00-01:15,1.367886,0.000000,1.024917,33.781225,0.000000,16.548590,51.047194,0.000000,18.615869,132.203292,0.000000,0.000000,1.035891,41.942082,14.022620,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,42.174667,25.970568,0.000000,0.000000,51.927025,429.599834,51.490312,20.864642,42.033750,0.000000,0.000000,0.000000,40.601245,30.545986,56.844293,0.000000,3.062763,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.009544,2.585197,2.286724,0.799115,0.000000,3.936686,2.690880,0.000000,4.101852,0.007337,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,13.229550,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

6,01:15-01:30,1.367886,0.000000,0.207054,33.781225,0.000000,16.548590,48.920227,0.000000,18.615869,132.203292,0.000000,0.000000,1.035891,41.942082,8.393101,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,42.174667,25.970568,0.000000,0.000000,34.499425,429.599834,51.490312,20.864642,0.000000,0.000000,0.000000,0.000000,40.601245,0.000000,56.844293,0.000000,0.000000,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.009544,2.585197,2.286724,0.799115,0.000000,4.019413,2.690880,0.000000,4.101852,0.007337,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,12.350057,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

7,01:30-01:45,1.372125,0.000000,0.000000,33.781225,0.000000,16.548590,48.920227,0.000000,0.620265,132.203292,0.000000,0.000000,1.035891,41.942082,8.393101,2.457837,664.050759,20.582825,121.876716,18.939827,116.260677,21.945367,25.970568,0.000000,0.000000,40.429013,429.599834,51.490312,20.864642,0.000000,0.000000,0.000000,0.000000,40.601245,0.000000,56.844293,0.000000,0.000000,90.848919,0.000000,0.000000,0.000000,0.000000,0.000000,2.350548,0.009852,2.585197,2.286724,0.799115,0.000000,4.124581,2.690880,0.000000,4.101852,0.007337,1.240894,336.167618,1.71,3.64,1.92,0.19,2.29,0.85,1.55,1.887764,3.412459,1.78,0.40,5.99,1.06,1.87,0.81,2.92,5.11,0.23,0.000000,0.000000,10.446945,2.013006,3.382812,0.000000,1.866975,142.096383,32.159770,16.867383,0.000000,2.417513,0.000000,1.871655,1.278811,0.900795,0.000000,3.412458,0,0,0,0,0

