Block,Time,SASAN,TALA,FSTPP I & II,KHSTPP-II,BRBCL,KHSTPP-I,DADRI_GF,TANAKPUR,RIHAND2,ANTA_CRF,SALAL,DADRI_LF,RAPPC,TEHRI,AURY_GF,DADRI_RF,RIHAND3,SINGRAULI,RAPPB,SINGRAULI_HYDRO,UNCHAHAR1,DULHASTI,DADRI_CRF,DADRT2,CHAMERA3,PARBATI3,URI,ANTA_RF,AURY_LF,UNCHAHAR4,SEWA2,URI2,ANTA_GF,RAMPUR,DHAULIGNGA,BSIUL,JHAJJAR,AURY_RF,ANTA_LF,KOTESHWR,RIHAND1,AURY_CRF,TANDA2,KISHANGANGA,KOLDAM,UNCHAHAR2,NAPP,CHAMERA1,NJPC,CHAMERA2,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,401.014152,0.000000,13.956733,114.204238,9.576862,25.015768,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,38.058854,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,0.000000,0.000000,0.000000,228.866400,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,24.531510,0.000000,0.000000,0.000000,0.000000,15.887063,0,0,0,0,0

2,00:15-00:30,401.014152,0.000000,10.646931,114.204238,9.576862,25.015768,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,38.058854,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,0.000000,0.000000,0.000000,228.866400,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,24.531510,0.000000,0.000000,0.000000,0.000000,15.887063,0,0,0,0,0

3,00:30-00:45,401.014152,0.000000,9.544495,114.204238,9.576862,25.015768,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,4.228762,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,0.000000,0.000000,0.000000,228.866400,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,24.531510,0.000000,0.000000,0.000000,0.000000,15.887063,0,0,0,0,0

4,00:45-01:00,401.014152,0.000000,4.788000,103.220470,9.576862,20.381750,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

5,01:00-01:15,401.014152,0.000000,4.788000,100.347670,9.576862,20.381750,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,15.973228,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

6,01:15-01:30,401.014152,0.000000,4.788000,95.559670,9.576862,20.381750,0.000000,6.010759,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,15.973228,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

7,01:30-01:45,401.014152,0.000000,4.788000,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,5.152654,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

8,01:45-02:00,401.014152,0.000000,4.788000,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

9,02:00-02:15,401.014152,0.000000,4.788000,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

10,02:15-02:30,401.014152,0.000000,4.788000,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,346.651200,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.448800,0.000000,0.000000,0.000000,0.000000,7.660800,0,0,0,0,0

11,02:30-02:45,401.014152,0.000000,4.663512,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,344.736000,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,224.959392,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.209400,0.000000,0.000000,0.000000,0.000000,7.536312,0,0,0,0,0

12,02:45-03:00,401.014152,0.000000,4.663512,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,344.736000,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,224.959392,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.209400,0.000000,0.000000,0.000000,0.000000,7.536312,0,0,0,0,0

13,03:00-03:15,401.014152,0.000000,4.663512,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,344.736000,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,224.959392,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.209400,0.000000,0.000000,0.000000,0.000000,7.536312,0,0,0,0,0

14,03:15-03:30,401.014152,0.000000,4.663512,95.559670,9.576862,20.381750,0.000000,0.490674,113.116500,0.000000,1.335277,0.000000,52.010320,0.000000,0.000000,0.000000,118.422202,118.143900,0.000000,0.567886,0.000000,0.000000,0.000000,344.736000,0.000000,0.000000,2.642976,0.000000,0.000000,0.000000,0.000000,4.508572,0.000000,0.000000,0.000000,0.000000,224.959392,0.000000,0.000000,8.497742,88.099200,0.000000,0.000000,0.000000,0.000000,12.209400,0.000000,0.000000,0.000000,0.000000,7.536312,0,0,0,0,0

