Column1,Time,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,0,7,23.33,0,0,0,8.33,15.01,0,0,23.34,25.01,8.33,0,28.68,28.68,28.68,47.8,20.07,1.47,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

2,00:15-00:30,0,7,22.67,0,0,0,8.33,14.81,0,0,22.66,25.01,8.33,0,28.68,28.68,28.68,47.8,20.07,1.47,84.12,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

3,00:30-00:45,0,7,20,0,0,0,8.33,14.61,0,0,20,25.01,8.33,0,28.68,28.68,28.68,47.8,20.07,1.47,84.12,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

4,00:45-01:00,0,7,18.33,0,0,0,8.17,14.41,0,0,18.34,24.49,8.17,0,28.68,28.68,28.68,47.8,20.07,1.47,84.12,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

5,01:00-01:15,0,7,17.33,0,0,0,8,14.21,0,0,17.34,24,8,0,25.81,25.81,25.81,47.8,20.07,1.47,84.12,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,26.24,0,0

6,01:15-01:30,0,7,16.67,0,0,0,7.83,14.01,0,0,16.66,23.51,7.83,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,26.24,0,0

