Column1,Block,NR/2025/33302/C,NR/2025/32857/A/95435,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/95658,NR/2025/32534/A/95661,NR/2025/32535/A/95662,NR/2025/32535/A/95664,NR/2025/32532/A/95659,NR/2025/32534/A/95660,NR/2025/32652/A/95443,NR/2025/32653/A/95442,NR/2025/32599/A/95434,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,NR/2025/29440/A/95238,NR/2025/32559/A/95725,NR/2025/32610/A/95724,NR/2025/29992/A/95339,NR/2025/32556/A/95726,NR/2025/32375/A/95737,NR/2025/31421/A/95741,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/09/3786,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33231/C,NR/2025/31046/A/95690,NR/2025/32702/A/95364,NR/2025/33198/C,NR/2025/31047/A/95691,NR/2025/33208/C,NR/2025/33268/C,NR/2025/33277/C,NR/2025/33269/C,NR/2025/32262/A/95311,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33279/C,NR/2025/32004/A/95729,NR/2025/33281/C,NR/2025/33232/C,NR/2025/33283/C,NR/2025/33236/C,NR/2025/33299/C,NR/2025/32598/A/95740,NR/2025/32397/A/95258,NR/2025/33241/C,NR/2025/31041/A/95677,NR/2025/32554/A/95632,NR/2025/31042/A/95678,NR/2025/33284/C,NR/2025/32455/A/95758,Total
,,MES_Delhi,GMRETL,SECI_Trader,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,GMRETL,BRPL,MANIKARAN,MANIKARAN,APPCPL,NDMC,MANIKARAN,NDMC,PowerPulse,NDMC,ITCLH,APPCPL,APPCPL,BYPL,APPCPL,NVVNL,NVVNL,MANIKARAN,NVVNL,APPCPL,IEXL,DELHI,PowerPulse,PowerPulse,DIAPL,BYPL,PowerPulse,PowerPulse,NVVNL,NVVNL,NVVNL,TPTCL,BAWANA_GAS,PUNJAB,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,PTC,HPXL,PTC,IEXL,PowerPulse,PowerPulse,PowerPulse,PowerPulse,APPCPL,MANIKARAN,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,MP_State,GOA_State,NA,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,KERALA_State,NA,MP_State,NA,NA,NA,GOA_State,Assam_State,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,KERALA_State,NA,NA,MP_State,NA,NA,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,GoHP_NJPC_STATE,MSEB_State,NA,NA,NA,NA,NA,NA,
,,NTPCREL_PSS2_KPS2_S,JGCPL_BKN2,APSEPL_FTG,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,TS1PL_BKN,AEML,BLAPOWER_MP,GOA_Beneficiary,JIPL,MBMP,SKS_Raigarh,Vidarbha_Industry_MH,TRN_ENERGY,ITCWIND,RKM_POWER,RKM_POWER,KSEB,JPL2,JP_BINA,JPNIGRIE_JNSTPP,DBPL,JHABUA_IPP,GOA_Beneficiary,APDCL,CHANJUII,MAHAN_ENERGEN,APL_Raigarh_TPP,GBHHPL,KSEB,APL_Raigarh_TPP,APL_Raipur_TPP,JP_BINA,Kameng,JPNIGRIE_JNSTPP,TPC_MSEB,BAWANA_GAS,BAWANA_GAS,AEML,AEML,RKM_POWER,APL_Raigarh_TPP,JPL2,GoHP_NJPC,SEILP2,GoHP_NJPC,A_A_Energy_MH_Bio,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raipur_TPP,MAHAN_ENERGEN,RKM_POWER,MBMP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,MAX_HPTL,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,BLKMH,DTCP,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,NDMC,ITCLH,NDMC,NDMC,BYPL,NDMC,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,DIAPL,BYPL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,HARYANA,PUNJAB,BYPL,BYPL,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,MES_Delhi,BRPL,TPDDL,BRPL,TPDDL,NDMC,BRPL,
,,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,0,32,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1500.4300000000003

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,0,32,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1500.4300000000003

