Column1,Time,GNA/NR/2025/05/01/2474,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/9395,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/6160,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/4138,NR/01102023/31052040/LT-31,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,28.95,272.37,7.74,75.14,57.79,4.67,9.22,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.93,14.45,0,32,30.28,4.05,13.64,0,100.36,32,129.27,0,0,0,15.41,0,80.67,31,31,0,80.66,0,26.67,0,93,0,0,0,0,0,0,0,0

2,00:15-00:30,28.95,272.37,7.74,75.14,57.79,4.67,9.22,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.93,14.45,0,32,30.28,4.05,13.64,0,100.36,32,129.27,0,0,0,14.81,0,80.67,31.33,31.33,0,80.66,0,26.33,0,94.01,0,0,0,0,0,0,0,0

3,00:30-00:45,28.95,272.37,7.74,75.14,57.79,4.67,9.22,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.93,14.45,0,30,30.28,4.05,13.64,0,100.36,30,129.27,0,0,0,10.4,0,81.33,31.33,31.33,0,81.34,0,26.33,0,94.01,0,0,0,0,0,0,0,0

4,00:45-01:00,28.95,272.37,7.74,75.14,57.79,4.67,9.22,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.93,14.45,0,30,30.28,4.05,13.64,0,100.36,30,129.27,0,0,0,10,0,82.67,31.33,31.33,0,82.66,0,27.33,0,94.01,0,0,0,0,0,0,0,0

5,01:00-01:15,28.95,272.37,7.74,75.14,57.79,4.67,8.83,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.85,14.45,0,30,30.28,4.05,13.46,0,100.36,30,129.27,0,0,0,10,0,82,31.33,31.33,0,82,0,27.33,0,94.01,0,0,0,0,0,0,0,0

6,01:15-01:30,28.95,272.37,7.74,75.14,57.79,4.67,8.83,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.85,14.45,0,30,30.28,4.05,13.46,0,100.36,30,129.27,0,0,0,9.2,0,81.67,31.33,31.33,0,81.66,0,27.33,0,94.01,0,0,0,0,0,0,0,0

7,01:30-01:45,28.95,272.37,7.74,75.14,57.79,4.67,8.83,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.85,14.45,0,30,30.28,4.05,13.46,0,100.36,23.51,129.27,0,0,0,9,0,81.67,31.33,31.33,0,81.66,0,31.66,0,94.01,0,0,0,0,0,0,0,0

8,01:45-02:00,28.95,272.37,7.74,75.14,33.05,4.67,8.83,28.9,10.43,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,8.85,14.45,0,30,30.28,4.05,13.46,0,100.36,23.51,129.27,0,0,0,8.4,0,80.33,31.33,31.33,0,80.34,0,31.66,0,94.01,0,0,0,0,0,0,0,0

9,02:00-02:15,28.95,272.37,7.74,75.14,33.05,4.67,8.45,28.9,10.43,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,8.7,14.45,0,30,30.28,4.05,13.19,0,100.36,23.51,129.27,0,0,0,7.6,0,79.67,31.33,31.33,0,79.66,0,31.66,0,94.01,0,0,0,0,0,0,0,0

10,02:15-02:30,28.95,272.37,7.74,75.14,33.05,4.67,8.45,28.9,10.43,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,8.7,14.45,0,30,30.28,4.05,13.19,0,100.36,23.51,129.27,0,0,0,7.2,0,80,31.5,31.5,0,80,0,31.66,0,94.5,0,0,0,0,0,0,0,0

11,02:30-02:45,28.95,272.37,7.74,75.14,33.05,4.67,8.45,28.9,10.43,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,7.76,14.45,0,30,30.28,4.05,13.19,0,100.36,23.51,129.27,0,0,0,7.2,0,83.33,31.33,31.33,0,83.34,0,31.66,0,94.01,0,0,0,0,0,0,0,0

12,02:45-03:00,28.95,272.37,7.74,75.14,33.05,4.67,8.45,28.9,10.43,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,7.76,14.45,0,30,30.28,4.05,13.19,0,100.36,23.51,129.27,0,0,0,6.6,0,83.33,32,32,0,83.34,0,31.66,0,96,0,0,0,0,0,0,0,0

