Column1,Block,NR/2024/23512/C,NR/2024/23508/C,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/05/3525,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/05/8379,NR/2024/23522/C,NR/2024/23507/C,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/05/7177,NR/30092023/31122025/SH-07,NR/2024/23382/A/40046,GNA/NR/2024/10/05/6226,NR/2024/23446/A/40044,NR/2024/23356/A/39952,NR/2024/23389/A/39951,NR/2024/23397/A/39927,NR/2024/23383/A/39920,NR/2024/23215/A/40034,NR/2024/23521/C,NR/2024/23414/A/39914,NR/2024/23384/A/39916,GNA/NR/2024/10/01/9072,NR/30092023/26122029/SH-06,Total
,,SJVNL,NVVNL,PTC,PXIL,DELHI,PXIL,HPXL,TPDDL,NDMC,NDMC,NDMC,NDMC,PXIL,BAWANA_GAS,NVVNL,PXIL,NVVNL,SJVNL,SJVNL,DIAPL,ITCLH,PTC,HPXL,IEXL,IEXL,NDMC,PUNJAB,
,,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,DELHI_UT,
,,TPSL_BKN2,SOLAPUR_SOLAR,HP,APL_Raigarh_TPP,CHANJUII,APL_Raipur_TPP,ACBIL,JHAJJAR,RKM_POWER,JPL2,SKS_Raigarh,TRN_ENERGY,APL_Raipur_TPP,BAWANA_GAS,JITPL,APL_Raigarh_TPP,JITPL,TPSL_BKN2,RSRPL_BKN,GBHHPL,ITCWIND,HP,SINGOLI,NSLSUGAR,NSLSUGAR,RKM_POWER,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,MES_Delhi,BRPL,BRPL,TPDDL,BRPL,BYPL,TPDDL,NDMC,NDMC,NDMC,NDMC,BRPL,HARYANA,NDMC,BRPL,NDMC,NDMC,NDMC,DIAPL,ITCLH,BYPL,BYPL,MES_Delhi,MES_Delhi,NDMC,PUNJAB,
,,North-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,East-North,West-North,East-North,North-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,South-West-North,West-North,North-North,
1,00:00-00:15,0,0,54.36,0,6.55,0,24.16,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.58,18.12,81.18,0,6.76,37.33,1.35,563.6899999999999

2,00:15-00:30,0,0,54.36,0,6.55,0,24.16,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.58,18.12,81.18,0,6.76,37.33,1.35,563.6899999999999

3,00:30-00:45,0,0,54.36,0,6.55,0,24.16,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.58,18.12,81.18,0,6.76,37.33,1.35,563.6899999999999

4,00:45-01:00,0,0,54.36,0,6.55,0,24.16,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.58,18.12,81.18,0,6.76,37.33,1.35,563.6899999999999

5,01:00-01:15,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.53,18.12,0,0,6.76,37.33,1.35,458.2999999999999

6,01:15-01:30,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.53,18.12,0,0,6.76,37.33,1.35,458.2999999999999

7,01:30-01:45,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.53,18.12,0,0,6.76,37.33,1.35,458.2999999999999

8,01:45-02:00,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.53,18.12,0,0,6.76,37.33,1.35,458.2999999999999

9,02:00-02:15,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.48,18.12,0,0,6.76,37.33,1.35,458.24999999999994

10,02:15-02:30,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.48,18.12,0,0,6.76,37.33,1.35,458.24999999999994

11,02:30-02:45,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.48,18.12,0,0,6.76,37.33,1.35,458.24999999999994

12,02:45-03:00,0,0,54.36,0,6.55,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.48,18.12,0,0,6.76,37.33,1.35,458.24999999999994

13,03:00-03:15,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

14,03:15-03:30,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

15,03:30-03:45,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

16,03:45-04:00,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

17,04:00-04:15,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

18,04:15-04:30,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

19,04:30-04:45,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

20,04:45-05:00,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.43,18.12,0,0,6.76,37.33,1.35,458.1099999999999

21,05:00-05:15,0,0,54.36,0,6.46,0,0,173.95,37.33,37.33,12.45,12.45,0,32,24.89,0,0,0,0,2.9,0.48,18.12,0,0,6.76,37.33,1.35,458.1599999999999

