Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/02112023/15112023/D20231102NR21539,NR/01112023/30112023/HP-10,NR/01102023/23072042/L_NR_2012_04,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-09,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,2.510000,59.080000,30.920000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,225.040000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.45,0,0,0,0,9.68,8.45,0,0,5.86,3.23,144.93,0,3.21,0,0,0,7.21,0,0

2,00:15-00:30,2.510000,59.080000,30.920000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,225.040000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.55,0,0,0,0,9.74,8.55,0,0,5.84,3.25,144.93,0,3.24,0,0,0,7.21,0,0

3,00:30-00:45,2.510000,59.080000,26.080000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,225.040000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.82,0,0,0,0,9.78,8.82,0,0,5.82,3.26,144.93,0,3.27,0,0,0,7.21,0,0

4,00:45-01:00,2.510000,49.930000,26.080000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,225.040000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.98,0,0,0,0,9.91,8.98,0,0,5.77,3.31,144.93,0,3.3,0,0,0,7.21,0,0

5,01:00-01:15,2.510000,64.930000,26.080000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.84,0,0,0,0,10.11,8.84,0,0,5.84,3.37,144.93,0,3.37,0,0,0,7.21,0,0

