Block,Time Block,PARBATI3,PARBATI2,JHAJJAR,CHAMERA2,CHAMERA1,DADRT2,BSIUL,CHAMERA3,NTPL,MAPS,NLCEXP,NJPC,NLCIIST1,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,BRBCL,KOTESHWR,KUDGI,KKNPPU2,KISHANGANGA,KOLDAM,KKNP,DHAULIGNGA,TEHRI,TelanganaSTPP,TANDA2,TALST2,TANAKPUR,TEHRIPSP,FSTPP I & II,DULHASTI,ANTA_CRF,ANTA_RF,URI2,ANTA_LF,ANTA_GF,AURY_CRF,AURY_GF,VALLURNTECL,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,SIMHST2,SINGRAULI_HYDRO,TALA,RIHAND2,SASAN,RIHAND1,SINGRAULI,SIMHST1,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,RIHAND3,KHSTPP-I,KHSTPP-II,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,KGSU1AND2,KGSU3AND4,RAPPD,RAPPB,RAMPUR,RAPPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.17,0,263.39,45.32,40.54,457.5,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,15.12,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,152.01,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,38.23,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

2,00:15-00:30,37.17,0,263.39,45.32,40.54,359.82,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,76,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,38.23,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

3,00:30-00:45,31.46,0,263.39,45.32,40.54,282.87,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,50.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

4,00:45-01:00,31.46,0,263.39,45.32,40.54,225.17,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,50.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

5,01:00-01:15,31.46,0,263.39,45.32,40.54,167.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,50.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

6,01:15-01:30,31.46,0,263.39,45.32,40.54,167.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,23.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

7,01:30-01:45,31.46,0,251.13,45.32,40.54,135.84,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,23.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

8,01:45-02:00,31.46,0,251.13,45.32,40.54,135.84,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,23.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

9,02:00-02:15,34.32,0,252.71,45.32,40.54,145.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,23.36,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

10,02:15-02:30,34.32,0,252.71,45.32,40.54,145.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0.92,12.72,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,25.48,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

11,02:30-02:45,34.32,0,252.43,45.32,40.54,145.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.72,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0.92,13.15,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,25.48,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

12,02:45-03:00,34.32,0,252.43,45.32,40.54,145.46,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,13.47,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,12.56,0,18.04,53.26,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0.92,13.15,120.48,248.87,94.56,129.59,0,0,0,81.02,0,125.84,43.79,142.63,42.76,25.48,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

13,03:00-03:15,31.46,0,264.75,45.32,40.54,149.24,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,14.04,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,11.46,0,18.04,53.26,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0.92,13.15,120.48,248.87,94.56,129.59,0,0,0,78.23,0,125.84,43.79,142.63,42.76,27.61,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

14,03:15-03:30,31.46,0,264.75,45.32,40.54,144.71,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,15.01,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,11.46,0,18.04,53.26,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0.92,13.15,120.48,248.87,94.56,129.59,0,0,0,78.23,0,125.84,43.79,142.63,42.76,27.61,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

15,03:30-03:45,31.46,0,265.31,45.32,40.54,153.52,12.54,32.64,0,0,0,169.07,0,0,23.92,0,0,15.2,39.02,0,0,6.78,8.29,0,0,55.47,0,4.16,0,11.46,0,18.04,53.26,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0.92,13.15,120.48,248.87,94.56,129.59,0,0,0,78.23,0,125.84,43.79,142.63,38.85,31.85,20.68,26.37,2.43,0,0,0,0,5.48,62.78,0,0,0,0,0

