Block,Time Block,MAPS,KUDGI,BRBCL,CHAMERA1,BSIUL,CHAMERA2,TANAKPUR,SINGRAULI_HYDRO,TEHRIPSP,TALA,TelanganaSTPP,SIMHST1,TEHRI,SIMHST2,SINGRAULI,TANDA2,TALST2,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,RIHAND3,CHAMERA3,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU3AND4,KHSTPP-I,KGSU1AND2,SASAN,SALAL,RSTPSU1TO6,RSTPSU7,DADRI_LF,DADRI_RF,AURY_LF,DADRI_CRF,ANTA_LF,AURY_GF,DADRI_GF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,ANTA_CRF,VALLURNTECL,URI2,SEWA2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR4,UNCHAHAR1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAMPUR,RIHAND2,RIHAND1,RAPPD,RAPPC,RAPPB,NAPP,NLCEXP,NLCIIST1,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,15.97,40.73,6.3,47.26,5.57,1.12,54.26,29.95,0,0,38.23,0,150.35,5.96,0,10.09,143.32,0,0,10.29,8.42,127.89,33.91,485.93,42.38,20.1,56.22,172,0,44,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,27.05,43.09,42.68,2.31,21.1,0,0,0,0,57.19,56.1,6.8,122.52,85.94,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

2,00:15-00:30,0,0,13.28,40.73,6.3,47.26,5.57,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,485.93,42.38,20.1,56.22,181.66,0,44,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,27.05,43.58,42.68,2.56,21.1,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

3,00:30-00:45,0,0,13.59,40.73,6.3,47.26,5.57,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,476.26,42.38,19.35,56.22,162.34,0,44,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,27.05,43.58,42.68,2.31,21.1,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

4,00:45-01:00,0,0,13.28,40.73,6.3,47.26,11.51,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,466.6,42.38,19.35,56.22,140.11,0,44,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,27.05,43.58,42.68,2.31,21.1,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

5,01:00-01:15,0,0,13.34,40.73,6.3,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,408.61,42.38,19.35,56.22,135.28,0,40.8,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,23.87,35.72,44.28,2.31,17.26,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

6,01:15-01:30,0,0,13.41,40.73,6.3,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,408.61,42.38,19.35,56.22,135.28,0,40.8,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,23.04,35.72,44.28,2.31,17.26,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

7,01:30-01:45,0,0,13.41,40.73,6.3,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,408.61,42.38,19.35,56.22,135.28,0,39.04,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,32.04,44.28,2.31,15.07,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

8,01:45-02:00,0,0,13.37,40.73,12.6,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,6.17,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,345.6,42.38,19.35,56.22,135.28,0,39.04,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,32.04,44.28,2.31,15.07,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

9,02:00-02:15,0,0,13.41,40.73,12.6,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,3.74,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,277.96,42.38,17.33,56.22,118.85,0,39.66,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,31.45,46.94,2.31,14.73,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

10,02:15-02:30,0,0,13.4,40.73,12.6,47.26,11.76,1.12,54.26,29.95,0,0,38.23,0,150.35,3.74,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,210.31,42.38,17.33,56.22,118.85,0,37.92,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,31.45,46.94,2.31,14.73,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

11,02:30-02:45,0,0,13.36,40.73,12.6,47.26,11.76,1.12,0,19.61,0,0,38.23,0,150.35,4.29,0,10.09,143.32,0,0,10.29,8.42,127.92,33.91,142.66,42.38,14.16,56.22,118.85,0,37.92,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,31.45,46.94,2.31,14.73,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

12,02:45-03:00,0,0,13.74,40.73,12.6,47.26,11.76,1.12,0,19.61,0,0,38.23,0,150.35,4.29,0,10.09,131.19,0,0,10.29,8.42,127.92,33.91,75.01,42.38,14.16,56.22,118.85,0,37.92,0,391.39,82.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,19.79,31.45,46.94,2.31,14.73,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

13,03:00-03:15,0,0,16.69,40.73,12.6,47.26,11.76,1.12,0,24.91,0,0,38.23,0,150.35,3.74,0,10.09,129.75,0,0,10.29,8.42,127.92,33.91,7.36,42.38,13.81,56.22,114.98,0,37.92,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,16.67,25.16,46.94,1.1,12.1,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

14,03:15-03:30,0,0,16.96,40.73,12.6,47.26,11.76,1.12,0,24.91,0,0,38.23,0,150.35,3.74,0,10.09,129.75,0,0,10.29,8.42,127.92,33.91,7.36,42.38,13.81,56.22,114.98,0,37.92,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

15,03:30-03:45,0,0,16.04,40.73,12.6,47.26,11.76,1.12,0,24.91,0,0,38.23,0,150.35,3.74,0,10.09,123.53,0,0,10.29,8.42,127.92,33.91,7.36,42.38,13.81,56.22,114.98,0,37.92,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

16,03:45-04:00,0,0,17.82,40.73,12.6,47.26,11.76,1.12,0,24.91,0,0,38.23,0,150.35,3.74,0,10.09,95.2,0,0,10.29,8.42,127.92,33.91,7.36,42.38,10.18,56.22,114.98,0,29.22,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

17,04:00-04:15,0,0,18.2,40.73,18.9,47.26,11.51,1.12,0,24.91,0,0,38.23,0,150.35,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,7.36,42.38,12.95,56.22,114.98,0,35.3,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,17.98,28.8,46.94,1.1,13.66,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

18,04:15-04:30,0,0,18.85,40.73,18.9,47.26,11.51,1.12,0,24.91,0,0,38.23,0,150.35,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,7.36,42.38,12.95,56.22,114.98,0,35.3,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,17.98,28.8,46.94,1.1,13.66,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

19,04:30-04:45,0,0,18.03,40.73,18.9,47.26,11.51,1.12,0,30.55,0,0,38.23,0,150.35,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,7.36,42.38,12.95,56.22,114.98,0,31.56,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,28.61,46.94,1.1,13.66,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

20,04:45-05:00,0,0,18.5,40.73,18.9,47.26,11.51,1.12,0,30.55,0,0,38.23,0,134.05,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,7.36,42.38,12.95,56.22,114.98,0,31.56,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

21,05:00-05:15,0,0,22.93,40.73,18.9,47.26,11.51,1.12,0,29.83,0,0,28.68,0,134.05,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,34.34,42.38,12.95,56.22,114.98,0,31.53,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

22,05:15-05:30,0,0,23.66,40.73,18.9,47.26,11.51,1.12,0,29.83,0,0,19.19,0,134.05,3.64,0,10.09,114.99,0,0,10.29,8.42,127.92,33.91,7.38,42.38,10.18,56.22,114.98,0,29.22,0,391.39,78.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,14.37,23.97,46.94,1.1,10.81,0,0,0,0,57.19,56.1,6.8,122.54,85.97,24.88,66.42,0,24.05,0,0,175.07,0,0,0,0,0

