Block,Time,BRBCL,NLCEXP,UNCHAHAR2,AURY_GF,DADRI_GF,KKNPPU2,KOLDAM,NLCIIST1,NLCIIST2,RAMPUR,SINGRAULI,UNCHAHAR4,URI2,VALLURNTECL,AURY_LF,AURY_RF,CHAMERA1,FSTPP I & II,KHSTPP-II,NLCTS2EXP,RAPPB,RIHAND2,RIHAND3,SALAL,SIMHST1,URI,NAPP,NTPL,RIHAND1,SINGRAULI_HYDRO,ANTA_CRF,ANTA_LF,DADRI_CRF,CHAMERA2,DHAULIGNGA,DULHASTI,KHSTPP-I,KKNP,MAPS,NJPC,RSTPSU7,SIMHST2,TALA,TelanganaSTPP,KGSU3AND4,TANDA2,TEHRI,KGSU1AND2,KOTESHWR,KUDGI,NNTPP,PARBATI3,RAPPC,SASAN,ANTA_RF,DADRI_LF,BSIUL,CHAMERA3,DADRT2,JHAJJAR,KISHANGANGA,RSTPSU1TO6,SEWA2,TALST2,TANAKPUR,UNCHAHAR1,UNCHAHAR3,ANTA_GF,AURY_CRF,DADRI_RF
1,00:00-00:15,20.01,0,42.4,0,0,0,0,0,0,0,139.68,0,4.57,0,0,70.16,0,20.8,148.3,0,0,118.76,124.32,2.33,0,1.66,41.22,0,92,0,0,0,0,2.4,9.11,16.48,44.31,0,0,0,0,0,0,0,0,0,14.93,0,8.87,0,0,0,51.9,416.25,42.74,21.92,0,0,341.57,654.31,0,0,0,0,11.91,20.56,0,0,0,66.85

2,00:15-00:30,20.01,0,42.4,0,0,0,0,0,0,0,139.68,0,4.57,0,0,70.16,0,20.8,148.3,0,0,118.76,124.32,2.33,0,1.66,41.22,0,92,0,0,0,0,2.4,9.11,16.48,44.31,0,0,0,0,0,0,0,0,0,14.93,0,8.87,0,0,0,51.9,416.25,42.74,21.92,0,0,341.57,654.31,0,0,0,0,11.91,20.56,0,0,0,66.85

3,00:30-00:45,20.01,0,42.4,0,0,0,0,0,0,0,139.68,0,4.57,0,0,70.16,0,20.8,148.3,0,0,118.76,124.32,2.33,0,1.66,41.22,0,92,0,0,0,0,2.4,9.11,16.48,44.31,0,0,0,0,0,0,0,0,0,14.93,0,8.87,0,0,0,51.9,416.25,42.74,21.92,0,0,341.57,654.31,0,0,0,0,7.05,20.56,0,0,0,66.85

4,00:45-01:00,20.01,0,42.4,0,0,0,0,0,0,0,139.68,0,4.57,0,0,70.16,0,20.8,148.3,0,0,118.76,124.32,2.33,0,1.66,41.22,0,92,0,0,0,0,2.4,9.11,16.48,44.31,0,0,0,0,0,0,0,0,0,14.93,0,8.87,0,0,0,51.9,416.25,42.74,21.92,0,0,341.57,654.31,0,0,0,0,7.05,20.56,0,0,0,66.85

5,01:00-01:15,20.01,0,42.4,0,0,0,0,0,0,0,139.68,0,4.57,0,0,70.16,0,20.8,148.3,0,0,118.76,124.32,13.95,0,1.66,41.22,0,92,0,0,0,0,2.4,9.11,16.48,44.31,0,0,0,0,0,0,0,0,0,14.93,0,8.87,0,0,0,51.9,416.25,42.74,21.92,0,0,341.57,654.31,0,0,0,0,7.05,20.56,0,0,0,66.85

