Time,Block,NR/2023/11642/A,NR/2023/11284/A,NR/2023/10944/A,NR/2023/11956/F,NR/2023/11963/F,NR/2023/10487/A,NR/2023/11640/A,NR/2023/11862/F,NR/2023/12862/C,NR/2023/11957/F,NR/2023/10173/A,NR/2023/11955/F,NR/2023/11941/F,NR/2023/12870/C,NR/2023/12656/F,NR/2023/11961/F,NR/2023/12845/D,NR/2023/11342/A,NR/2023/10236/A,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11962/F,NR/2023/11952/F,NR/2023/12852/C,NR/2023/10229/A,NR/2023/11330/A,NR/2023/12869/C,NR/2023/11960/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/12850/D,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/12849/D,ER/2023/7828/C,NR/2023/12846/D,NR/2023/12848/D,Total
,,MANIKARAN,STATKRAFT,APPCPL,SHPPBPL,SHPPBPL,TPTCL,MANIKARAN,APPCPL,TPDDL,SHPPBPL,STATKRAFT,SHPPBPL,NVVNL,PXIL,IEXL,SHPPBPL,NVVNL,IEXL,NVVNL,APPCPL,SHPPBPL,SHPPBPL,KEIPL,GBHHPL,NVVNL,APPCPL,PXIL,SHPPBPL,NVVNL,APPCPL,BYPL,TPTCL,HPXL,SJVNL,SHPPBPL,MANIKARAN,IEXL,TS1PL_BKN,HPXL,NVVNL,TS1PL_BKN,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,MANIPUR,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,DELHI,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,TELANGANA,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,NAGALAND,MEGHALAYA,NA,MAHARASHTRA,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,NA,NA,
,,HP,HP,HP,SHPPBPL,SHPPBPL,APNRL,TANGEDCO,Manipur_Ben,CHANJUII,SHPPBPL,TANGEDCO,SHPPBPL,SKS Raigarh,BYPL,SAPU1234,SHPPBPL,KAMENG,NAVABHARAT,ILFS,Arunachal_Ben,SHPPBPL,SHPPBPL,Meghalaya_Ben,GBHHPL,JPNIGRIE_JNSTPP,HP,BYPL,SHPPBPL,SEIL,Nagaland_Ben,Meghalaya_Ben,JPL,B_S_ISPAT_MH,IPCL_WB,SHPPBPL,HP,JSPL_DCPP,TS1PL_BKN,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,
,,BRPL,BYPL,BYPL,BAL224,UHL,TPDDL,BRPL,STT,TPDDL,BAL234,BYPL,BAL184,NDMC,AMBASTL,MES (Delhi),JHPL-DL,TPDDL,BRPL,BRPL,BYPL,BMDRC,MHIL,BYPL,DIAPL,BRPL,BRPL,ASIL_UP,MAX-HPTL,TPDDL,BYPL,BYPL,BRPL,NDMC,NDMC,AISHER,BRPL,BRPL,BYPL,VLSEZ,MES (Delhi),BRPL,
,,North-North,North-North,North-North,North-North,North-North,East-North,South-West-North,North East-East-North,North-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,South-West-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North East-East-North,North East-East-North,West-North,West-North,East-North,North-North,North-North,West-North,North-North,North-East,West-North,North-North,
1,00:00-00:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

2,00:15-00:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89
