Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/9606,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/08/1391,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,GNA/WR/2024/11/01/4200
1,00:00-00:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,19.33,0,68.34,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,0,1.52,52.57,63.77,47.8,20.07,28.68,59.1,0,0,68.33,28.68,28.68,0,0,0,0,24,72,0,0,13.81,0,24,0

2,00:15-00:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,18,0,65,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,0,1.52,52.57,63.77,47.8,20.07,28.68,59.1,0,0,65,28.68,28.68,0,0,0,0,23,69,0,0,13.01,0,23,0

3,00:30-00:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,17,0,78.33,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,0,1.52,52.57,63.77,47.8,20.07,28.68,59.1,0,0,78.33,28.68,28.68,0,0,0,0,27.67,82.99,0,0,12.21,0,27.67,0

4,00:45-01:00,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,16,0,74.67,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,0,1.52,52.57,63.77,47.8,20.07,28.68,59.1,0,0,74.67,28.68,28.68,0,0,0,0,26.83,80.51,0,0,11.61,0,26.83,0

5,01:00-01:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,21.67,0,70.33,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,70.33,28.68,25.81,0,0,0,0,25.83,77.51,0,0,11,0,25.83,0

6,01:15-01:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,20.67,0,64.33,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,64.33,28.68,25.81,0,0,0,0,24.67,73.99,0,0,10.4,0,24.67,0

