Column1,Block,NR/2025/26202/A/75511,NR/2025/26191/A/75018,NR/2025/26289/A/75418,NR/2025/25859/A/75559,NR/2025/27454/C,NR/2025/26101/A/75387,NR/2025/27149/A/75051,NR/2025/26959/A/75064,NR/2025/26336/A/75117,NR/2025/26785/A/74949,NR/2025/26233/A/75420,NR/2025/25861/A/75561,NR/2025/26265/A/75419,NR/2025/26827/A/75404,NR/2025/27456/C,NR/2025/25860/A/75560,NR/2025/26082/A/75512,NR/2025/26822/A/75406,NR/2025/27449/C,NR/2025/26005/A/75021,NR/2025/27460/C,NR/2025/27457/C,NR/2025/27461/C,NR/2025/26004/A/75020,NR/2025/26085/A/74918,NR/2025/27458/C,NR/2025/26291/A/75417,NR/2025/27459/C,NR/2025/27447/C,NR/2025/27377/C,NR/2025/27378/C,NR/2025/27428/C,NR/2025/27379/C,NR/2025/27429/C,NR/2025/26829/A/75402,NR/2025/27407/C,NR/2025/26755/A/74973,NR/2025/26232/A/75421,NR/2025/27381/C,NR/2025/26335/A/75118,NR/2025/25967/A/75554,NR/2025/27380/C,NR/2025/26153/A/74922,NR/2025/27384/C,NR/2025/27385/C,NR/2025/26379/A/75553,NR/2025/26828/A/75403,NR/2025/26825/A/75405,NR/2025/26879/A/75116,GNARE/NR/2024/12/20/3668,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/7791,Total
,,NVVNL,PXIL,HPXL,PowerPulse,APPCPL,GMRETL,DIAPL,DIAPL,BRPL,IEXL,HPXL,PowerPulse,HPXL,APPCPL,APPCPL,PowerPulse,NVVNL,APPCPL,NVVNL,PXIL,GEPL_Trader,APPCPL,GEPL_Trader,PXIL,ITCLH,APPCPL,HPXL,APPCPL,NVVNL,HPXL,HPXL,PowerPulse,HPXL,TPDDL,APPCPL,PXIL,IEXL,HPXL,HPXL,BRPL,PowerPulse,HPXL,IEXL,IEXL,IEXL,PowerPulse,APPCPL,APPCPL,BRPL,SECI_Trader,PUNJAB,DELHI,IEXL,PXIL,PXIL,NDMC,PXIL,HPXL,PXIL,PXIL,HPXL,SIMHAPURI,PXIL,HPXL,BAWANA_GAS,PowerPulse,JPL,PowerPulse,IEXL,
,,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MP_State,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,GEB_State,GEB_State,NA,NA,GEB_State,TAMILNADU_State,NA,TAMILNADU_State,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,JK_and_LADAKH_UT,Meghalaya_State,ODISHA_STATE,NA,UTTARPRADESH_STATE,HIMACHAL_STATE,ODISHA_STATE,NA,NA,NA,CSEB_State,MSEB_State,DELHI_UT,NA,NA,NA,ODISHA_STATE,
,,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,SIMHAPURI,APL_Raipur_TPP,SKS_Raigarh,GBHHPL,GBHHPL,GBHHPL,DADRT2,MBMP,PCBL_MUNDRA,APL_Raipur_TPP,JPL,JPL2,RKM_POWER,APL_Raipur_TPP,SKS_Raigarh,SKS_Raigarh,Kameng,SKS_Raigarh,DIKCHU,JPL2,SORANG_HEP,ILFS,ITCWIND,TRN_ENERGY,Ultratech_Sidhi_MP,RKM_POWER,SORANG_HEP,JPL,SIMHAPURI,COASTGEN,Ultratech_Sidhi_MP,JHAJJAR,RKM_POWER,JPNIGRIE_JNSTPP,TPSL_BKN2,PCBL_PALEJ,PCBL_MUNDRA,TS1PL_BKN,MAHAN_ENERGEN,PCBL_PALEJ,SURYADEV_ALLOYSTN,MBMP,SURYADEV_ALLOYSTN,COASTGEN,TRN_ENERGY,RKM_POWER,RIHAND3,APSEPL_FTG,BAWANA_GAS,CHANJUII,O2ZTPL,Meghalaya_Ben,FACORPOWER,JIPL,LAPL_UP,KGEPL_HP,FACORPOWER,SINGOLI,JPL,SIMHAPURI,SKSIPL,GRETAENERGY,BAWANA_GAS,APL_Raipur_TPP,JPL2,COASTGEN,VSL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,BRPL,TPDDL,NDMC,TPDDL,DIAPL,DIAPL,BRPL,NDMC,BRPL,TPDDL,BRPL,NDMC,NDMC,TPDDL,BYPL,NDMC,TPDDL,BYPL,BYPL,NDMC,BYPL,BYPL,ITCLH,NDMC,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,BRPL,TPDDL,PUNJAB,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,
,,West-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,East-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,East-North,East-North,North-North,North-North,East-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,South-East-North,East-North,
1,00:00-00:15,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.77,0,24.15,0,0,0,0,0,0,43.47,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.83,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2137.1899999999996

2,00:15-00:30,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.77,0,24.15,0,0,0,0,0,0,43.47,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.83,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2137.1899999999996

3,00:30-00:45,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.77,0,24.15,0,0,0,0,0,0,43.47,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.83,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2137.1899999999996

4,00:45-01:00,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.77,0,24.15,0,0,0,0,0,0,43.47,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.83,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2137.1899999999996

5,01:00-01:15,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.68,0,24.15,0,0,0,0,0,0,43.47,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.65,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2136.9199999999996

6,01:15-01:30,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.68,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.65,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2093.45

7,01:30-01:45,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.68,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.65,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2093.45

8,01:45-02:00,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,96.61,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.68,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.65,0,67.63,14.49,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.8,26.5,164.24,82.12,0,0,2093.45

