Block,Time,NJPC,RAPPC,AURY_GF,CHAMERA3,KOLDAM,RAPPB,SINGRAULI,PARBATI3,KISHANGANGA,TANDA2,RAMPUR,SINGRAULI_HYDRO,ANTA_RF,DADRI_RF,TANAKPUR,UNCHAHAR1,DHAULIGNGA,DADRI_LF,RIHAND1,UNCHAHAR2,SEWA2,AURY_RF,DULHASTI,DADRI_CRF,DADRI_GF,NAPP,JHAJJAR,RIHAND3,CHAMERA1,URI,AURY_CRF,UNCHAHAR3,RIHAND2,UNCHAHAR4,ANTA_LF,AURY_LF,TEHRI,DADRT2,BSIUL,ANTA_CRF,URI2,SALAL,ANTA_GF,CHAMERA2,KOTESHWR,KHSTPP-II,SASAN,TALA,KHSTPP-I,FSTPP I & II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,8.480474,0.000000,0.000000,88.743200,30.498433,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,348.630555,57.258174,0.000000,40.466899,0.000000,18.896996,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,6.289964,0.000000,30.768215,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,19.291953,0,0,0,0,0

2,00:15-00:30,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,8.480474,0.000000,0.000000,88.743200,30.498433,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,40.466899,0.000000,18.896996,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,6.289964,0.000000,30.768215,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,19.291953,0,0,0,0,0

3,00:30-00:45,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,8.480474,0.000000,0.000000,88.743200,30.498433,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,19.168531,0.000000,18.896996,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,6.289964,0.000000,30.768215,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,19.291953,0,0,0,0,0

4,00:45-01:00,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,5.893706,0.000000,0.000000,88.743200,30.498433,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,19.168531,0.000000,15.833090,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,6.289964,0.000000,30.768215,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,19.106696,0,0,0,0,0

5,01:00-01:15,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,19.168531,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,19.291953,0,0,0,0,0

6,01:15-01:30,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,0.000000,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,19.168531,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,104.939606,403.945542,0.000000,32.197287,15.790502,18.781868,0,0,0,0,0

7,01:30-01:45,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,40.466899,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,12.120585,16.976806,0,0,0,0,0

8,01:45-02:00,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,5.189741,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,40.466899,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,12.120585,16.813836,0,0,0,0,0

9,02:00-02:15,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,18.103613,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,12.120585,18.210771,0,0,0,0,0

10,02:15-02:30,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,5.893706,0.000000,0.000000,88.743200,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,57.258174,0.000000,18.103613,0.000000,14.005992,113.943375,0.000000,0.000000,0.000000,0.000000,362.689600,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,11.006086,18.741126,0,0,0,0,0

11,02:30-02:45,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,5.893706,0.000000,0.000000,61.286440,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,42.117619,0.000000,18.103613,0.000000,14.005992,100.266158,0.000000,0.000000,0.000000,0.000000,362.737830,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,11.006086,17.025414,0,0,0,0,0

12,02:45-03:00,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,5.893706,0.000000,0.000000,61.286440,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,42.117619,0.000000,40.466899,0.000000,14.005992,91.605458,0.000000,0.000000,0.000000,0.000000,362.737830,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,11.006086,19.291953,0,0,0,0,0

13,03:00-03:15,0.000000,51.778474,0.000000,0.000000,0.000000,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.627395,0.000000,0.000000,0.000000,5.893706,0.000000,0.000000,61.286440,22.494472,15.244585,0.000000,15.895501,0.000000,0.000000,41.825828,346.580780,42.117619,0.000000,40.466899,0.000000,14.005992,91.605458,0.000000,0.000000,0.000000,0.000000,362.737830,0.000000,0.000000,16.868539,12.329517,0.000000,0.000000,8.084313,78.325520,403.945542,0.000000,24.616592,11.006086,19.291953,0,0,0,0,0

