Time,Block,NR/2024/18986/A/12815,NR/2024/18919/A/12906,NR/2024/18978/A/12303,NR/2024/19165/C,NR/2024/18976/A/12301,NR/2024/18977/A/12302,NR/2024/19030/A/12363,NR/2024/18855/A/12868,NR/2024/19115/A/12670,NR/2024/19043/A/12353,NR/2024/19024/A/12370,NR/2024/19075/A/12511,NR/2024/19081/A/12508,NR/2024/18996/A/13041,NR/2024/19121/A/12865,NR/2024/18936/A/12293,NR/2024/18935/A/12292,NR/2024/18934/A/12291,SR/2024/12799/C,NR/2024/19166/C,Total
,,ITCLH,APPCPL,PXIL,NVVNL,PXIL,PXIL,IEXL,GMRETL,IEXL,IEXL,DIAPL,IEXL,IEXL,PTC,GMRETL,PXIL,PXIL,PXIL,IEXL,NVVNL,Total

,,ANDHRA PRADESH,NAGALAND,TAMIL NADU,NA,ODISHA,NA,NA,RAJASTHAN,MAHARASHTRA,NA,HIMACHAL PRADESH,ODISHA,DELHI,MAHARASHTRA,RAJASTHAN,TAMIL NADU,TAMIL NADU,TAMIL NADU,DELHI,NA,
,,ITCWIND,Nagaland_Ben,BIRLACARBONTN,KAMENG,FACORPOWER,MEENAKSHI,JHABUA_IPP,RUVNL,SWPL,MBMP,GBHHPL,VSL,EDWPCL12,JPL_DHULE,RUVNL,SAKTHISUGARSLTD,SAKTHISUGARS_ELMTN,SAKTHISUGRAR_TN,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,
,,ITCLH,BYPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,DIAPL,BRPL,UPPCL,BRPL,BYPL,BRPL,BRPL,BRPL,TANGEDCO,MES (Delhi),
,,South-West-North,North East-East-North,South-West-North,North East-East-North,East-West-North,South-West-North,West-East-North,North-North,West-East-North,West-East-North,North-North,East-North,North-North,West-North,North-North,South-West-North,South-West-North,South-West-North,North-East-South,West-North,
1,00:00-00:15,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

2,00:15-00:30,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

3,00:30-00:45,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

4,00:45-01:00,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

5,01:00-01:15,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,215.00,0,351.66

6,01:15-01:30,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230.00,0,366.66

7,01:30-01:45,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.00,0,386.66

8,01:45-02:00,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.00,0,411.66

9,02:00-02:15,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,340.00,0,476.66

10,02:15-02:30,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,355.00,0,491.66

11,02:30-02:45,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,365.00,0,501.66

12,02:45-03:00,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,375.00,0,511.66

13,03:00-03:15,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,385.00,0,521.51

14,03:15-03:30,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.00,0,436.51

15,03:30-03:45,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.00,0,436.51

16,03:45-04:00,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.00,0,436.51

17,04:00-04:15,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,430.00,0,566.51

18,04:15-04:30,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,435.00,0,571.51

19,04:30-04:45,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,435.00,0,571.51

20,04:45-05:00,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,440.00,0,576.51

21,05:00-05:15,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,171.00,0,305.51

22,05:15-05:30,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,380.00,0,514.51

23,05:30-05:45,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,280.00,0,414.51

24,05:45-06:00,0.480000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,230.00,0,364.51

25,06:00-06:15,0.530000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,0,124.89

26,06:15-06:30,0.530000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,0,124.89

27,06:30-06:45,0.530000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,0,124.89

28,06:45-07:00,0.530000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,0.69,125.58

29,07:00-07:15,0.680000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,1.07,126.11

30,07:15-07:30,0.680000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,1.51,126.55

31,07:30-07:45,0.680000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,1.97,127.01

32,07:45:08:00,0.680000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,2.48,127.52

33,08:00-08:15,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,3.07,128.4

34,08:15-08:30,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,3.64,128.97

35,08:30-08:45,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,4.2,129.53

36,08:45:09:00,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,4.8,130.13

37,09:00:09:15,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,5.35,130.68

38,09:15-09:30,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,5.82,131.15

39,09:30-09:45,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,6.34,131.67

40,09:45-10:00,0.970000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,0.000000,0.00,6.7,132.03

41,10:00-10:15,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,66.910000,6.770000,5.800000,4.840000,0.00,7.06,240.33

42,10:15-10:30,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,66.910000,6.770000,5.800000,4.840000,0.00,7.44,240.71

43,10:30-10:45,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,66.910000,6.770000,5.800000,4.840000,0.00,7.88,241.15

44,10:45-11:00,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,66.910000,6.770000,5.800000,4.840000,0.00,8.02,241.29

45,11:00-11:15,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.23,241.5

46,11:15-11:30,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.47,241.74

47,11:30-11:45,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.6,241.87

48,11:45-12:00,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.67,241.94

49,12:00-12:15,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.68,334.79

50,12:15-12:30,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.7,334.81

51,12:30-12:45,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.85,334.96

52,12:45-13:00,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.95,335.06

53,13:00-13:15,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,9.14,335.25

54,13:15-13:30,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.9,335.01

55,13:30-13:45,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.66,334.77

56,13:45-14:00,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,8.32,334.43

