Block,Time,JHAJJAR,UNCHAHAR4,URI,DADRI_GF,SALAL,TANAKPUR,UNCHAHAR3,SINGRAULI,DHAULIGNGA,ANTA_RF,UNCHAHAR1,RAMPUR,ANTA_LF,KOLDAM,DADRT2,DULHASTI,ANTA_GF,UNCHAHAR2,DADRI_RF,NJPC,RIHAND1,AURY_GF,BSIUL,RAPPB,NAPP,SINGRAULI_HYDRO,CHAMERA2,KOTESHWR,TEHRI,RAPPC,RIHAND3,KISHANGANGA,PARBATI3,URI2,RIHAND2,SEWA2,AURY_RF,ANTA_CRF,AURY_CRF,AURY_LF,CHAMERA3,DADRI_CRF,TANDA2,DADRI_LF,CHAMERA1,SASAN,KHSTPP-I,TALA,FSTPP I & II,KHSTPP-II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,408.077040,2.984940,35.193312,0.000000,80.819424,6.187230,26.607601,127.579620,42.055908,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,36.453714,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,8.622423,0.193200,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,7.100100,20.092800,143.257800,19.319988,0,0,0,0,0

2,00:15-00:30,408.077040,2.984940,35.193312,0.000000,80.819424,6.187230,26.607601,127.579620,42.055908,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,8.531175,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,7.100100,20.092800,143.257800,19.319988,0,0,0,0,0

3,00:30-00:45,408.077040,2.984940,35.193312,0.000000,80.819424,6.187230,26.607601,127.579620,42.055908,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,7.100100,20.092800,143.257800,17.716317,0,0,0,0,0

4,00:45-01:00,408.077040,2.984940,35.193312,0.000000,80.819424,6.187230,26.607601,127.579620,42.055908,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,7.100100,20.092800,143.257800,16.131404,0,0,0,0,0

5,01:00-01:15,408.077040,2.984940,35.193312,0.000000,80.819424,6.187230,26.607601,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,16.923760,0,0,0,0,0

6,01:15-01:30,408.077040,2.984940,35.193312,0.000000,80.819424,11.755737,26.607601,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,664.720005,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,14.897842,0,0,0,0,0

7,01:30-01:45,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607601,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,605.968226,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,13.870009,0,0,0,0,0

8,01:45-02:00,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607601,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,612.730226,57.163439,0.000000,42.411071,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,14.256253,0,0,0,0,0

9,02:00-02:15,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,588.580226,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,13.988000,0,0,0,0,0

10,02:15-02:30,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,568.294226,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,18.161396,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,14.149657,0,0,0,0,0

11,02:30-02:45,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,549.940226,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,12.101470,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,13.316156,0,0,0,0,0

12,02:45-03:00,396.640952,2.984940,35.193312,0.000000,80.819424,5.568507,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,547.042226,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,5.820960,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,8.236116,20.092800,143.257800,13.379689,0,0,0,0,0

13,03:00-03:15,396.640952,2.984940,35.193312,0.000000,75.206964,7.424676,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,485.604921,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,0.000000,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,9.940140,20.092800,143.257800,13.065047,0,0,0,0,0

14,03:15-03:30,319.835452,2.984940,35.193312,0.000000,75.206964,7.424676,26.607794,127.579620,21.027955,0.000000,21.188051,6.516168,0.000000,9.887081,438.504011,57.163439,0.000000,42.411361,0.000000,173.843731,93.756041,0.000000,6.299093,0.000000,44.905506,1.087899,46.850834,0.000000,0.000000,65.192679,126.140377,8.057069,0.000000,36.602241,120.151080,0.000000,0.000000,0.000000,0.000000,0.000000,33.646990,0.000000,5.175914,0.000000,40.715045,402.097500,42.803460,9.940140,20.092800,143.257800,14.454922,0,0,0,0,0

