Block,Time,TANDA2,RAPPB,SALAL,URI,ANTA_CRF,PARBATI3,NJPC,DADRI_CRF,CHAMERA1,RAPPC,CHAMERA3,TEHRI,RIHAND1,KOLDAM,DULHASTI,AURY_GF,UNCHAHAR1,KOTESHWR,AURY_LF,KISHANGANGA,ANTA_RF,AURY_CRF,RIHAND3,DADRI_LF,ANTA_LF,ANTA_GF,DADRT2,RIHAND2,RAMPUR,DHAULIGNGA,AURY_RF,TANAKPUR,DADRI_GF,SEWA2,SINGRAULI,UNCHAHAR3,DADRI_RF,NAPP,UNCHAHAR4,BSIUL,URI2,UNCHAHAR2,JHAJJAR,CHAMERA2,SINGRAULI_HYDRO,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,KUDGI,NTPL,SIPAT I,VSTPS I,LARA-I,VALLURNTECL,KAWAS-RLNG,GANDHAR-APM,SIMHST2,NLCEXP,VSTPS III,KAWAS-ComGas,MOUDA_II,KKNP,KHARGONE-I,KGSU3AND4,SASAN,NLCIIST2,VSTPS V,VSTPS IV,NNTPP,GANDHAR-RLNG,VSTPS II,KAWAS-zLIQ,NLCTS2EXP,KAPS,TALST2,KAWAS-APM,KSTPS I&II,BRBCL,RSTPSU7,TAPS-II,KSTPS7,GANDHAR-ComGas,RSTPSU1TO6,MOUDA,SOLAPUR,KGSU1AND2,MAPS,GADARWARA-I,NLCIIST1,GANDHAR-NAPM,KAWAS-NAPM,SIPAT II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.351036,0.000000,51.501002,47.866680,0.000000,0.000000,19.728169,0.000000,40.609675,57.136865,30.552328,29.408635,90.877303,0.000000,51.937806,0.000000,21.380065,16.789688,0.000000,2.458347,0.000000,0.000000,121.902020,0.000000,0.000000,0.000000,0.000000,116.284815,0.381296,0.000000,0.000000,5.800944,0.000000,16.552026,138.769784,25.975960,0.000000,42.539088,1.375498,18.943759,34.351375,41.956548,424.877729,42.042477,1.055656,18.210150,142.131305,40.354270,0.000000,5.99,3.64,5.119751,2.297595,4.102703,2.29,0.000000,0.000000,1.78,1.63,1.888156,0.000000,3.383514,1.55,3.413168,2.10,266.648625,0.40,1.279076,2.585733,0.19,0.000000,1.872044,0.000000,0.84,0.799281,2.92,0.000000,2.860953,10.839401,1.87,2.691439,1.292867,0.000000,7.53,1.867362,3.413167,1.92,0.23,2.068586,0.81,0.000000,0.000000,1.801965,0,0,0,0,0

2,00:15-00:30,2.351036,0.000000,51.501002,47.866680,0.000000,0.000000,0.000000,0.000000,40.609675,57.136865,30.552328,29.408635,90.877303,0.000000,51.937806,0.000000,21.380065,16.789688,0.000000,2.458347,0.000000,0.000000,121.902020,0.000000,0.000000,0.000000,0.000000,116.284815,0.000000,0.000000,0.000000,5.800944,0.000000,16.552026,138.769784,25.975960,0.000000,42.539088,1.375498,18.943759,34.351375,41.956548,424.877729,42.042477,1.055656,18.210150,142.131305,40.354270,0.000000,5.99,3.64,5.119751,2.297595,4.102703,2.29,0.000000,0.000000,1.78,1.64,1.888156,0.000000,3.383514,1.55,3.413168,2.10,266.648625,0.40,1.279076,2.585733,0.19,0.000000,1.872044,0.000000,0.84,0.799281,2.92,0.000000,2.860953,10.839401,1.87,2.691439,1.292867,0.000000,7.53,1.867362,3.413167,1.92,0.23,2.068586,0.81,0.000000,0.000000,1.801965,0,0,0,0,0

3,00:30-00:45,2.351036,0.000000,51.501002,47.866680,0.000000,0.000000,0.000000,0.000000,40.609675,57.136865,30.552328,29.408635,90.877303,0.000000,51.937806,0.000000,21.380065,16.789688,0.000000,2.458347,0.000000,0.000000,121.902020,0.000000,0.000000,0.000000,0.000000,116.284815,0.000000,0.000000,0.000000,5.800944,0.000000,16.552026,138.769784,25.975960,0.000000,42.539088,1.375498,18.943759,34.351375,41.956548,424.877729,42.042477,1.055656,18.210150,142.131305,40.354270,0.000000,5.99,3.64,5.119751,2.297595,4.102703,2.29,0.000000,0.000000,1.78,1.64,1.888156,0.000000,3.383514,1.55,3.413168,2.10,266.648625,0.40,1.279076,2.585733,0.20,0.000000,1.872044,0.000000,0.84,0.799281,2.92,0.000000,2.813691,10.839401,1.87,2.691439,1.292867,0.000000,7.53,1.867362,3.413167,1.92,0.23,2.068586,0.81,0.000000,0.000000,1.801965,0,0,0,0,0

4,00:45-01:00,2.351036,0.000000,51.501002,51.057792,0.000000,0.000000,0.000000,0.000000,40.609675,57.136865,30.552328,29.408635,90.877303,0.000000,51.937806,0.000000,21.380065,16.789688,0.000000,2.458347,0.000000,0.000000,121.902020,0.000000,0.000000,0.000000,32.020208,116.284815,0.000000,0.000000,0.000000,5.800944,0.000000,16.552026,138.769784,25.975960,0.000000,42.539088,1.375498,18.943759,34.351375,41.956548,424.877729,42.042477,1.055656,18.210150,142.131305,40.354270,0.000000,5.99,3.64,5.119751,2.297595,4.102703,2.29,0.000000,0.000000,1.78,1.64,1.888156,0.000000,3.383514,1.55,3.413168,2.10,266.648625,0.40,1.279076,2.585733,0.21,0.000000,1.872044,0.000000,0.84,0.799281,2.92,0.000000,2.813691,10.839401,1.87,2.691439,1.292867,0.000000,7.53,1.867362,3.413167,1.92,0.23,2.068586,0.81,0.000000,0.000000,1.801965,0,0,0,0,0

5,01:00-01:15,2.351036,0.000000,51.501002,51.057792,0.000000,0.000000,0.000000,0.000000,40.609675,57.136865,30.552328,29.408635,90.877303,0.000000,51.937806,0.000000,21.380065,16.789688,0.000000,2.458347,0.000000,0.000000,121.902020,0.000000,0.000000,0.000000,29.754984,116.284815,0.000000,0.000000,0.000000,0.617122,0.000000,16.552026,138.769784,25.975960,0.000000,42.539088,1.375498,12.629173,33.382780,41.956548,424.877729,42.042477,1.055656,18.210150,142.131305,40.354270,0.000000,5.99,3.64,5.119751,2.297595,4.102703,2.29,0.000000,0.000000,1.78,1.64,1.888156,0.000000,3.383514,1.55,3.413168,2.10,266.648625,0.40,1.279076,2.585733,0.19,0.000000,1.872044,0.000000,0.84,0.799281,2.92,0.000000,2.813691,8.443008,1.87,2.691439,1.292867,0.000000,7.53,1.867362,3.413167,1.92,0.23,2.068586,0.81,0.000000,0.000000,1.801965,0,0,0,0,0

