Block,Time,ANTA_GF,CHAMERA1,AURY_GF,TANAKPUR,SEWA2,BSIUL,ANTA_LF,TANDA2,RAMPUR,DADRI_CRF,DADRI_LF,DHAULIGNGA,PARBATI3,KOLDAM,SINGRAULI,CHAMERA2,CHAMERA3,ANTA_CRF,URI,NAPP,JHAJJAR,RAPPC,DADRI_RF,AURY_LF,DADRI_GF,UNCHAHAR3,UNCHAHAR4,RIHAND3,KISHANGANGA,UNCHAHAR2,AURY_RF,KOTESHWR,SALAL,RIHAND1,RAPPB,TALA,KHSTPP-II,BRBCL,DADRT2,RIHAND2,NJPC,SINGRAULI_HYDRO,UNCHAHAR1,URI2,ANTA_RF,KHSTPP-I,FSTPP I & II,AURY_CRF,TEHRI,DULHASTI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.884853,0.000000,0.000000,0.000000,1.485631,20.017951,230.960404,52.449800,0.000000,0.000000,0.000000,17.869189,0.000000,0.000000,0.000000,29.429733,0.000000,9.003560,1.340297,88.430400,0.000000,0.000000,122.072400,18.451795,464.259600,110.996877,0.000000,0.845837,14.978668,4.396221,0.000000,39.630276,14.418000,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.904772,0.000000,0.000000,0.000000,1.485631,20.017951,230.960404,52.449800,0.000000,0.000000,0.000000,17.869189,0.000000,0.000000,0.000000,29.429733,0.000000,9.003560,1.340297,88.430400,0.000000,0.000000,101.887200,18.219040,401.781600,110.996877,0.000000,0.845837,14.978668,4.396221,0.000000,32.680800,14.418000,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.904772,0.000000,0.000000,0.000000,1.485631,20.017951,230.688000,52.449800,0.000000,0.000000,0.000000,14.033520,0.000000,0.000000,0.000000,29.429733,0.000000,9.003560,1.340297,88.430400,0.000000,0.000000,101.887200,19.223982,359.488800,110.996877,0.000000,0.845837,11.563236,4.396221,0.000000,32.680800,14.418000,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.904772,0.000000,0.000000,0.000000,1.485631,20.017951,230.688000,52.449800,0.000000,0.000000,0.000000,14.033520,0.000000,0.000000,0.000000,22.492080,0.000000,9.003560,1.340297,88.430400,0.000000,0.000000,101.887200,18.226402,359.488800,110.996877,0.000000,0.845837,11.563236,4.396221,0.000000,32.680800,11.053800,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.940747,0.000000,0.000000,0.000000,1.485631,20.017951,230.688000,52.449800,0.000000,0.000000,0.000000,14.033520,0.000000,0.000000,0.000000,22.492080,0.000000,9.003560,1.340297,59.811247,0.000000,0.000000,81.313127,16.999194,359.488800,88.040826,0.000000,0.845837,11.563236,4.396221,0.000000,24.529824,10.967292,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.940747,0.000000,0.000000,0.000000,1.485631,20.017951,230.688000,52.449800,0.000000,0.000000,0.000000,14.033520,0.000000,0.000000,0.000000,22.492080,0.000000,9.003560,1.340297,59.811247,0.000000,0.000000,78.818400,14.932937,359.488800,88.040826,0.000000,0.845837,11.563236,4.396221,0.000000,24.529824,10.967292,0.000000,0.000000,15.839473,402.521724,0,0,0,0,0

