Block,Time,L_NR_2019_19,L_NR_2012_02,L_NR_2023_10,L_NR_2021_15,L_NR_2012_07,L_NR_2020_05,LT-05,L_NR_2022_08,L_NR_2019_06,L_NR_2012_04,L_NR_2022_10,L_NR_2019_07,SH-07,L_NR_2020_06,L_NR_2020_07,LT-31,L_NR_2022_09,L_NR_2021_17,LT-35,L_NR_2012_01,L_NR_2021_14,L_NR_2018_61,L_NR_2019_05,L_NR_2021_16,LT-59,L_NR_2020_02,L_NR_2023_07,L_NR_2021_13,L_NR_2021_12,LT-36,SH-06,L_NR_2023_04,L_NR_2019_11
1,00:00-00:15,0,261.160000,0,0,74.000000,57.57,115.820000,21.03,0,271.430000,38.45,0,30.880000,19.19,19.19,0.000000,38.45,0,0.000000,101.090000,0,18.01,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

2,00:15-00:30,0,261.160000,0,0,74.000000,57.87,115.820000,21.34,0,271.430000,39.42,0,30.880000,19.29,19.28,0.000000,39.42,0,0.000000,101.090000,0,17.91,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

3,00:30-00:45,0,261.160000,0,0,74.000000,57.96,115.820000,14.54,0,271.430000,42.51,0,30.880000,19.32,19.32,0.000000,42.51,0,0.000000,101.090000,0,15.89,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

4,00:45-01:00,0,261.160000,0,0,74.000000,58.79,115.820000,14.5,0,271.430000,43.51,0,30.880000,19.6,19.59,0.000000,43.51,0,0.000000,101.090000,0,13.77,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

5,01:00-01:15,0,261.160000,0,0,74.000000,59.83,115.820000,14.47,0,271.430000,44.51,0,30.880000,19.94,19.96,0.000000,44.51,0,0.000000,101.090000,0,11.84,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

6,01:15-01:30,0,261.160000,0,0,74.000000,60.38,115.820000,14.7,0,271.430000,45.17,0,30.880000,20.13,20.13,0.000000,45.17,0,0.000000,101.090000,0,10.07,0,0,10.330000,11.880000,0,0,0,0.000000,30.880000,29.660000,10.750000

7,01:30-01:45,0,261.160000,0,0,74.000000,40.88,115.820000,14.99,0,271.430000,37.17,0,30.880000,13.62,13.63,0.000000,37.17,0,0.000000,101.090000,0,9,0,0,10.330000,11.500000,0,0,0,0.000000,30.880000,29.660000,10.750000

8,01:45-02:00,0,261.160000,0,0,74.000000,41.19,115.820000,10.2,0,271.430000,37.1,0,30.880000,13.73,13.74,0.000000,37.1,0,0.000000,101.090000,0,8.21,0,0,10.330000,11.500000,0,0,0,0.000000,30.880000,29.660000,10.750000

9,02:00-02:15,0,261.160000,0,0,74.000000,41.5,115.820000,10.45,0,271.430000,37.05,0,30.880000,13.83,13.84,0.000000,37.05,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.320000,0,0,0,0.000000,30.880000,29.660000,10.750000

10,02:15-02:30,0,261.160000,0,0,74.000000,42.37,115.820000,10.79,0,271.430000,37.17,0,30.880000,14.12,14.13,0.000000,37.17,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.320000,0,0,0,0.000000,30.880000,29.660000,10.750000

11,02:30-02:45,0,261.160000,0,0,74.000000,43.51,115.820000,10.95,0,271.430000,37.02,0,30.880000,14.51,14.5,0.000000,37.02,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.320000,0,0,0,0.000000,30.880000,29.660000,10.750000

12,02:45-03:00,0,261.160000,0,0,74.000000,43.81,115.820000,11.12,0,271.430000,36.66,0,30.880000,14.6,14.6,0.000000,36.66,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.320000,0,0,0,0.000000,30.880000,29.660000,10.750000

13,03:00-03:15,0,261.160000,0,0,74.000000,43.35,115.820000,11.03,0,271.430000,36.84,0,30.880000,14.45,14.45,0.000000,36.84,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.140000,0,0,0,0.000000,30.880000,29.660000,10.750000

14,03:15-03:30,0,261.160000,0,0,74.000000,43.02,115.820000,11.05,0,271.430000,36.84,0,30.880000,14.34,14.34,0.000000,36.84,0,0.000000,101.090000,0,7.4,0,0,10.330000,11.140000,0,0,0,0.000000,30.880000,29.660000,10.750000

15,03:30-03:45,0,261.160000,0,0,74.000000,52.79,115.820000,16.73,0,271.430000,41.78,0,30.880000,17.6,17.59,0.000000,41.78,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

16,03:45-04:00,0,261.160000,0,0,74.000000,52.96,115.820000,16.64,0,271.430000,41.12,0,30.880000,17.65,17.65,0.000000,41.12,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

17,04:00-04:15,0,261.160000,0,0,55.980000,53.41,115.820000,16.81,0,271.430000,40.75,0,30.880000,17.81,17.8,0.000000,40.75,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

18,04:15-04:30,0,261.160000,0,0,55.980000,53.41,115.820000,16.94,0,271.430000,40.21,0,30.880000,17.81,17.8,0.000000,40.21,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

19,04:30-04:45,0,230.050000,0,0,55.980000,53.01,115.820000,16.89,0,271.430000,39.43,0,30.880000,17.67,17.68,0.000000,39.43,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

20,04:45-05:00,0,201.100000,0,0,55.980000,52.87,115.820000,14.36,0,271.430000,38.09,0,30.880000,17.62,17.63,0.000000,38.09,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.580000,0,0,0,0.000000,30.880000,29.660000,10.750000

21,05:00-05:15,0,201.100000,0,0,55.980000,51.81,115.820000,14.37,0,271.430000,38.19,0,30.880000,17.27,17.26,0.000000,38.19,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.350000,0,0,0,0.000000,30.880000,29.700000,10.750000

22,05:15-05:30,0,201.100000,0,0,55.980000,50.67,115.820000,14.41,0,271.430000,38.21,0,30.880000,16.89,16.9,0.000000,38.21,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.350000,0,0,0,0.000000,30.880000,29.700000,10.750000

23,05:30-05:45,0,201.100000,0,0,55.980000,49.72,115.820000,14.49,0,271.430000,38.22,0,30.880000,16.57,16.58,0.000000,38.22,0,0.000000,101.090000,0,7.4,0,0,10.330000,10.350000,0,0,0,0.000000,30.880000,29.700000,10.750000

