Column1,Block,NR/2025/24836/C,NR/2025/24831/C,NR/2025/24833/C,NR/2024/24434/A/48849,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6528,NR/2024/24507/A/49098,NR/2025/24827/C,NR/2024/24508/A/49101,GNA/NR/2025/01/01/8058,NR/2025/24819/C,NR/2024/24614/A/49102,NR/30092023/26122029/SH-06,NER/2024/2820/A/49128,WR/2024/25501/A/49132,GNA/WR/2025/01/01/8625,NR/2024/24435/A/48850,NR/2024/24418/A/48841,NR/2025/24825/C,NR/2024/24573/A/48842,GNA/NR/2025/01/01/6775,Total
,,SJVNL,SJVNL,SJVNL,IEXL,PXIL,IEXL,IEXL,BAWANA_GAS,MANIKARAN,IEXL,HPXL,DELHI,APPCPL,HPXL,NDMC,NDMC,NDMC,NVVNL,NVVNL,NVVNL,IEXL,TPDDL,NVVNL,PUNJAB,APPCPL,APPCPL,TPTCL,IEXL,ITCLH,NVVNL,IEXL,NDMC,
,,NA,NA,UTTARPRADESH_STATE,NA,NA,NA,MP_State,DELHI_UT,DELHI_UT,ODISHA_STATE,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,
,,RSRPL_BKN,TPSL_BKN2,BCMLUH,TESPL_BKN2,JPNIGRIE_JNSTPP,SKS_Raigarh,JP_BINA,BAWANA_GAS,BRPL,NBVLIPP,SKS_Raigarh,CHANJUII,BYPL,JPNIGRIE_JNSTPP,RKM_POWER,JPL2,SKS_Raigarh,JIPL,TRN_ENERGY,TRN_ENERGY,JPNIGRIE_JNSTPP,JHAJJAR,TRN_ENERGY,BAWANA_GAS,BYPL,BRPL,BYPL,NSLSUGARALAND,ITCWIND,JIPL,NSLSUGAR,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,Manipur_State,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,MES_Delhi,BRPL,BRPL,BRPL,HARYANA,AEML,BRPL,BRPL,TPDDL,AEML,BRPL,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,BRPL,TPDDL,NDMC,PUNJAB,Manipur_Ben,GOA_Beneficiary,TPC_MSEB,MES_Delhi,ITCLH,NDMC,MES_Delhi,NDMC,
,,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,North-West,East-North,West-North,North-North,North-West,West-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,North-North,West-North,North-North,North-East-North East,North-West,North-West,South-West-North,South-West-North,East-North,South-West-North,West-North,
1,00:00-00:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

2,00:15-00:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

3,00:30-00:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

4,00:45-01:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

5,01:00-01:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

6,01:15-01:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

7,01:30-01:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

8,01:45-02:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,14.37,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,405.65

9,02:00-02:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

10,02:15-02:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

11,02:30-02:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

12,02:45-03:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

13,03:00-03:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.79999999999995

14,03:15-03:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.79999999999995

15,03:30-03:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.79999999999995

16,03:45-04:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.79999999999995

