Column1,Block,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,NR/2024/24435/A/49118,NR/2024/24418/A/49108,NR/2024/24507/A/49417,NR/2024/24508/A/49418,NR/2024/24614/A/49419,SR/2024/15456/A/49120,NR/2025/24866/C,NR/2025/24868/C,NR/2024/24434/A/49119,NR/2025/24867/C,GNA/NR/2025/01/01/8738,GNA/WR/2025/01/01/8625,NR/2024/24573/A/49107,NER/2024/2820/A/49372,NR/2025/24865/C,NR/2025/24862/C,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2024/25501/A/49386,NR/2025/24864/C,GNA/NR/2025/01/01/8058,Total
,,NDMC,IEXL,PXIL,BAWANA_GAS,HPXL,NDMC,MANIKARAN,APPCPL,IEXL,NDMC,PUNJAB,HPXL,NDMC,IEXL,ITCLH,NVVNL,NVVNL,NVVNL,IEXL,SJVNL,SJVNL,IEXL,SJVNL,IEXL,TPTCL,IEXL,APPCPL,NVVNL,TPDDL,DELHI,APPCPL,NVVNL,IEXL,
,,NA,ODISHA_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,NA,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,NA,NA,NA,UTTARPRADESH_STATE,MP_State,DELHI_UT,KARNATAKA_STATE,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,
,,JPL2,NBVLIPP,JPNIGRIE_JNSTPP,BAWANA_GAS,JPNIGRIE_JNSTPP,SKS_Raigarh,BRPL,BYPL,SKS_Raigarh,RKM_POWER,BAWANA_GAS,SKS_Raigarh,RKM_POWER,NSLSUGARALAND,ITCWIND,JIPL,TRN_ENERGY,TRN_ENERGY,BYPL,TPSL_BKN2,RSRPL_BKN,TESPL_BKN2,BCMLUH,JP_BINA,BYPL,NSLSUGAR,BYPL,JIPL,JHAJJAR,CHANJUII,BRPL,TRN_ENERGY,JPNIGRIE_JNSTPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,HARYANA,BRPL,NDMC,AEML,AEML,BRPL,NDMC,PUNJAB,BRPL,NDMC,MES_Delhi,ITCLH,NDMC,NDMC,NDMC,TANGEDCO,NDMC,NDMC,MES_Delhi,NDMC,BRPL,TPC_MSEB,MES_Delhi,Manipur_Ben,NDMC,TPDDL,TPDDL,GOA_Beneficiary,NDMC,BRPL,
,,West-North,East-North,West-North,North-North,West-North,West-North,North-West,North-West,West-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,East-North,West-North,West-North,North-West-South,North-North,North-North,North-North,North-North,West-North,North-West,South-West-North,North-East-North East,East-North,North-North,North-North,North-West,West-North,West-North,
1,00:00-00:15,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

2,00:15-00:30,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

