Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2025/07/01/2236,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2997,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/3109,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8230,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,39.02,0,48,0,0,0,0,0,0,0,0,0,0,16,0,0,10,16,0,0,81.81,28.26,100.27,8.52,30,270.7,7.47,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

2,00:15-00:30,38.82,0,49.01,0,0,0,0,0,0,0,0,0,0,16.33,0,0,10.33,16.33,0,0,81.81,29.27,100.27,8.52,30,270.7,7.47,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

3,00:30-00:45,37.62,0,49.99,0,0,0,0,0,0,0,0,0,0,16.67,0,0,11,16.67,0,0,81.81,30.28,100.27,8.52,30,270.7,7.47,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

4,00:45-01:00,37.02,0,51,0,0,0,0,0,0,0,0,0,0,17,0,0,11.33,17,0,0,81.81,30.28,100.27,8.52,30,270.7,7.47,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

5,01:00-01:15,36.42,0,52.99,0,0,0,0,0,0,0,0,0,0,17.67,0,0,12,17.67,0,0,81.81,30.28,100.27,8.52,30,270.7,6.54,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

6,01:15-01:30,36.01,0,55.01,0,0,0,0,0,0,0,0,0,0,18.33,0,0,12.67,18.33,0,0,81.81,30.28,100.27,8.52,30,270.7,6.54,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,19.64,10.74,15.02,43.75,224.98,0,0,-0,0

7,01:30-01:45,35.61,0,58.01,0,0,0,0,0,0,0,0,0,0,19.33,0,0,13.33,19.33,0,0,81.81,29.78,100.27,8.52,30,270.7,6.54,10.49,49.09,12.66,15.26,86.82,3.3,19.25,115.46,130.23,20.76,134.99,26.54,10.74,15.02,43.75,224.98,0,0,-0,0

8,01:45-02:00,35.21,0,61.01,0,0,0,0,0,0,0,0,0,0,20.33,0,0,13.67,20.33,0,0,81.81,29.78,100.27,8.52,30,270.7,6.54,10.49,49.09,12.66,15.26,86.82,3.3,19.25,100.54,130.23,20.76,134.99,26.54,10.74,15.02,43.75,224.98,0,0,-0,0

9,02:00-02:15,35.01,0,60.49,0,0,0,0,0,0,0,0,0,0,20.17,0,0,13.67,20.17,0,0,81.81,29.27,100.27,8.52,26.94,270.7,6.06,10.49,49.09,12.66,15.26,86.82,3.3,19.25,74.7,130.23,20.76,134.99,26.94,10.74,17.78,43.75,224.98,0,0,-0,0

10,02:15-02:30,34.41,0,61.01,0,0,0,0,0,0,0,0,0,0,20.33,0,0,13.67,20.33,0,0,81.81,29.27,100.27,8.52,26.94,270.7,6.06,10.49,49.09,12.66,15.26,86.82,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.78,43.75,224.98,0,0,-0,0

11,02:30-02:45,33.61,0,61.01,0,0,0,0,0,0,0,0,0,0,20.33,0,0,13.67,20.33,0,0,81.81,28.26,100.27,8.52,26.94,270.7,6.06,10.49,49.09,12.66,15.26,86.82,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.78,43.75,224.98,0,0,-0,0

12,02:45-03:00,33.21,0,61.99,0,0,0,0,0,0,0,0,0,0,20.67,0,0,13.67,20.67,0,0,81.81,28.26,100.27,8.52,26.94,270.7,6.06,10.49,49.09,12.66,15.26,86.82,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.78,43.75,224.98,0,0,-0,0

13,03:00-03:15,37.02,0,62.51,0,0,0,0,0,0,0,0,0,0,20.83,0,0,13.67,20.83,0,0,81.81,28.26,100.27,6.67,26.94,270.7,5.78,10.49,0,11.73,15.26,83.19,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.59,43.75,224.98,0,0,-0,0

14,03:15-03:30,37.02,0,62.51,0,0,0,0,0,0,0,0,0,0,20.83,0,0,13.67,20.83,0,0,81.81,28.77,100.27,6.67,26.94,270.7,5.78,10.49,0,11.73,15.26,77.52,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.59,43.75,224.98,0,0,-0,0

15,03:30-03:45,35.01,0,40.01,0,0,0,0,0,0,0,0,0,0,13.33,0,0,10.67,13.33,0,0,81.81,29.27,100.27,6.67,26.94,270.7,5.78,10.49,0,11.73,15.26,66.92,3.3,19.25,64.2,102.47,20.76,134.99,26.94,10.74,17.59,43.75,224.98,0,0,-0,0

16,03:45-04:00,34.81,0,40.99,0,0,0,0,0,0,0,0,0,0,13.67,0,0,10,13.67,0,0,81.81,29.27,100.27,6.67,26.94,270.7,5.78,10.49,0,11.73,15.26,66.92,3.3,19.25,64.2,102.47,20.76,134.99,26.94,10.74,17.59,43.75,224.98,0,0,-0,0

17,04:00-04:15,39.02,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0,9.33,14,0,0,81.81,29.27,100.27,6.67,26.94,270.7,5.6,10.49,0,11.73,15.26,86.82,3.3,19.25,85.73,130.23,20.76,134.99,26.94,10.74,17.32,43.75,224.98,0,0,-0,0

18,04:15-04:30,38.42,0,43.01,0,0,0,0,0,0,0,0,0,0,14.33,0,0,8.67,14.33,0,0,81.81,29.27,100.27,6.67,26.94,270.7,5.6,10.49,0,11.73,15.26,86.82,3.3,19.25,67.07,130.23,20.76,134.99,26.94,10.74,17.32,43.75,224.98,0,0,-0,0

19,04:30-04:45,39.02,0,43.99,0,0,0,0,0,0,0,0,0,0,14.67,0,0,8.33,14.67,0,0,81.81,28.77,100.27,6.67,26.94,270.7,5.6,10.49,0,11.73,15.26,85.6,3.3,19.25,64.2,130.23,20.76,134.99,26.94,10.74,17.32,43.75,224.98,0,0,-0,0

