Column1,Block,GNA/NR/2024/10/16/4393,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9072,NR/2024/23788/C,NR/2024/23804/C,NR/2024/23383/A/41910,NR/2024/23382/A/42044,NR/2024/23384/A/41878,NR/2024/23639/A/41914,NR/2024/23786/C,NR/2024/23640/A/41916,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,Total
,,PTC,BAWANA_GAS,APPCPL,NDMC,NVVNL,HPXL,ITCLH,NVVNL,IEXL,SJVNL,DIAPL,SJVNL,NDMC,PTC,NDMC,PUNJAB,NDMC,DELHI,NDMC,
,,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DVC_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,
,,BRPL,BAWANA_GAS,BYPL,RKM_POWER,SOLAPUR_SOLAR,DVC,ITCWIND,JITPL,NSLSUGAR,RSRPL_BKN,GBHHPL,TPSL_BKN2,RKM_POWER,BYPL,JPL2,BAWANA_GAS,SKS_Raigarh,CHANJUII,TRN_ENERGY,
,,HIMACHAL_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,HP,HARYANA,AEML,NDMC,MES_Delhi,BYPL,ITCLH,NDMC,MES_Delhi,NDMC,DIAPL,NDMC,NDMC,HP,NDMC,PUNJAB,NDMC,TPDDL,NDMC,
,,North-North,North-North,North-West,West-North,West-North,East-North,South-West-North,East-North,South-West-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,142.69,2.78,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,2.78,12.42,4.15,12.42,538.8999999999999

2,00:15-00:30,142.69,2.78,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,2.78,12.42,4.15,12.42,538.8999999999999

3,00:30-00:45,142.69,2.78,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,2.78,12.42,4.15,12.42,538.8999999999999

4,00:45-01:00,142.69,2.78,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,2.78,12.42,4.15,12.42,538.8999999999999

5,01:00-01:15,142.69,25.28,200,26.33,0,0,0.53,24.87,6.76,0,2.9,0,26.33,47.56,26.33,25.28,12.42,4.15,12.42,583.8499999999998

6,01:15-01:30,142.69,25.28,200,26.33,0,0,0.53,24.87,6.76,0,2.9,0,26.33,47.56,26.33,25.28,12.42,4.15,12.42,583.8499999999998

7,01:30-01:45,142.69,25.28,200,26.33,0,0,0.53,24.87,6.76,0,2.9,0,26.33,47.56,26.33,25.28,12.42,4.15,12.42,583.8499999999998

