Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2025/03/01/6891,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/2563,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/3469,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/SR/2025/03/01/7500,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/8625,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/4651,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/9482
1,00:00-00:15,0,40.33,0,14.33,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.53,26.99,1.39,23.31,0,8.64,1.31,0,200,30.28,0,193.14,63.94,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,13.34,14.33,0,43.01,40.34,0,23.31,42,17.28

2,00:15-00:30,0,39.67,0,14.17,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.53,26.99,1.39,23.31,0,8.64,1.31,0,200,30.28,0,193.14,63.94,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,13,14.17,0,42.49,39.66,0,23.31,42,17.28

3,00:30-00:45,0,38.33,0,13.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.53,26.99,1.39,23.31,0,8.64,1.31,0,200,30.78,0,193.14,74.41,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12.66,13.83,0,41.51,38.34,0,23.31,42,17.28

4,00:45-01:00,0,37,0,13.67,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.53,26.99,1.39,23.31,0,8.64,1.31,0,200,30.78,0,193.14,74.41,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12.34,13.67,0,40.99,37,0,23.31,42,17.28

5,01:00-01:15,0,35.33,0,17.16,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,200,30.78,0,228.35,74.41,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12.34,17.17,0,51.5,35.34,0,23.31,42,17.28

6,01:15-01:30,0,35.33,0,17,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,200,30.78,0,228.35,74.41,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12,17,0,51,35.34,0,23.31,42,17.28

7,01:30-01:45,0,33.67,0,17,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,200,30.78,0,259.72,86.57,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12,17,0,51,33.66,0,23.31,42,17.28

8,01:45-02:00,0,33.67,0,16.66,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,200,30.28,0,259.72,86.57,70,6.72,4.14,237.82,23.31,271.38,99.99,26.99,12,16.67,0,50,33.66,0,23.31,42,17.28

9,02:00-02:15,0,33.33,0,17,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,230.35,99.99,26.99,12.66,17,0,51,33.34,0,23.31,42,17.28

10,02:15-02:30,0,32.67,0,17.16,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,191.96,99.99,26.99,13.66,17.17,0,51.5,32.66,0,23.31,42,17.28

11,02:30-02:45,0,32.33,0,17.5,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,14.66,17.5,0,52.5,32.34,0,23.31,42,17.28

12,02:45-03:00,0,32,0,18,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.45,26.99,1.39,23.31,0,8.64,1.31,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,16,18,0,54,32,0,23.31,42,17.28

13,03:00-03:15,0,38.33,0,21.66,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,16.34,21.67,0,65,38.33,0,23.31,42,17.28

14,03:15-03:30,0,38.33,0,22.5,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,16.66,22.5,0,67.5,38.33,0,23.31,42,17.28

15,03:30-03:45,0,38,0,22.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,17,22.83,0,68.51,38,0,23.31,42,17.28

16,03:45-04:00,0,38,0,23.67,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,4.04,237.82,23.31,149.26,99.99,26.99,17.66,23.67,0,70.99,38,0,23.31,42,17.28

17,04:00-04:15,0,43.33,0,24.33,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,3.95,237.82,23.31,191.96,99.99,26.99,17.66,24.33,0,73.01,43.34,0,23.31,42,17.28

18,04:15-04:30,0,42.67,0,25,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,193.14,63.48,70,6.72,3.95,237.82,23.31,230.35,99.99,26.99,18,25,0,75,42.66,0,23.31,42,17.28

19,04:30-04:45,0,42.33,0,25.33,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.78,0,224.52,75.64,70,6.72,3.95,237.82,23.31,271.38,99.99,26.99,18,25.33,0,76.01,42.34,0,23.31,42,17.28

20,04:45-05:00,0,41.67,0,25.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.38,26.99,1.39,23.31,0,8.64,1.26,0,0,30.78,0,224.52,75.64,70,6.72,3.95,237.82,23.31,271.38,99.99,26.99,18.34,25.83,0,77.51,41.66,0,23.31,42,17.28

21,05:00-05:15,0,48.33,0,25.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.31,26.99,1.39,23.31,0,8.64,1.26,0,0,30.78,0,228.35,74.41,70,6.72,3.95,237.82,23.31,230.35,99.99,26.99,11.66,25.83,0,77.51,48.34,0,23.31,42,17.28

22,05:15-05:30,0,48.33,0,25.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.31,26.99,1.39,23.31,0,8.64,1.26,0,0,30.28,0,228.35,74.41,70,6.72,3.95,237.82,23.31,230.35,99.99,26.99,11,25.83,0,77.51,48.34,0,23.31,42,17.28

23,05:30-05:45,0,48.33,0,25.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.31,26.99,1.39,23.31,0,8.64,1.26,0,0,29.77,0,259.72,74.41,70,6.72,3.95,237.82,23.31,271.38,99.99,26.99,10,25.83,0,77.51,48.34,0,23.31,42,17.28

24,05:45-06:00,0,47.33,0,25.83,0,0,0,7,0,0,0,0,0,0,0,79.27,0,1.31,26.99,1.39,23.31,0,8.64,1.26,0,0,29.77,0,259.72,86.57,70,6.72,3.95,237.82,23.31,271.38,99.99,26.99,9.34,25.83,0,77.51,47.34,0,23.31,42,17.28

