Time,Block,NR/2024/20963/C,NR/2024/19760/A/23003,NR/2024/20513/A/23116,NR/2024/20524/A/23381,NR/2024/20144/A/23109,NR/2024/19966/A/23085,NR/2024/20557/A/23449,NR/2024/20572/A/23441,NR/2024/20050/A/23369,NR/2024/20130/A/23126,NR/2024/20540/A/22865,NR/2024/20999/C,NR/2024/20553/A/23053,NR/2024/19779/A/23022,NR/2024/19475/A/23356,NR/2024/19683/A/23498,NR/2024/19757/A/23454,NR/2024/19919/A/23437,NR/2024/20777/A/23006,NR/2024/20597/A/23478,NR/2024/20516/A/23114,NR/2024/20142/A/23110,NR/2024/20552/A/23054,NR/2024/20558/A/23445,NR/2024/19588/A/23316,NR/2024/20560/A/23443,NR/2024/20994/C,NR/2024/20965/C,NR/2024/19699/A/23457,NR/2024/20212/A/23113,NR/2024/19432/A/23459,NR/2024/20090/A/23060,NR/2024/19640/A/23523,NR/2024/20917/C,NR/2024/19988/A/23002,NR/2024/20211/A/23112,NR/2024/20141/A/23111,NR/2024/19918/A/23438,NR/2024/20599/A/22999,NR/2024/19642/A/23522,NR/2024/20109/A/23409,NR/2024/20598/A/22998,NR/2024/19791/A/23444,NR/2024/20537/A/23408,NR/2024/19355/A/23410,NR/2024/20554/A/23023,NR/2024/20048/A/23370,NR/2024/20037/A/23001,NR/2024/19978/A/23442,NR/2024/20041/A/23368,NR/2024/20515/A/23115,NR/2024/19637/A/23093,Total
,,NVVNL,TPTCL,MSSH,HPXL,BAL234,BRPL,NVVNL,NVVNL,PTC,DTCP,DIAPL,IEXL,IEXL,ITCLH,AEL,IEXL,NVVNL,APPCPL,TPTCL,PTC,BMDRC,BAL224,IEXL,NVVNL,GMRETL,NVVNL,IEXL,NVVNL,NVVNL,UHL,NVVNL,IEXL,MANIKARAN,DIAPL,TPTCL,JHPL-DL,BAL184,APPCPL,TPTCL,MANIKARAN,TPDDL,TPTCL,APPCPL,TPDDL,TPDDL,PXIL,PTC,TPTCL,APPCPL,PTC,MHIL,INSTINCT,Total

,,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,KERALA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,RAJASTHAN,NA,HIMACHAL PRADESH,NA,MP,HIMACHAL PRADESH,NA,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,NA,GOA,NA,UTTAR PRADESH,TAMIL NADU,NA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,MAHARASHTRA,HIMACHAL PRADESH,NA,
,,SOLAPUR_SOLAR,SIMHAPURI,SHPPBPL,GBHHPL,SHPPBPL,IEPLBELA2022,SKS Raigarh,JPL-2,HP,SHPPBPL,GBHHPL,RKM_POWER,JSWEL MSEB,ITCWIND,APL_Raipur TPP,NHCPL_HP,TANGEDCO,KSEB,HP-GOVT,SEILP2,SHPPBPL,SHPPBPL,JSWEL,RKM_POWER,RUVNL,RKM_POWER,HP-GOVT,KAMENG,JP BINA,SHPPBPL,SEIL,A_A_Energy_MH_Bio,AEML,GBHHPL,HP-GOVT,SHPPBPL,SHPPBPL,Nagaland_Ben,ACBIL,GOA_Beneficiary,JHAJJAR,PPGCL,TANGEDCO,JHAJJAR,JPL-2,IND_BHARAT,HP,JPL_DHULE,UTTARAKHAND,JPL_DHULE,SHPPBPL,JPL-2,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,MSSH,BRPL,BAL234,BRPL,NDMC,NDMC,BRPL,DTCP,DIAPL,BRPL,BRPL,ITCLH,BRPL,MES (Delhi),BRPL,BYPL,BRPL,BRPL,BMDRC,BAL224,BRPL,NDMC,BYPL,NDMC,BRPL,TPDDL,TPDDL,UHL,TPDDL,MES (Delhi),BYPL,DIAPL,BRPL,JHPL-DL,BAL184,BYPL,BRPL,BRPL,TPDDL,BRPL,BYPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,BYPL,BRPL,MHIL,BRPL,
,,West-North,South-West-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,South-West-North,North-North,South-West-North,North-North,North-North,South-East-West-North,West-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,East-West-North,North-North,West-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2083.99

2,00:15-00:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2083.99
