Block,Time Block,KGSU1AND2,KGSU3AND4,DADRT2,AURY_RF,ANTA_LF,AURY_GF,DADRI_GF,AURY_CRF,DADRI_CRF,DADRI_RF,ANTA_RF,AURY_LF,DADRI_LF,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,ANTA_GF,UNCHAHAR2,URI,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,RIHAND2,SASAN,TALST2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,RSTPSU1TO6,SIMHST2,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,NLCIIST1,KOTESHWR,NLCEXP,NJPC,KKNPPU2,KUDGI,MAPS,KOLDAM,NAPP,NTPL,RAPPB,RAPPD,RAMPUR,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPC,NNTPP,PARBATI2,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,DULHASTI,DHAULIGNGA,FSTPP I & II,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,523.6,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.56,0,93.63,0,1.04,6.04,0,0,0,7.08,71.62,0,144.78,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,20.69,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,438.69,0,0,0,0,0

2,00:15-00:30,0,0,523.6,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,6.04,0,0,0,7.08,71.62,0,144.78,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,20.69,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,352.02,0,0,0,0,0

3,00:30-00:45,0,0,481.02,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,6.04,0,0,0,7.08,71.62,0,144.78,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,270.16,0,0,0,0,0

4,00:45-01:00,0,0,432.87,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,6.04,0,0,0,7.08,71.62,0,144.78,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,270.16,0,0,0,0,0

5,01:00-01:15,0,0,481.02,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,138.36,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

