Block,Time,BRBCL,CHAMERA2,DADRT2,DHAULIGNGA,MAPS,RAPPC,SASAN,TALST2,TelanganaSTPP,KOLDAM,NAPP,NJPC,NLCIIST1,RIHAND3,RSTPSU7,SEWA2,UNCHAHAR2,UNCHAHAR3,URI,AURY_LF,KISHANGANGA,KKNPPU2,KOTESHWR,RIHAND1,SALAL,SIMHST1,SIMHST2,TALA,TEHRI,ANTA_GF,AURY_CRF,KHSTPP-I,KHSTPP-II,TANDA2,URI2,ANTA_LF,DADRI_CRF,DADRI_LF,CHAMERA3,FSTPP I & II,JHAJJAR,KUDGI,NLCEXP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,SINGRAULI_HYDRO,UNCHAHAR4,VALLURNTECL,DADRI_RF,BSIUL,DULHASTI,KKNP,RAMPUR,RAPPB,SINGRAULI,ANTA_RF,AURY_RF,KGSU1AND2,KGSU3AND4,RIHAND2,TANAKPUR,AURY_GF,DADRI_GF,CHAMERA1,PARBATI3,UNCHAHAR1,ANTA_CRF
1,00:00-00:15,20,0,683.14,0,0,53.93,348.98,0,0,0,44.32,0,0,124.32,0,0,42.39,26.39,7.73,0,0,0,8.88,92,2.33,0,0,0,0,0,0,33.99,148.3,0,4.31,0,0,23.57,0,11.12,654.3,0,0,0,0,0,0,0,0,0,0,69.59,0,0,0,0,0,125.96,44.83,71.46,0,0,118.75,0,0,0,0,0,20.56,0

2,00:15-00:30,20,0,683.14,0,0,53.93,348.98,0,0,0,44.32,0,0,124.32,0,0,42.39,26.39,2.76,0,0,0,8.88,92,2.33,0,0,0,0,0,0,33.99,148.3,0,4.31,0,0,23.57,0,11.12,654.3,0,0,0,0,0,0,0,0,0,0,69.59,0,0,0,0,0,125.96,44.83,71.46,0,0,118.75,0,0,0,0,0,20.56,0

3,00:30-00:45,20,0,683.14,0,0,53.93,348.98,0,0,0,44.32,0,0,124.32,0,0,42.39,26.39,2.21,0,0,0,8.88,92,1.4,0,0,0,0,0,0,33.99,148.3,0,4.31,0,2.19,23.57,0,11.12,654.3,0,0,0,0,0,0,0,0,0,0,67.41,0,0,0,0,0,125.96,44.83,71.46,0,0,118.75,0,0,0,0,0,20.56,0

4,00:45-01:00,20,0,683.14,0,0,53.93,348.98,0,0,0,44.32,0,0,124.32,0,0,42.39,26.39,2.21,0,0,0,8.88,92,1.4,0,0,0,0,0,0,33.99,148.3,0,4.31,0,2.19,23.57,0,11.12,654.3,0,0,0,0,0,0,0,0,0,0,67.41,0,0,0,0,0,125.96,44.83,71.46,0,0,118.75,0,0,0,0,0,20.56,0

5,01:00-01:15,20,0,683.14,0,0,53.93,348.98,0,0,0,44.32,0,0,124.32,0,0,42.39,26.39,2.21,0,0,0,8.88,92,1.4,0,0,0,0,0,0,33.99,148.3,0,4.31,0,2.19,23.57,0,11.12,654.3,0,0,0,0,0,0,0,0,0,0,67.41,0,0,0,0,0,125.96,44.83,71.46,0,0,118.75,0,0,0,0,0,20.56,0

