Block,Time,WR/01102023/30052048/L_NR_2022_10,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_35,NR/01102023/25072045/L_NR_2021_15,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01112023/30112023/HP-10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/19072037/LT-05,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/03112023/30112023/IEX-231101-05680,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06
1,00:00-00:15,44.08,212.980000,0,44.08,0,0,2.230000,0.000000,16.7,0,172.710000,0.000000,0,24.100000,73.760000,0,221.740000,0,0,48.200000,55.550000,50.13,16.71,71.730000,48.200000,96.410000,6.61,0,0,10.01,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

2,00:15-00:30,42.67,172.270000,0,42.67,0,0,2.230000,0.000000,16.66,0,172.710000,0.000000,0,24.100000,73.760000,0,192.820000,0,0,48.200000,31.450000,50,16.67,71.730000,48.200000,96.410000,6.61,0,0,9.95,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

3,00:30-00:45,41.67,128.230000,0,41.67,0,0,2.230000,0.000000,16.66,0,172.710000,0.000000,0,24.100000,73.760000,0,183.180000,0,0,48.200000,30.850000,49.98,16.66,71.730000,48.200000,96.410000,6.61,0,0,9.51,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

4,00:45-01:00,40.67,123.400000,0,40.67,0,0,2.230000,0.000000,16.06,0,172.710000,0.000000,0,24.100000,73.760000,0,183.180000,0,0,48.200000,30.850000,48.18,16.06,71.730000,48.200000,96.410000,6.61,0,0,9.01,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

5,01:00-01:15,39.34,117.620000,0,39.34,0,0,2.130000,0.000000,15.58,0,172.710000,0.000000,0,24.100000,73.760000,0,163.900000,0,0,48.200000,30.850000,46.77,15.59,71.730000,48.200000,96.410000,6.61,0,0,9.18,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

6,01:15-01:30,38.34,117.620000,0,38.34,0,0,2.130000,0.000000,15.48,0,172.710000,0.000000,0,24.100000,73.760000,0,149.130000,0,0,48.200000,30.850000,46.49,15.5,71.730000,48.200000,96.410000,6.61,0,0,8.99,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

7,01:30-01:45,37.67,117.620000,0,37.67,0,0,2.130000,0.000000,15.05,0,172.710000,0.000000,0,24.100000,73.760000,0,149.130000,0,0,48.200000,30.850000,45.15,15.05,71.730000,48.200000,96.410000,6.61,0,0,10.12,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

8,01:45-02:00,36.67,117.620000,0,36.67,0,0,2.130000,0.000000,15.18,0,172.710000,0.000000,0,24.100000,73.760000,0,149.130000,0,0,48.200000,30.850000,45.52,15.17,71.730000,48.200000,96.410000,6.61,0,0,10.01,0,26.020000,1.550000,144.62,0,0.000000,1.840000,48.200000,0.000000,26.020000

9,02:00-02:15,31.34,117.620000,0,31.34,0,0,2.130000,0.000000,14.86,0,172.710000,0.000000,0,24.100000,73.760000,0,149.130000,0,0,48.200000,30.850000,44.56,14.85,71.730000,48.200000,96.410000,6.61,0,0,9.92,0,26.020000,1.480000,144.62,0,0.000000,1.690000,48.200000,0.000000,26.020000

