Block,Time,AURY_RF,UNCHAHAR3,CHAMERA2,SINGRAULI_HYDRO,DADRI_CRF,URI2,DADRT2,DADRI_LF,ANTA_LF,DADRI_RF,RAPPC,SEWA2,DHAULIGNGA,NJPC,SINGRAULI,NAPP,AURY_LF,CHAMERA1,KOLDAM,UNCHAHAR4,AURY_GF,ANTA_RF,RIHAND1,BRBCL,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,SASAN,KISHANGANGA,SALAL,DULHASTI,PARBATI3,RAPPB,UNCHAHAR1,RIHAND2,TANAKPUR,KOTESHWR,CHAMERA3,URI,TANDA2,ANTA_CRF,DADRI_GF,RAMPUR,ANTA_GF,UNCHAHAR2,JHAJJAR,BSIUL,TEHRI,RIHAND3,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,15.047760,38.111462,0.627395,0.000000,30.768215,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,19.291953,12.636428,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,7.119329,93.804746,0.000000,8.084313,28.033985,4.259674,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,54.194411,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,15.047760,38.111462,0.627395,0.000000,30.768215,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,17.724082,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,6.752200,93.804746,5.189741,8.084313,28.033985,4.259674,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,54.194411,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,15.047760,38.111462,0.627395,0.000000,30.768215,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,19.291953,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,6.752200,93.804746,4.201219,8.084313,28.033985,12.779021,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,54.194411,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,15.047760,38.111462,0.627395,0.000000,30.768215,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,18.131304,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,6.752200,93.804746,4.201219,8.084313,28.033985,40.466899,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,54.194411,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,15.047760,38.111462,0.627395,0.000000,31.401434,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,17.724385,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,6.752200,93.804746,4.201219,8.084313,18.670489,40.466899,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,54.194411,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,15.047760,38.111462,0.627395,0.000000,31.401434,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,15.519665,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,52.680664,0.000000,0.000000,0.000000,6.752200,93.804746,4.201219,8.084313,18.670489,34.077389,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,57.258174,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,15.047760,38.111462,0.627395,0.000000,31.401434,368.477200,0.000000,0.000000,0.000000,51.778474,15.686904,0.000000,0.000000,121.141702,41.722808,0.000000,40.732241,0.000000,0.000000,0.000000,0.000000,61.952014,15.094998,12.539800,26.044200,80.061800,0.000000,403.945542,0.000000,51.559799,15.895501,0.000000,0.000000,6.752200,93.804746,0.000000,8.084313,18.670489,34.077389,0.000000,0.000000,0.000000,0.000000,0.000000,24.115000,347.738300,0.000000,0.000000,57.258174,0.000000,0,0,0,0,0

