Block,Time Block,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND2,TALA,RIHAND1,SASAN,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,TANDA2,RSTPSU7,SIMHST2,RIHAND3,URI2,UNCHAHAR3,ANTA_CRF,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,NLCEXP,MAPS,NJPC,NLCIIST1,NAPP,NNTPP,NLCIIST2,NLCTS2EXP,RAMPUR,NTPL,RAPPC,PARBATI3,RAPPB,KOLDAM,KISHANGANGA,KKNP,KKNPPU2,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,DADRT2,KGSU3AND4,CHAMERA3,JHAJJAR,KUDGI,KOTESHWR,BSIUL,BRBCL,CHAMERA1,KHSTPP-II,KHSTPP-I,ANTA_GF,DADRI_CRF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,ANTA_LF,DADRI_GF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,80.98,11.21,135.71,12.52,117.8,9.31,0,398.53,0,0,0,0,0,0,123.5,35.18,22.93,0,0,35.5,46.48,74.43,17.75,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,11.96,52.06,0,585.34,0,31.05,275.18,0,37.4,6.31,16.34,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,80.98,11.21,135.71,12.52,117.8,9.31,0,398.53,0,0,0,0,0,0,123.5,35.18,22.93,0,0,35.5,46.48,74.43,17.75,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,11.96,52.06,0,585.34,0,31.05,188.07,0,37.4,6.31,17.59,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,80.98,11.21,137.16,12.52,117.8,9.58,0,398.53,0,0,0,0,0,0,123.5,35.18,22.93,0,0,35.5,42.74,74.43,17.75,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,12.74,52.06,0,527.64,0,31.05,111.41,0,37.4,6.31,16.02,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,80.98,11.21,137.23,12.52,117.8,9.58,0,398.53,0,0,0,0,0,0,123.5,35.18,22.93,0,0,35.5,42.74,74.43,17.75,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,12.74,52.06,0,503.44,0,31.05,111.41,0,37.4,6.31,13.68,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,80.98,11.21,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,19.41,0,0,30.76,42.74,74.43,15,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,10.4,52.06,0,479.25,0,31.05,115.48,0,37.4,6.31,13,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,80.98,5.6,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,19.41,0,0,30.76,42.74,74.43,15,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,10.4,52.06,0,430.85,0,31.05,115.48,0,37.4,6.31,13.07,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,80.98,5.6,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,19.41,0,0,30.76,46.48,74.43,15,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,10.4,52.06,0,406.65,0,31.05,111.41,0,37.4,6.31,11.61,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,80.98,5.6,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,19.41,0,0,30.76,46.48,74.43,15,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,10.4,52.06,0,365.23,0,31.05,111.41,0,37.4,6.31,13.32,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,80.98,5.6,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,14.48,0,0,23.27,42.74,74.43,11.85,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,9.8,52.06,0,365.23,0,20.68,111.41,0,37.4,6.31,13.66,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,80.98,5.6,135.71,12.52,117.8,9.73,0,398.53,0,0,0,0,0,0,123.5,35.18,14.48,0,0,23.27,42.74,74.43,11.85,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,17,0,5.18,1.39,0,0,42.8,39.1,9.8,52.06,0,365.23,0,20.68,111.41,0,37.4,6.31,12.23,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,80.98,0,135.71,12.52,117.8,9.39,0,398.53,0,0,0,0,0,0,123.5,35.18,14.48,0,0,23.27,42.74,74.43,11.85,0,0,0,0,161.74,0,43.31,0,0,0,3.43,0,58.3,3.4,0,5.18,1.39,0,0,28.53,39.1,9.8,52.06,0,365.23,0,20.68,111.41,0,37.4,12.62,13.84,40.8,95.7,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

