Block,Time Block,CHAMERA3,CHAMERA2,CHAMERA1,KISHANGANGA,KHSTPP-II,BSIUL,BRBCL,SINGRAULI_HYDRO,SALAL,SEWA2,SIMHST2,RSTPSU1TO6,SINGRAULI,RSTPSU7,RIHAND3,SASAN,SIMHST1,RIHAND1,RAPPD,RIHAND2,NLCIIST1,NLCIIST2,NLCTS2EXP,RAMPUR,NNTPP,NTPL,PARBATI3,PARBATI2,DHAULIGNGA,DADRT2,JHAJJAR,KGSU1AND2,FSTPP I & II,DULHASTI,KGSU3AND4,KHSTPP-I,MAPS,NLCEXP,NJPC,KUDGI,NAPP,RAPPC,RAPPB,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,VALLURNTECL,AURY_CRF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,ANTA_GF,KOTESHWR,KKNP,KKNPPU2,KOLDAM,TALST2,UNCHAHAR1,URI2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,UNCHAHAR2,TALA,TEHRI,URI,TANDA2,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,33.71,46.97,40.56,8.3,142.71,18.82,19.25,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,87.49,28.4,119.88,0,0,0,4.17,0,0,16.24,14.45,10.54,565.19,387.96,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,6.92,0,18.97,37.11,0,0,21.02,32.87,0,11.66,47.28,4.65,1.26,0,0,0,0,0

2,00:15-00:30,33.71,46.97,40.56,8.3,142.71,18.82,19.25,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,16.24,14.45,10.54,655,387.96,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,6.92,0,18.97,37.11,0,0,21.02,32.87,0,11.66,47.28,4.65,1.26,0,0,0,0,0

3,00:30-00:45,33.71,46.97,40.56,8.3,142.71,12.55,17.42,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,387.96,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.97,37.11,6.03,0,21.02,32.87,0,0,47.28,4.65,1.26,0,0,0,0,0

4,00:45-01:00,33.71,46.97,40.56,8.3,142.71,12.55,18.15,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,387.96,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.97,37.11,6.03,0,21.02,32.87,0,0,47.28,4.65,1.26,0,0,0,0,0

5,01:00-01:15,33.71,46.97,40.56,8.3,142.71,12.55,15.5,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,6.03,0,20.46,32.73,0,0,47.28,4.65,1.26,0,0,0,0,0

6,01:15-01:30,33.71,46.97,40.56,8.3,142.71,12.55,15.2,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,6.03,0,20.46,32.73,0,0,47.28,4.65,1.26,0,0,0,0,0

7,01:30-01:45,33.71,46.97,40.56,8.3,142.71,12.55,13.07,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,6.03,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

8,01:45-02:00,33.71,46.97,40.56,8.3,142.71,12.55,10.92,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,658.56,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,6.03,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

9,02:00-02:15,33.71,46.97,40.56,8.3,142.71,12.55,11.67,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,624.74,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,0.24,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

10,02:15-02:30,33.71,46.97,40.56,8.3,142.71,12.55,13.15,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,589.14,384.13,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,0.24,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

11,02:30-02:45,33.71,46.97,40.56,8.3,142.71,12.55,14.1,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,550.16,393.75,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,0.24,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

12,02:45-03:00,33.71,46.97,40.56,8.3,142.71,12.55,14.44,0.96,76.39,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,492.42,393.75,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.51,35.1,0.24,0,22.59,36.19,0,0,47.28,4.65,1.26,0,0,0,0,0

13,03:00-03:15,33.71,46.97,40.56,8.3,142.71,12.55,15.7,0.96,51.43,18.19,0,0,144.67,0,125.86,402.98,0,93.56,28.4,119.88,0,0,0,4.17,0,0,18.9,14.45,10.54,434.68,389.97,0,17.51,57.26,0,40.27,0,0,106.5,0,24.16,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,1.86,0,18.06,35.1,0.24,0,21.02,33.65,0,0,47.28,4.65,1.26,0,0,0,0,0

