Column1,Block,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/31/4992,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/31/3997,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,WR/2025/26427/A/60614,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/26582/A/60842,WR/2025/26499/A/60844,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,WR/2025/26426/A/60613,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/2025/25159/A/60505,NR/2025/25517/A/60642,NR/2025/25518/A/60652,GNARE/NR/2024/12/20/3668,NR/2025/25801/C,NR/2025/25802/C,NR/2025/25516/A/60640,Total
,,NDMC,NDMC,APPCPL,NDMC,NDMC,PTC,NDMC,PTC,BAWANA_GAS,TPTCL,KEIPL,DELHI,APPCPL,APPCPL,APPCPL,APPCPL,KEIPL,NDMC,PUNJAB,ITCLH,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,SJVNL,SJVNL,ABLWM1_AEROCITY,
,,NA,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,
,,SKS_Raigarh,RKM_POWER,BYPL,TRN_ENERGY,RKM_POWER,BYPL,JIPL,BRPL,BAWANA_GAS,BYPL,BRPL,CHANJUII,BRPL,BRPL,BYPL,BRPL,BYPL,JPL2,BAWANA_GAS,ITCWIND,TCSPL_BKN2,TCSPL_BKN2,APSEPL_FTG,TPSL_BKN2,RSRPL_BKN,TCSPL_BKN2,
,,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,MSEB_State,CSEB_State,DELHI_UT,CSEB_State,MSEB_State,KERALA_State,MSEB_State,CSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,AEML,NDMC,NDMC,HP,NDMC,HP,HARYANA,TPC_MSEB,CSEB_Beneficiary,TPDDL,CSEB_Beneficiary,AEML,KSEB,AEML,CSEB_Beneficiary,NDMC,PUNJAB,ITCLH,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,TPDDL,NDMC,NDMC,ABLWM1_AEROCITY,
,,West-North,West-North,North-West,West-North,West-North,North-North,East-North,North-North,North-North,North-West,North-West,North-North,North-West,North-West,North-West-South,North-West,North-West,West-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,30.5,0,24.09,6.58,24.09,0,200,42,168.21,23.41,16.47,0.43,0,0,0,0,0,0,930.5999999999999

2,00:15-00:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,30.5,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.08,0.43,0,0,0,0,0,0,940.2099999999999

3,00:30-00:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,30.5,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.08,0.43,0,0,0,0,0,0,940.2099999999999

4,00:45-01:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,30.5,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.08,0.43,0,0,0,0,0,0,940.2099999999999

5,01:00-01:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,937.6099999999999

6,01:15-01:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,937.6099999999999

7,01:30-01:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,937.6099999999999

8,01:45-02:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,200,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,937.6099999999999

9,02:00-02:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

10,02:15-02:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

11,02:30-02:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

