Block,Time,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/30042040/GNA_LT_36,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/30042024/PTC/OA/32001,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,0,0,0,0,32.67,6.21,0,32.67,0,0,0,0,0,16.66,50,16.67,12.66,0,0,0.000000,11.580000,3.100000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.410000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

2,00:15-00:30,0,0,0,0,0,32,6.21,0,32,0,0,0,0,0,16.66,50,16.67,13,0,0,0.000000,11.580000,3.100000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.410000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

3,00:30-00:45,0,0,0,0,0,31.33,6.21,0,31.33,0,0,0,0,0,16.66,50,16.67,13.34,0,0,0.000000,11.580000,1.550000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.410000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

4,00:45-01:00,0,0,0,0,0,30,6.21,0,30,0,0,0,0,0,16.66,50,16.67,14,0,0,0.000000,11.580000,1.550000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.410000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

5,01:00-01:15,0,0,0,0,0,30,6.21,0,30,0,0,0,0,0,16.66,50,16.67,13.66,0,0,0.000000,11.580000,2.710000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.700000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

6,01:15-01:30,0,0,0,0,0,30,6.21,0,30,0,0,0,0,0,16.66,50,16.67,13.66,0,0,0.000000,11.580000,2.710000,1.940000,86.810000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,25.700000,0.000000,25.980000,272.120000,261.290000,0.000000,0.000000

7,01:30-01:45,0,0,0,0,0,30.33,6.21,0,30.33,0,0,0,0,0,17.16,51.5,17.17,13.34,0,0,0.000000,11.580000,2.710000,1.940000,67.880000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,30.260000,0.000000,30.260000,272.120000,213.170000,0.000000,0.000000

8,01:45-02:00,0,0,0,0,0,30.33,6.21,0,30.33,0,0,0,0,0,17.66,53,17.67,13.34,0,0,0.000000,11.580000,2.710000,1.940000,67.880000,0.000000,28.870000,0.000000,2.750000,16.050000,48.120000,100.260000,30.260000,0.000000,30.260000,272.120000,205.520000,0.000000,0.000000

9,02:00-02:15,0,0,0,0,0,23.33,6.21,0,23.33,0,0,0,0,0,14.34,43,14.33,13,0,0,0.000000,11.390000,2.710000,1.940000,56.420000,0.000000,28.870000,0.000000,2.680000,16.050000,48.120000,76.990000,25.450000,0.000000,25.450000,272.120000,253.640000,0.000000,0.000000

10,02:15-02:30,0,0,0,0,0,24,6.21,0,24,0,0,0,0,0,14.5,43.5,14.5,12.34,0,0,0.000000,11.390000,2.710000,1.940000,75.350000,0.000000,28.870000,0.000000,2.680000,16.050000,48.120000,76.990000,25.450000,0.000000,25.450000,272.120000,261.290000,0.000000,0.000000

